group,price_bin,n_trades,n_contracts,sum_price_midpoint,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error,n_events,n_events_eff,se_wt,se_trades,se_naive_trade_level,se_inflation_vs_naive,ci_lo,ci_hi,significant,se_reliable
ALL_DEEP,0,3322086,757066545,8305215,63950,13511421,0.0192499532,0.0178470715,0.025,-0.0071529285,24072,335.5,0.002367151,0.0017368373,7.53856e-05,31.40056037,-0.0118872306,-0.0024186264,1,1
ALL_DEEP,5,3681979,624951498,27614842.5,212244,34603699,0.0576440007,0.0553702151,0.075,-0.0196297849,23083,346.2,0.0056212639,0.0038236146,0.000121463,46.27965047,-0.0308723127,-0.0083872571,1,1
ALL_DEEP,10,3725262,546177562,46565775,408215,62499476,0.1095802121,0.1144306911,0.125,-0.0105693089,23678,527.9,0.0061274133,0.0048485573,0.0001618397,37.86100289,-0.0228241354,0.0016855177,0,1
ALL_DEEP,15,3607520,490923060,63131600,589899,80750591,0.1635192598,0.1644872637,0.175,-0.0105127363,24169,745.2,0.0079196176,0.0064171448,0.0001947189,40.67205896,-0.0263519716,0.005326499,0,1
ALL_DEEP,20,3734910,494748669,84035475,777124,105171879,0.2080703417,0.2125763757,0.225,-0.0124236243,24937,715.9,0.009269221,0.0071921501,0.0002100431,44.13010018,-0.0309620663,0.0061148177,0,1
ALL_DEEP,25,3764628,490359986,103527270,990683,129738227,0.2631556159,0.2645775149,0.275,-0.0104224851,25452,697.4,0.0104337056,0.0076139476,0.0002269516,45.97327089,-0.0312898964,0.0104449262,0,1
ALL_DEEP,30,4024820,518702568,130806650,1292688,173659232,0.3211790838,0.3347953968,0.325,0.0097953968,25978,712.6,0.014524738,0.010043508,0.0002327437,62.40656841,-0.0192540791,0.0388448728,0,1
ALL_DEEP,35,4390845,567678841,164656687.5,1659519,219158824,0.3779498024,0.3860612869,0.375,0.0110612869,26572,879.7,0.0148378722,0.0124763307,0.0002313959,64.12330553,-0.0186144575,0.0407370313,0,1
ALL_DEEP,40,5059338,668918018,215021865,2106216,282934453,0.4163026862,0.4229732872,0.425,-0.0020267128,27151,1169.4,0.0117735772,0.0093628756,0.0002191551,53.72257596,-0.0255738672,0.0215204415,0,1
ALL_DEEP,45,5634866,744074292,267656135,2741100,359834303,0.4864534489,0.4835999672,0.475,0.0085999672,27570,957.2,0.0137276185,0.0127629292,0.0002105565,65.19682505,-0.0188552698,0.0360552043,0,1
ALL_DEEP,50,5149222,680955721,270334155,2645888,348466268,0.5138422853,0.5117311705,0.525,-0.0132688295,27709,1063.5,0.0122794014,0.0105153167,0.0002202585,55.74995138,-0.0378276323,0.0112899733,0,1
ALL_DEEP,55,4406052,565125189,253347990,2495799,321850060,0.5664479221,0.5695199336,0.575,-0.0054800664,27180,1168.5,0.011972735,0.0104600787,0.000236089,50.71279529,-0.0294255364,0.0184654036,0,1
ALL_DEEP,60,3829358,472401371,239334875,2418661,300305205,0.6316100506,0.6356992662,0.625,0.0106992662,26714,1006.7,0.0119572852,0.0106912947,0.0002464991,48.50842463,-0.0132153043,0.0346138366,0,1
ALL_DEEP,65,3559101,443221639,240239317.5,2441881,308266151,0.6860948874,0.6955124109,0.675,0.0205124109,26246,434.6,0.0156064786,0.013111901,0.0002459921,63.44301153,-0.0107005462,0.051725368,0,1
ALL_DEEP,70,2975550,374032035,215727375,2151706,272196338,0.7231288333,0.7277353596,0.725,0.0027353596,25698,786.4,0.0122955923,0.009554212,0.0002593959,47.40087686,-0.021855825,0.0273265442,0,1
ALL_DEEP,75,2715289,338800127,210434897.5,2097140,261111395,0.7723450432,0.770694503,0.775,-0.004305497,24948,1395.4,0.0114253072,0.0085346432,0.0002544698,44.89848413,-0.0271561113,0.0185451174,0,1
ALL_DEEP,80,2736592,359180645,225768840,2254251,296304832,0.8237439121,0.8249465433,0.825,-5.34567e-05,24334,1248.6,0.0092981282,0.0075701578,0.0002303367,40.36754928,-0.0186497131,0.0185427997,0,1
ALL_DEEP,85,2691105,372276440,235471687.5,2339120,319800920,0.869204286,0.859041522,0.875,-0.015958478,23806,1128.4,0.015156948,0.0087797276,0.0002055381,73.74276118,-0.0462723739,0.0143554179,0,1
ALL_DEEP,90,2774182,410433050,256611835,2555681,374325735,0.9212376838,0.9120262983,0.925,-0.0129737017,23259,1108.6,0.0145440361,0.0057232894,0.0001617252,89.93056716,-0.042061774,0.0161143705,0,1
ALL_DEEP,95,3498870,638797215,341139825,3408105,622157459,0.9740587675,0.9739514275,0.975,-0.0010485725,24488,1534,0.0022221761,0.001610566,8.49814e-05,26.14896422,-0.0054929247,0.0033957797,0,1
ALL,0,4254290,1384126632,10635725,80954,21962088,0.0190287921,0.015867109,0.025,-0.009132891,24808,39.4,0.0028714987,0.0019370819,6.624e-05,43.34993268,-0.0148758883,-0.0033898936,1,1
ALL,5,4239995,759879971,31799962.5,237110,40482977,0.0559222358,0.0532754892,0.075,-0.0217245108,23656,170.5,0.0055869385,0.0037714853,0.000111587,50.06802015,-0.0328983878,-0.0105506337,1,1
ALL,10,4134089,621361716,51676112.5,472929,74451742,0.114397392,0.119820291,0.125,-0.005179709,24232,339.3,0.0071302044,0.0058941125,0.0001565444,45.54748361,-0.0194401179,0.0090806999,0,1
ALL,15,3954425,547634878,69202437.5,652352,91845270,0.1649675996,0.1677126015,0.175,-0.0072873985,24710,360.5,0.0081249708,0.0064809239,0.000186642,43.53238797,-0.0235373401,0.0089625432,0,1
ALL,20,4019073,541500561,90429142.5,815335,112968873,0.2028664321,0.2086218943,0.225,-0.0163781057,25475,499.9,0.0088326924,0.0069240343,0.0002005893,44.03372318,-0.0340434905,0.001287279,0,1
ALL,25,4008676,522171503,110238590,1032518,134843987,0.2575708289,0.2582369698,0.275,-0.0167630302,25983,628,0.0100555967,0.0073565875,0.0002184114,46.03969854,-0.0368742235,0.0033481631,0,1
ALL,30,4352955,557768988,141471037.5,1383225,182851843,0.3177668963,0.3278271951,0.325,0.0028271951,26510,521.3,0.0156634866,0.0122404606,0.0002231663,70.18750544,-0.0284997781,0.0341541682,0,1
ALL,35,4717621,604670543,176910787.5,1720481,224775408,0.3646925007,0.3717320289,0.375,-0.0032679711,27113,682.7,0.0156225067,0.0136492754,0.0002216123,70.49475996,-0.0345129844,0.0279770423,0,1
ALL,40,5299731,697951452,225238567.5,2197204,290770781,0.4145878347,0.4166060268,0.425,-0.0083939732,27734,981.6,0.0121652682,0.0096639116,0.0002139992,56.84724881,-0.0327245095,0.0159365631,0,1
ALL,45,5882699,771860960,279428202.5,2844360,370342401,0.4835127549,0.4798045508,0.475,0.0048045508,28140,814,0.0136017909,0.0126772244,0.0002060371,66.01621813,-0.0223990311,0.0320081326,0,1
ALL,50,5547808,731492009,291259920,2731769,358080360,0.4924051085,0.4895205362,0.525,-0.0354794638,28252,510.9,0.0143456971,0.0130071621,0.0002122556,67.58689114,-0.0641708579,-0.0067880697,1,1
ALL,55,4898077,634877064,281639427.5,2784615,361808218,0.5685118874,0.5698870518,0.575,-0.0051129482,27679,233.4,0.0264089957,0.0218677509,0.0002237904,118.0077411,-0.0579309397,0.0477050432,0,1
ALL,60,4094494,501453093,255905875,2585436,318656392,0.6314421269,0.6354660013,0.625,0.0104660013,27219,806.5,0.0134494876,0.0132558896,0.0002384073,56.41391449,-0.016432974,0.0373649765,0,1
ALL,65,3756611,466397010,253571242.5,2564669,322178393,0.6827081644,0.690781428,0.675,0.015781428,26744,414.5,0.016288533,0.0140882707,0.0002401314,67.83176055,-0.0167956381,0.0483584941,0,1
ALL,70,3260369,413415746,236376752.5,2393418,306004889,0.7340942084,0.7401868279,0.725,0.0151868279,26194,457,0.014217689,0.0113617918,0.0002446845,58.10621569,-0.0132485502,0.043622206,0,1
ALL,75,2904758,363547533,225118745,2257148,282177362,0.7770519954,0.7761773534,0.775,0.0011773534,25436,741.4,0.0128702408,0.010697449,0.0002442147,52.70050972,-0.0245631282,0.026917835,0,1
ALL,80,2852895,375160847,235363837.5,2353432,309960254,0.8249276612,0.8262062968,0.825,0.0012062968,24817,1032.5,0.0093604927,0.0076699607,0.0002249955,41.60302429,-0.0175146886,0.0199272821,0,1
ALL,85,2838055,392437264,248329812.5,2455841,336467367,0.8653253725,0.85737874,0.875,-0.01762126,24305,866.8,0.0151489596,0.0102748761,0.0002026386,74.75850362,-0.0479191791,0.0126766592,0,1
ALL,90,2894183,432250975,267711927.5,2667313,394741844,0.9216117295,0.913223723,0.925,-0.011776277,23769,733.4,0.0140146674,0.0057699917,0.0001579925,88.70462257,-0.0398056118,0.0162530579,0,1
ALL,95,3672917,674724313,358109407.5,3579089,657619470,0.9744540919,0.974649137,0.975,-0.000350863,25052,1210.2,0.0021627096,0.0015735146,8.23258e-05,26.27014098,-0.0046762823,0.0039745562,0,1
AEC,0,1957694,426591977,4894235,32972,7438989,0.0168422644,0.0174381834,0.025,-0.0075618166,20735,1726.8,0.0018868764,0.0013557586,9.19686e-05,20.51653487,-0.0113355694,-0.0037880639,1,1
AEC,5,2158176,354554578,16186320,128555,21227934,0.0595665043,0.0598721207,0.075,-0.0151278793,20404,1784.8,0.0054887064,0.0035367441,0.0001611097,34.06813268,-0.0261052922,-0.0041504665,1,1
AEC,10,2181051,330369408,27263137.5,238210,38987414,0.1092179871,0.1180115753,0.125,-0.0069884247,21084,2119.3,0.0076311336,0.005370024,0.0002112029,36.13176383,-0.0222506919,0.0082738425,0,1
AEC,15,2239367,317883921,39188922.5,374603,52552804,0.1672807539,0.165320738,0.175,-0.009679262,21650,1762.4,0.0091145282,0.0082161548,0.0002494076,36.54471154,-0.0279083183,0.0085497944,0,1
AEC,20,2322169,327546432,52248802.5,500303,72149146,0.215446421,0.220271506,0.225,-0.004728494,22466,1498.1,0.0111525043,0.0080955775,0.0002697951,41.33694381,-0.0270335026,0.0175765146,0,1
AEC,25,2426650,331679686,66732875,638937,89323941,0.2633000227,0.2693078425,0.275,-0.0056921575,23103,1546.3,0.0126483276,0.0086799111,0.0002827269,44.73690123,-0.0309888126,0.0196044977,0,1
AEC,30,2744254,372518302,89188255,905241,128369902,0.3298677892,0.3446002568,0.325,0.0196002568,23779,902.3,0.0184997658,0.013415571,0.0002838168,65.18207519,-0.0173992748,0.0565997885,0,1
AEC,35,3100064,421255718,116252400,1193621,165012336,0.3850310832,0.3917153626,0.375,0.0167153626,24473,934.3,0.0179985168,0.0152451004,0.0002763689,65.12497487,-0.0192816709,0.0527123961,0,1
AEC,40,3503819,488755043,148912307.5,1479893,210055018,0.4223657101,0.4297756537,0.425,0.0047756537,25071,1492.6,0.0130255118,0.0095367604,0.0002638761,49.36223551,-0.02127537,0.0308266773,0,1
AEC,45,3792479,523576429,180142752.5,1857561,253766035,0.4898012619,0.4846781126,0.475,0.0096781126,25523,1118.1,0.0150191866,0.0140145735,0.0002566954,58.50976677,-0.0203602607,0.0397164859,0,1
AEC,50,3403810,465232995,178700025,1798303,245526027,0.5283206172,0.527748525,0.525,0.002748525,25605,2002.1,0.0111362632,0.0091793021,0.0002705762,41.15758805,-0.0195240015,0.0250210514,0,1
AEC,55,3030776,397232865,174269620,1709844,227431307,0.5641604658,0.5725389986,0.575,-0.0024610014,25054,1961.8,0.0110077568,0.0092669867,0.0002848313,38.64658377,-0.024476515,0.0195545122,0,1
AEC,60,2723683,342546672,170230187.5,1693006,214615747,0.6215870202,0.6265299435,0.625,0.0015299435,24530,1933.5,0.0107210967,0.008685064,0.0002938703,36.4824094,-0.0199122499,0.0229721369,0,1
AEC,65,2574959,321188010,173809732.5,1751786,221864942,0.6803160749,0.6907634628,0.675,0.0157634628,23987,441.5,0.0163654585,0.0140726542,0.0002906234,56.31156141,-0.0169674542,0.0484943797,0,1
AEC,70,2297118,291067525,166541055,1677592,214617716,0.7303029274,0.7373468263,0.725,0.0123468263,23392,724.2,0.0125951501,0.0096259525,0.0002928181,43.01355764,-0.012843474,0.0375371266,0,1
AEC,75,2128703,267444678,164974482.5,1652424,206849385,0.776258595,0.7734286839,0.775,-0.0015713161,22526,1844.6,0.0114173583,0.0072752915,0.0002856399,39.97116216,-0.0244060327,0.0212634005,0,1
AEC,80,2164097,285170268,178538002.5,1783827,235209395,0.8242823681,0.8248033584,0.825,-0.0001966416,21883,1725,0.0089887299,0.0067597217,0.0002587065,34.74489601,-0.0181741014,0.0177808182,0,1
AEC,85,2162574,301010460,189225225,1884044,259700014,0.8712044073,0.8627607646,0.875,-0.0122392354,21287,1295.5,0.0170104371,0.0093354404,0.000227785,74.67761346,-0.0462601097,0.0217816389,0,1
AEC,90,2273301,336739091,210280342.5,2090701,305678680,0.9196762769,0.9077611964,0.925,-0.0172388036,20683,1247.4,0.0173036862,0.0065671017,0.0001802648,95.99037662,-0.0518461761,0.0173685688,0,1
AEC,95,2436126,476629668,237522285,2370402,464256204,0.9730210999,0.9740396682,0.975,-0.0009603318,21319,2191.6,0.002581965,0.0019903125,0.0001038062,24.8729313,-0.0061242618,0.0042035981,0,1
ATC,0,772100,235073049,1930250,16905,4316796,0.0218948323,0.0183636381,0.025,-0.0066363619,2786,46.7,0.0066001712,0.0060573496,0.0001665432,39.63039397,-0.0198367043,0.0065639805,0,1
ATC,5,1014896,205180119,7611720,49234,9323646,0.0485113746,0.0454412754,0.075,-0.0295587246,2571,55.6,0.0135238939,0.0101842889,0.0002132617,63.41455294,-0.0566065124,-0.0025109367,1,1
ATC,10,972987,149353988,12162337.5,108159,16408017,0.1111618141,0.1098599217,0.125,-0.0151400783,2582,68,0.0141840161,0.0134000189,0.0003186659,44.5106123,-0.0435081104,0.0132279539,0,1
ATC,15,720953,103075977,12616677.5,108084,16156477,0.1499182332,0.1567433811,0.175,-0.0182566189,2645,72.7,0.0236001245,0.0166826073,0.0004204401,56.13195809,-0.0654568679,0.0289436301,0,1
ATC,20,720631,94626496,16214197.5,132058,17237823,0.1832532877,0.1821669816,0.225,-0.0428330184,2526,58.1,0.0249595524,0.0224277526,0.0004557358,54.76759602,-0.0927521233,0.0070860864,0,1
ATC,25,650922,88216843,17900355,162983,21003900,0.2503879113,0.2380939857,0.275,-0.0369060143,2418,48.4,0.0276226061,0.0194417344,0.0005369829,51.44037849,-0.0921512264,0.0183391979,0,1
ATC,30,540055,68572347,17551787.5,163190,21325914,0.3021729268,0.3109987495,0.325,-0.0140012505,2328,41.9,0.0371464099,0.0249483223,0.0006248599,59.44757717,-0.0882940702,0.0602915693,0,1
ATC,35,471612,58628009,17685450,168666,21158233,0.3576372102,0.3608894945,0.375,-0.0141105055,2278,45,0.0457130626,0.0389466765,0.0006979416,65.4969694,-0.1055366308,0.0773156197,0,1
ATC,40,494713,60102812,21025302.5,206249,24387301,0.4169063679,0.4057597256,0.425,-0.0192402744,2304,47.7,0.0586675275,0.053106089,0.0007009899,83.69240222,-0.1365753294,0.0980947807,0,1
ATC,45,562391,66605323,26713572.5,280706,32787108,0.4991296091,0.4922595841,0.475,0.0172595841,2353,27.8,0.0853907472,0.074585134,0.0006667303,128.0739042,-0.1535219104,0.1880410786,0,0
ATC,50,486932,60224759,25563930,209096,23945843,0.4294151956,0.3976079451,0.525,-0.1273920549,2385,21.8,0.079277788,0.0672624934,0.0007093567,111.7601246,-0.2859476309,0.0311635212,0,0
ATC,55,433003,55736299,24897672.5,242174,30488984,0.5592894276,0.5470220342,0.575,-0.0279779658,2271,36.8,0.0768300842,0.0688580286,0.0007544832,101.8314019,-0.1816381343,0.1256822027,0,1
ATC,60,440231,53849008,27514437.5,299363,36618611,0.6800134475,0.6800238599,0.625,0.0550238599,2260,32.5,0.0723952183,0.0672552938,0.0007030469,102.9735247,-0.0897665768,0.1998142965,0,1
ATC,65,441933,60160617,29830477.5,328763,45486437,0.7439204585,0.756083283,0.675,0.081083283,2245,23.2,0.062834133,0.0570538075,0.0006565571,95.70247076,-0.044584983,0.206751549,0,0
ATC,70,260202,34309932,18864645,181529,23492563,0.6976464439,0.68471611,0.725,-0.04028389,2288,43.8,0.0689912667,0.0581887412,0.0009003677,76.62565517,-0.1782664234,0.0976986433,0,1
ATC,75,236285,30080738,18312087.5,178087,22791092,0.7536957488,0.7576639702,0.775,-0.0173360298,2366,42.8,0.0716603657,0.0679744754,0.0008863718,80.8468512,-0.1606567613,0.1259847017,0,1
ATC,80,249716,34641705,20601570,205081,28782343,0.8212569479,0.830858155,0.825,0.005858155,2390,51.2,0.0520482565,0.0526981082,0.0007667096,67.88522444,-0.098238358,0.1099546681,0,1
ATC,85,259462,36604895,22702925,220507,30020337,0.8498624076,0.8201180868,0.875,-0.0548819132,2376,53.3,0.0553643827,0.0415390835,0.000701265,78.9493047,-0.1656106786,0.0558468522,0,1
ATC,90,236830,37371812,21906775,220971,34732725,0.9330363552,0.9293829497,0.925,0.0043829497,2398,50.3,0.0238165692,0.0176272057,0.0005136301,46.36910706,-0.0432501886,0.052016088,0,1
ATC,95,375599,61598418,36620902.5,367684,60209306,0.9789269939,0.9774489061,0.975,0.0024489061,2787,76.7,0.0076364132,0.0058637717,0.0002343561,32.58466305,-0.0128239202,0.0177217325,0,1
ASTATC,0,244961,40674539,612402.5,6739,710994,0.0275105017,0.0174800846,0.025,-0.0075199154,3051,141.2,0.0037182075,0.0036291421,0.0003304785,11.25098085,-0.0149563304,-8.35003e-05,1,1
ASTATC,5,227531,23996960,1706482.5,14771,1144748,0.0649186265,0.0477038662,0.075,-0.0272961338,2378,59.5,0.0095349847,0.0085256673,0.0005165223,18.45996708,-0.0463661031,-0.0082261645,1,1
ASTATC,10,262865,24227669,3285812.5,28678,2721054,0.1090978259,0.112311855,0.125,-0.012688145,2406,122.3,0.0149396067,0.0124076964,0.0006080743,24.5687177,-0.0425673585,0.0171910684,0,1
ASTATC,15,312630,26423212,5471025,50382,4783360,0.1611553594,0.1810287186,0.175,0.0060287186,2463,126.8,0.0253503347,0.0181498979,0.0006575788,38.55102056,-0.0446719508,0.056729388,0,1
ASTATC,20,307351,22612900,6915397.5,58280,4504019,0.1896203364,0.1991791938,0.225,-0.0258208062,2510,91.1,0.0214045563,0.0175497013,0.0007070814,30.27170069,-0.0686299187,0.0169883063,0,1
ASTATC,25,306323,20810898,8423882.5,92742,6502932,0.3027588526,0.3124772301,0.275,0.0374772301,2502,57.7,0.0456749214,0.0405602829,0.0008301377,55.02089897,-0.0538726126,0.1288270728,0,1
ASTATC,30,296360,19432253,9631700,87985,5764286,0.2968855446,0.2966349678,0.325,-0.0283650322,2550,70.8,0.030950698,0.0251418131,0.0008392624,36.87845353,-0.0902664282,0.0335363638,0,1
ASTATC,35,331278,22866925,12422925,106512,7824393,0.321518483,0.342170773,0.375,-0.032829227,2605,70,0.0384977264,0.0338897341,0.000811476,47.44160755,-0.1098246798,0.0441662257,0,1
ASTATC,40,437379,33001799,18588607.5,160913,12754179,0.3679028943,0.386469192,0.425,-0.038530808,2698,136.9,0.0285793025,0.0237130639,0.0007291713,39.19422533,-0.0956894129,0.0186277969,0,1
ASTATC,45,562065,44528111,26698087.5,256202,20304551,0.4558227251,0.4559939861,0.475,-0.0190060139,2734,150.8,0.0324449773,0.0286550161,0.0006643163,48.83965171,-0.0838959684,0.0458839407,0,1
ASTATC,50,553326,46662684,29049615,270202,22394463,0.4883233392,0.4799223053,0.525,-0.0450776947,2738,62,0.0555292181,0.041353672,0.0006719872,82.63433794,-0.1561361308,0.0659807414,0,1
ASTATC,55,351043,28108816,20184972.5,204564,16095623,0.58273203,0.5726183176,0.575,-0.0023816824,2683,47.2,0.0693186393,0.0474600224,0.0008322653,83.28910941,-0.141018961,0.1362555962,0,1
ASTATC,60,212687,15572151,13292937.5,140814,11078548,0.6620714947,0.7114333552,0.625,0.0864333552,2600,32,0.0536308575,0.0383617868,0.0010256387,52.29020623,-0.0208283597,0.1936950701,0,1
ASTATC,65,145022,9279847,9788985,98760,6593678,0.6810001241,0.7105373421,0.675,0.0355373421,2499,47.4,0.0448173798,0.0321848621,0.0012239168,36.61799448,-0.0540974175,0.1251721017,0,1
ASTATC,70,89027,4936056,6454457.5,61407,3580065,0.68975704,0.725288665,0.725,0.000288665,2419,118.9,0.0236117307,0.0184729598,0.00155038,15.22964048,-0.0469347964,0.0475121263,0,1
ASTATC,75,69362,3950599,5375555,51665,3016752,0.7448602981,0.7636189116,0.775,-0.0113810884,2314,91.9,0.0238162044,0.0167082752,0.0016552578,14.38821497,-0.0590134973,0.0362513205,0,1
ASTATC,80,53167,2831151,4386277.5,41849,2231094,0.7871235917,0.7880519668,0.825,-0.0369480332,2227,92.2,0.0259128762,0.0181489698,0.0017752689,14.59659192,-0.0887737856,0.0148777193,0,1
ASTATC,85,42525,2498887,3720937.5,36096,2171082,0.8488183422,0.8688194988,0.875,-0.0061805012,2106,48.8,0.0218718191,0.0145042174,0.0017371398,12.59070754,-0.0499241394,0.0375631369,0,1
ASTATC,90,41053,2244991,3797402.5,36142,2070593,0.8803741505,0.9223168594,0.925,-0.0026831406,2169,129.7,0.0111107372,0.0123946045,0.0016016725,6.936959628,-0.0249046151,0.0195383338,0,1
ASTATC,95,248098,26157396,24189555,240412,24933176,0.9690203065,0.9531979581,0.975,-0.0218020419,3129,189.8,0.0115811285,0.0028525737,0.0003478511,33.29335149,-0.044964299,0.0013602152,0,1
TSC,0,185475,28535378,463687.5,3941,652686,0.0212481467,0.0228728815,0.025,-0.0021271185,2846,215.8,0.0053856041,0.0028789014,0.000334853,16.08348977,-0.0128983267,0.0086440896,0,1
TSC,5,147645,20248605,1107337.5,11016,1841676,0.074611399,0.0909532145,0.075,0.0159532145,1725,131.3,0.0174407697,0.0095122843,0.0006838412,25.50412067,-0.0189283249,0.0508347538,0,1
TSC,10,164508,21592798,2056350,19167,2796492,0.1165110511,0.1295104229,0.125,0.0045104229,1771,169.3,0.0155954969,0.0105201716,0.0007910257,19.71553678,-0.0266805708,0.0357014166,0,1
TSC,15,171782,21364865,3006185,28718,3875513,0.1671770034,0.1813965546,0.175,0.0063965546,1883,184,0.0188776572,0.0125109256,0.0009002763,20.96873833,-0.0313587598,0.044151869,0,1
TSC,20,203649,26202520,4582102.5,43171,5684675,0.2119872919,0.2169514435,0.225,-0.0080485565,1935,203.3,0.020154825,0.014008747,0.0009056917,22.25351653,-0.0483582065,0.0322610935,0,1
TSC,25,227280,29141299,6250200,55317,7199561,0.2433870116,0.2470569665,0.275,-0.0279430335,2035,200,0.0224054249,0.0151673737,0.0009001295,24.89133558,-0.0727538833,0.0168678164,0,1
TSC,30,264082,33330451,8582665,80221,10257500,0.3037730705,0.3077516093,0.325,-0.0172483907,2126,245,0.0198258712,0.0166341341,0.0008949126,22.15397378,-0.0569001332,0.0224033518,0,1
TSC,35,296814,38777201,11130525,110466,14486246,0.3721724716,0.3735763767,0.375,-0.0014236233,2248,344.9,0.021150429,0.0202586846,0.0008872584,23.83795913,-0.0437244813,0.0408772347,0,1
TSC,40,397104,54222763,16876920,154657,20929518,0.3894622064,0.3859913523,0.425,-0.0390086477,2449,298.5,0.023715456,0.0236932935,0.0007738144,30.64747317,-0.0864395596,0.0084222643,0,1
TSC,45,487247,75418939,23144232.5,222769,34728529,0.457199326,0.4604749067,0.475,-0.0145250933,2508,534.9,0.0186268669,0.0200295433,0.0007136716,26.10005481,-0.0517788271,0.0227286406,0,1
TSC,50,483522,76430886,25384905,237705,37426658,0.4916115503,0.4896797631,0.525,-0.0353202369,2540,526.2,0.0189061042,0.0193137607,0.0007189534,26.29670234,-0.0731324454,0.0024919715,0,1
TSC,55,386655,54876920,22232662.5,208615,29126489,0.5395378309,0.5307602744,0.575,-0.0442397256,2435,307.4,0.0240035713,0.0234301921,0.0008015786,29.94537446,-0.0922468681,0.0037674169,0,1
TSC,60,260479,33613816,16279937.5,159012,20469305,0.6104599603,0.6089551194,0.625,-0.0160448806,2297,261.6,0.0257211488,0.0236676773,0.0009554727,26.91981528,-0.0674871782,0.0353974169,0,1
TSC,65,216058,27301216,14583915,141579,17830033,0.6552823779,0.6530856738,0.675,-0.0219143262,2153,188.3,0.0292050249,0.0224084975,0.0010224941,28.56253633,-0.080324376,0.0364957236,0,1
TSC,70,169861,21795188,12314922.5,117966,15146428,0.6944854911,0.6949436869,0.725,-0.0300563131,2062,216,0.0247034775,0.0201492147,0.0011176367,22.10331547,-0.079463268,0.0193506418,0,1
TSC,75,142651,19496921,11055452.5,107149,14655718,0.7511268761,0.7516940015,0.775,-0.0233059985,2013,182.2,0.0276362264,0.0200711189,0.0011447436,24.14184747,-0.0785784514,0.0319664543,0,1
TSC,80,118045,16613086,9738712.5,94235,13059325,0.7982972595,0.7860866283,0.825,-0.0389133717,1891,116,0.0304247285,0.0196202727,0.0011679236,26.0502737,-0.0997628287,0.0219360852,0,1
TSC,85,88448,12686442,7739200,76246,10872030,0.8620432344,0.8569802533,0.875,-0.0180197467,1775,135,0.0295365464,0.0165753891,0.0011595568,25.47227273,-0.0770928395,0.0410533461,0,1
TSC,90,76250,12126687,7053125,69927,11260901,0.9170754098,0.9286049367,0.925,0.0036049367,1704,106.9,0.0145876873,0.0126360914,0.0009986752,14.60703859,-0.0255704378,0.0327803112,0,1
TSC,95,226358,40134073,22069905,221652,39307787,0.9792099241,0.9794118616,0.975,0.0044118616,3128,224.6,0.0040536174,0.0019908784,0.0002998942,13.51682663,-0.0036953732,0.0125190965,0,1
ASC,0,161856,26191602,404640,3393,391955,0.0209630783,0.014964894,0.025,-0.010035106,2684,126.8,0.0033135717,0.0038955411,0.0003560924,9.305371454,-0.0166622495,-0.0034079626,1,1
ASC,5,133731,20971235,1002982.5,8668,1065695,0.0648166842,0.050816967,0.075,-0.024183033,1679,94.8,0.0127429865,0.0132531379,0.000673249,18.92759734,-0.049669006,0.00130294,0,1
ASC,10,143851,20633699,1798137.5,14001,1586497,0.0973298761,0.0768886548,0.125,-0.0481113452,1705,66.5,0.0137247226,0.0136882764,0.0007815039,17.56193638,-0.0755607905,-0.0206619,1,1
ASC,15,162788,22175085,2848790,28112,3382436,0.1726908617,0.1525331751,0.175,-0.0224668249,1742,102,0.0297695328,0.0262476147,0.0009368227,31.77712659,-0.0820058905,0.0370722408,0,1
