group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error
ALL,0,58662871,30395171954,118503123.70003588,803622,286593876,0.013698988581721477,0.009428927608428426,0.025,-0.015571072391571576
ALL,5,45566395,8878688884,318482649.5000029,2522460,489013610,0.05535790136568847,0.05507723227933301,0.075,-0.019922767720666985
ALL,10,38977747,6251273997,467569836.09999675,4008660,650714083,0.10284483605478788,0.10409303500570909,0.125,-0.020906964994290914
ALL,15,36968161,5337443877,628245634.3999981,5671902,839703966,0.153426674375282,0.15732324036575532,0.175,-0.01767675963424467
ALL,20,36009523,4907202877,792728679.7999966,7450090,1050029603,0.2068922157063841,0.2139772145801177,0.225,-0.011022785419882303
ALL,25,36511920,4824185797,987090493.1000015,9212949,1236543973,0.2523271578158585,0.25632179709350444,0.275,-0.018678202906495578
ALL,30,37615129,4844720520,1203721840.6000009,11534080,1510767046,0.30663406737220017,0.31183781185379916,0.325,-0.013162188146200848
ALL,35,38379565,4887303179,1421347273.4999964,13565304,1741075961,0.35345121811568214,0.3562447217273402,0.375,-0.018755278272659826
ALL,40,40203788,5139448641,1689843068.900003,16522380,2093801282,0.41096575277931524,0.4073980359092764,0.425,-0.017601964090723565
ALL,45,46178690,6242297920,2172978317.200016,21366134,2908028411,0.4626838483291752,0.4658586386405601,0.475,-0.009141361359439881
ALL,50,47262907,6796960240,2456665438.0999985,23661876,3417065086,0.5006436866018419,0.5027343055342045,0.525,-0.022265694465795516
ALL,55,41577716,5649965321,2367171769.7999983,23067451,3161356150,0.5548032268054359,0.559535496306456,0.575,-0.015464503693543907
ALL,60,36325468,4654570620,2250558116.999998,22256543,2857750406,0.6126980387424051,0.6139664942928721,0.625,-0.01103350570712791
ALL,65,32534459,4097793703,2178080501.7000027,21750089,2736715649,0.668524686394816,0.6678510065053902,0.675,-0.0071489934946098455
ALL,70,28903882,3684477148,2080360067.5000064,20741453,2640074738,0.7176009437071463,0.7165398595111602,0.725,-0.008460140488839807
ALL,75,27690338,3579427513,2130707621.2000034,21326863,2761352740,0.7701915014544062,0.7714509457088146,0.775,-0.0035490542911854606
ALL,80,26796355,3594512177,2196936445.6000094,21906247,2925345770,0.817508463371231,0.8138366559774768,0.825,-0.01116334402252317
ALL,85,27810793,3914178582,2420219473.300012,24160422,3406934791,0.8687426496612305,0.8704086233232574,0.875,-0.004591376676742587
ALL,90,31008257,4572861794,2854829364.90016,28543167,4213998400,0.9205021423809794,0.9215232363963283,0.925,-0.003476763603671773
ALL,95,45973839,7826933740,4474912313.201162,44664443,7630515190,0.9715186717385076,0.9749047894712343,0.975,-9.521052876571012e-05
