report_ticker,is_sports,days_active,trades,contracts,yes_side_notional_volume,fees,grp,cat,mtype,wide_cat
KXMVESPORTSMULTIGAMEEXTENDED,TRUE,243,54107083,26848879817,2081991991.61,95534402.16,Sports,Parlay,Multi-game,Parlay
KXNBAGAME,TRUE,312,41253757,11636711354,5495358967.1,167624759.66,Sports,NBA,Game,Basketball
KXBTC15M,FALSE,221,105573483,7012649355,3456453581.41,74205741.57,Non-sports,Crypto,15-minute,Crypto
KXMVECROSSCATEGORY,TRUE,142,16905563,6873994652,885797165.37,38980353.25,Sports,Parlay,Multi-game,Parlay
KXMLBGAME,TRUE,346,28987097,6184447674,3094252184.37,95612999.41,Sports,Baseball,Game,Baseball
KXNCAAMBGAME,TRUE,159,32411063,5996630322,2800373507.46,78889247.34,Sports,College Basketball,Game,Basketball
KXNFLGAME,TRUE,305,15606333,5246424285,2513869653.55,65638380.6,Sports,NFL,Game,Football
KXBTCD,FALSE,632,49534626,5084858799,2505101945.95,54227019.36,Non-sports,Crypto,Daily,Crypto
KXWCGAME,TRUE,165,23163360,4348104723,1649737782.16,44215447.34,Sports,Other Sports,KXWCGAME,Other Sports
KXATPMATCH,TRUE,346,17990337,4290663834,2182714821.72,59946713.6,Sports,Tennis,Match/Fight,Tennis
KXNCAAFGAME,TRUE,254,12179918,4020318204,1940017998.29,47134264.57,Sports,College Football,Game,Football
KXATPCHALLENGERMATCH,TRUE,188,24899891,3497652772,1792477945.16,38509675.19,Sports,Tennis,Match/Fight,Tennis
KXPGATOUR,TRUE,407,6028136,3026016105,266492695.06,13804606.47,Sports,Golf,Futures,Golf
KXWTAMATCH,TRUE,336,11396481,2541875759,1327841061.89,35336537.61,Sports,Tennis,Match/Fight,Tennis
KXWCADVANCE,TRUE,24,14479590,2436930394,1154561407.93,27172156.46,Sports,Other Sports,KXWCADVANCE,Other Sports
KXNBASPREAD,TRUE,234,9244887,1586606288,749773533.14,28919893.14,Sports,NBA,Spread,Basketball
KXITFWMATCH,TRUE,99,17297437,1586520211,776350045.62,16812829.48,Sports,Tennis,Match/Fight,Tennis
KXNHLGAME,TRUE,308,9982520,1571605510,779661556.71,25906554.61,Sports,Hockey,Game,Hockey
KXITFMATCH,TRUE,99,15227889,1355244692,660014515.07,14528900.76,Sports,Tennis,Match/Fight,Tennis
KXNBATOTAL,TRUE,234,8254978,1327219357,681308935.67,23012508.42,Sports,NBA,Total,Basketball
KXMENWORLDCUP,TRUE,429,2154266,1234701218,89096034.1,5858593.45,Sports,Soccer,Other,Soccer
KXMLBTOTAL,TRUE,151,8689426,1231910734,602752414.17,17528583.05,Sports,Baseball,Total,Baseball
KXIPLGAME,TRUE,67,2620697,1047786863,504599916.58,12085528.53,Sports,Cricket,Game,Cricket
