date,cme_call_vol,cme_put_vol,cme_total_vol,cme_call_oi,cme_put_oi,source
2026-02-27,1246565,434885,1681450,,,prior_csv
2026-03-13,710843,245675,956518,,,prior_csv
2026-03-18,543630,97703,641333,994342,258037,bulletin_pdf
2026-03-20,2127011,1269656,3396667,1768939,899426,bulletin_pdf
2026-03-24,681972,205869,887841,,,prior_csv
2026-03-27,972499,491353,1463852,,,prior_csv
2026-04-01,707839,186511,894350,,,prior_csv
2026-04-06,3984590,1869871,5854461,1419911,303543,bulletin_pdf
2026-04-07,1192448,388098,1580546,1335324,267480,bulletin_pdf
2026-04-08,1078969,414284,1493253,1553959,298513,bulletin_pdf
2026-04-09,946662,292894,1239556,1746182,310646,bulletin_pdf
2026-04-10,946288,309964,1256252,1864016,111950,bulletin_pdf
2026-04-13,2997964,1082531,4080495,1449739,154983,bulletin_pdf
2026-04-16,841217,156483,997700,1842137,171496,bulletin_pdf
2026-04-17,621445,123327,744772,1931000,179516,bulletin_pdf
2026-04-20,3144084,760277,3904361,2234204,211553,bulletin_pdf
2026-04-21,985121,201607,1186728,,,bulletin_pdf
2026-04-22,1264994,250334,1515328,,,bulletin_pdf
2026-04-24,1042296,287064,1329360,,,bulletin_pdf
2026-04-27,4404914,1216995,5621909,,,bulletin_pdf
2026-04-28,1294824,321987,1616811,,,bulletin_pdf
2026-04-30,1257437,335006,1592443,,,bulletin_pdf
2026-05-01,1129824,369458,1499282,,,bulletin_pdf
2026-05-04,5244457,1404415,6648872,,,bulletin_pdf
2026-05-05,1306596,378040,1684636,,,bulletin_pdf
2026-05-06,1380475,321101,1701576,,,bulletin_pdf
2026-05-08,1030112,201737,1231849,,,bulletin_pdf
2026-05-11,4176967,860107,5037074,,,bulletin_pdf
2026-05-12,1136546,229532,1366078,,,bulletin_pdf
2026-05-14,1555227,306834,1862061,,,bulletin_pdf
2026-05-15,955736,157270,1113006,,,bulletin_pdf
2026-05-18,4673421,1153004,5826425,,,bulletin_pdf
2026-05-19,1676892,1048977,2725869,,,bulletin_pdf
2026-05-20,2038304,1127083,3165387,,,bulletin_pdf
2026-05-21,1891303,716468,2607771,,,bulletin_pdf
2026-05-27,2757576,1564663,4322239,,,bulletin_pdf
2026-05-28,2611811,1552032,4163843,,,bulletin_pdf
2026-05-29,1646889,788645,2435534,,,bulletin_pdf
2026-06-01,9467530,3331047,12798577,,,bulletin_pdf
2026-06-02,1637855,1343101,2980956,,,bulletin_pdf
2026-06-03,2347518,1713603,4061121,,,bulletin_pdf
2026-06-04,2679443,1806164,4485607,,,bulletin_pdf
2026-06-05,1496566,1436539,2933105,,,bulletin_pdf
2026-06-09,2315434,1072914,3388348,,,bulletin_pdf
2026-06-10,2360768,1281289,3642057,,,bulletin_pdf
2026-06-11,3502182,1543926,5046108,,,bulletin_pdf
2026-06-12,1479744,700609,2180353,,,bulletin_pdf
2026-06-15,8504887,1980680,10485567,,,bulletin_pdf
2026-06-17,7374409,3348388,10722797,,,bulletin_pdf
2026-06-19,3775848,1984230,5760078,,,bulletin_pdf
2026-06-22,11989835,3486159,15475994,,,bulletin_pdf
2026-06-23,4518301,1603738,6122039,,,bulletin_pdf
2026-06-24,4916166,2168748,7084914,,,bulletin_pdf
2026-06-26,3731680,1712499,5444179,,,bulletin_pdf
2026-06-29,7985097,2918357,10903454,,,bulletin_pdf
2026-06-30,2440935,1216141,3657076,,,bulletin_pdf
2026-07-02,2259896,767847,3027743,,,bulletin_pdf
