date,platform,contracts,fees,fees_exchange_revenue,open_interest,contracts_oi_bearing
2024-12-23,Crypto.com/Nadex,1504,1504,3008,,
2024-12-24,Crypto.com/Nadex,3511,3511,7022,,
2024-12-25,Crypto.com/Nadex,2887,2887,5774,,
2024-12-26,Crypto.com/Nadex,2438,2438,4876,,
2024-12-27,Crypto.com/Nadex,2597,2597,5194,,
2024-12-28,Crypto.com/Nadex,715,715,1430,,
2024-12-29,Crypto.com/Nadex,1828,1828,3656,,
2024-12-30,Crypto.com/Nadex,1844,1844,3688,,
2024-12-31,Crypto.com/Nadex,1599,1599,3198,,
2025-01-01,Crypto.com/Nadex,1580,1580,3160,,
2025-01-02,Crypto.com/Nadex,3918,3918,7836,,
2025-01-03,Crypto.com/Nadex,3040,3040,6080,,
2025-01-04,Crypto.com/Nadex,1838,1838,3676,,
2025-01-05,Crypto.com/Nadex,2643,2643,5286,,
2025-01-06,Crypto.com/Nadex,3211,3211,6422,,
2025-01-07,Crypto.com/Nadex,3162,3162,6324,,
2025-01-08,Crypto.com/Nadex,3191,3191,6382,,
2025-01-09,Crypto.com/Nadex,3934,3934,7868,,
2025-01-10,Crypto.com/Nadex,3592,3592,7184,,
2025-01-11,Crypto.com/Nadex,2934,2934,5868,,
2025-01-12,Crypto.com/Nadex,2849,2849,5698,,
2025-01-13,Crypto.com/Nadex,2403,2403,4806,,
2025-01-14,Crypto.com/Nadex,1554,1554,3108,,
2025-01-15,Crypto.com/Nadex,2188,2188,4376,,
2025-01-16,Crypto.com/Nadex,3772,3772,7544,,
2025-01-17,Crypto.com/Nadex,3138,3138,6276,,
2025-01-18,Crypto.com/Nadex,3443,3443,6886,,
2025-01-19,Crypto.com/Nadex,4449,4449,8898,,
2025-01-20,Crypto.com/Nadex,5656,5656,11312,,
2025-01-21,Crypto.com/Nadex,2738,2738,5476,,
2025-01-22,Crypto.com/Nadex,1886,1886,3772,,
2025-01-23,Crypto.com/Nadex,2570,2570,5140,,
2025-01-24,Crypto.com/Nadex,3231,3231,6462,,
2025-01-25,Crypto.com/Nadex,3649,3649,7298,,
2025-01-26,Crypto.com/Nadex,7677,7677,15354,,
2025-01-27,Crypto.com/Nadex,3227,3227,6454,,
2025-01-28,Crypto.com/Nadex,1943,1943,3886,,
2025-01-29,Crypto.com/Nadex,2007,2007,4014,,
2025-01-30,Crypto.com/Nadex,1822,1822,3644,,
2025-01-31,Crypto.com/Nadex,1530,1530,3060,,
2025-02-01,Crypto.com/Nadex,1231,1231,2462,,
2025-02-02,Crypto.com/Nadex,2186,2186,4372,,
2025-02-03,Crypto.com/Nadex,1882,1882,3764,,
2025-02-04,Crypto.com/Nadex,1366,1366,2732,,
2025-02-05,Crypto.com/Nadex,1559,1559,3118,,
2025-02-06,Crypto.com/Nadex,1953,1953,3906,,
2025-02-07,Crypto.com/Nadex,4766,4766,9532,,
2025-02-08,Crypto.com/Nadex,3509,3509,7018,,
2025-02-09,Crypto.com/Nadex,14620,14620,29240,,
2025-02-10,Crypto.com/Nadex,1795,1795,3590,,
