date,Kalshi,ForecastEx,Polymarket_US,Crypto.com/Nadex
2021-06-30,5,,,
2021-07-01,2529,,,
2021-07-02,1342,,,
2021-07-04,181,,,
2021-07-05,941,,,
2021-07-06,717,,,
2021-07-07,1402,,,
2021-07-08,14750,,,
2021-07-09,6510,,,
2021-07-10,5671,,,
2021-07-11,1602,,,
2021-07-12,3823,,,
2021-07-13,12325,,,
2021-07-14,3303,,,
2021-07-15,7496,,,
2021-07-16,6346,,,
2021-07-17,9361,,,
2021-07-18,7507,,,
2021-07-19,13332,,,
2021-07-20,24303,,,
2021-07-21,11003,,,
2021-07-22,21820,,,
2021-07-23,10619,,,
2021-07-24,29530,,,
2021-07-25,10396,,,
2021-07-26,21404,,,
2021-07-27,21242,,,
2021-07-28,12998,,,
2021-07-29,27129,,,
2021-07-30,30172,,,
2021-07-31,28025,,,
2021-08-01,33086,,,
2021-08-02,25664,,,
2021-08-03,48918,,,
2021-08-04,87876,,,
2021-08-05,80019,,,
2021-08-06,90554,,,
2021-08-07,50105,,,
2021-08-08,33774,,,
2021-08-09,86624,,,
2021-08-10,79820,,,
2021-08-11,87803,,,
2021-08-12,61470,,,
2021-08-13,91131,,,
2021-08-14,31871,,,
2021-08-15,67325,,,
2021-08-16,31181,,,
2021-08-17,79460,,,
2021-08-18,51525,,,
2021-08-19,60582,,,
2021-08-20,74500,,,
2021-08-21,60178,,,
2021-08-22,104766,,,
2021-08-23,42422,,,
2021-08-24,76878,,,
2021-08-25,72343,,,
2021-08-26,66374,,,
2021-08-27,102320,,,
2021-08-28,53494,,,
2021-08-29,73089,,,
2021-08-30,53405,,,
2021-08-31,65926,,,
2021-09-01,127954,,,
2021-09-02,29666,,,
2021-09-03,65368,,,
2021-09-04,61099,,,
2021-09-05,38107,,,
2021-09-06,35063,,,
2021-09-07,34211,,,
2021-09-08,54694,,,
2021-09-09,45528,,,
2021-09-10,53404,,,
2021-09-11,27444,,,
2021-09-12,27722,,,
2021-09-13,51982,,,
2021-09-14,68389,,,
2021-09-15,69756,,,
2021-09-16,8585,,,
2021-09-17,41810,,,
2021-09-18,6005,,,
2021-09-19,4608,,,
2021-09-20,6972,,,
2021-09-21,58298,,,
2021-09-22,48047,,,
2021-09-23,45841,,,
2021-09-24,58428,,,
2021-09-25,42734,,,
2021-09-26,33907,,,
2021-09-27,52048,,,
2021-09-28,111686,,,
2021-09-29,76867,,,
2021-09-30,100176,,,
2021-10-01,52851,,,
2021-10-02,30442,,,
2021-10-03,20849,,,
2021-10-04,53031,,,
2021-10-05,55383,,,
2021-10-06,95917,,,
2021-10-07,59074,,,
2021-10-08,54022,,,
2021-10-09,15109,,,
2021-10-10,17787,,,
2021-10-11,29645,,,
2021-10-12,45745,,,
2021-10-13,68811,,,
2021-10-14,50654,,,
2021-10-15,31330,,,
2021-10-16,20857,,,
2021-10-17,14908,,,
2021-10-18,34119,,,
2021-10-19,49869,,,
2021-10-20,79908,,,
2021-10-21,63806,,,
2021-10-22,41461,,,
2021-10-23,20566,,,
2021-10-24,18948,,,
2021-10-25,53338,,,
2021-10-26,58467,,,
2021-10-27,67767,,,
2021-10-28,95657,,,
2021-10-29,57114,,,
2021-10-30,45770,,,
