date,trades,contracts_total,notional_total,fees_total
2021-06-30,1,5,3.8,0.07
2021-07-01,38,2529,1187.74,39.54
2021-07-02,22,1342,485.55,16.32
2021-07-04,2,181,128.55,2.62
2021-07-05,20,941,477.17,7.34
2021-07-06,14,717,514.12,7.69
2021-07-07,28,1402,583.77,16.69
2021-07-08,108,14750,12314.81,113.62
2021-07-09,109,6510,4352.18,38.12
2021-07-10,22,5671,1925.22,11.43
2021-07-11,46,1602,504.97,22.3
2021-07-12,52,3823,1296.18,27.47
2021-07-13,138,12325,3796.14,76.22
2021-07-14,55,3303,954.48,32.21
2021-07-15,119,7496,2722.37,71.7
2021-07-16,98,6346,3244,74.9
2021-07-17,116,9361,7170.97,62.68
2021-07-18,111,7507,5356.84,59.12
2021-07-19,248,13332,3641.95,113.64
2021-07-20,289,24303,6011.5,191.36
2021-07-21,172,11003,4702.42,96.84
2021-07-22,304,21820,7648.77,162.87
2021-07-23,222,10619,4833.29,129.94
2021-07-24,252,29530,13890.22,221.36
2021-07-25,123,10396,1869.65,66.36
2021-07-26,361,21404,5017.81,196.3
2021-07-27,307,21242,7588.77,153.67
2021-07-28,212,12998,7761.11,102.26
2021-07-29,432,27129,10636.45,268.61
2021-07-30,524,30172,16588.56,259.93
2021-07-31,479,28025,10465.13,218.25
2021-08-01,629,33086,19784.18,364.63
2021-08-02,414,25664,11844.03,223.73
2021-08-03,713,48918,17144.4,475.98
2021-08-04,973,87876,54154.43,747.5
2021-08-05,1113,80019,45867.68,711.86
2021-08-06,890,90554,53463.36,661.12
2021-08-07,491,50105,28786.21,419.8
2021-08-08,479,33774,11055.22,331.03
2021-08-09,1033,86624,26274.26,715.58
2021-08-10,1071,79820,32507.73,798.9
2021-08-11,1344,87803,33856.45,761.74
2021-08-12,947,61470,16133.11,588.88
2021-08-13,1498,91131,42653.24,914.95
2021-08-14,434,31871,8185.81,312.25
2021-08-15,556,67325,6919.55,306.48
2021-08-16,537,31181,14818.28,278.01
2021-08-17,881,79460,24715.64,505.72
2021-08-18,974,51525,26784.03,562.11
2021-08-19,834,60582,40367.45,548.48
2021-08-20,2289,74500,30696.69,798.42
2021-08-21,1294,60178,28969.53,545.78
2021-08-22,2137,104766,41013.84,975.58
2021-08-23,766,42422,12309.81,297.56
2021-08-24,1430,76878,37302.05,822
2021-08-25,1327,72343,28220.46,628.89
2021-08-26,1468,66374,27258.45,501.69
2021-08-27,1824,102320,64781.33,770.38
2021-08-28,784,53494,30208.42,365.58
2021-08-29,1545,73089,33964.91,504.09
2021-08-30,1139,53405,25548.64,610.64
2021-08-31,1271,65926,25442.05,604.93
2021-09-01,804,127954,97837.52,828.03
2021-09-02,697,29666,8816.48,282.98
2021-09-03,957,65368,31652.36,616.13
2021-09-04,890,61099,37332.58,635.11
2021-09-05,583,38107,17493.98,246.39
2021-09-06,380,35063,20329.41,191.43
2021-09-07,681,34211,12019.21,300.88
2021-09-08,1093,54694,27212.43,588.94
2021-09-09,622,45528,28388.75,404.96
2021-09-10,1100,53404,27810.79,532.27
2021-09-11,572,27444,16882.64,213.39
2021-09-12,433,27722,16574.64,296.42
2021-09-13,882,51982,25219.85,516.61
2021-09-14,1129,68389,31449.08,549.07
2021-09-15,1124,69756,36360.94,558.45
2021-09-16,178,8585,4396.72,78.78
2021-09-17,437,41810,26941.86,273.75
2021-09-18,53,6005,2428.8,27.51
2021-09-19,82,4608,1788.95,40.12
2021-09-20,107,6972,2253.28,67.57
2021-09-21,586,58298,24978.62,496.83
2021-09-22,811,48047,16442.63,412.56
2021-09-23,627,45841,25826.97,346.41
2021-09-24,685,58428,32684.85,474.44
2021-09-25,439,42734,27292.85,306.37
2021-09-26,693,33907,18361.37,350.72
2021-09-27,557,52048,31910.1,385.18
2021-09-28,1403,111686,43985.59,1041.84
2021-09-29,917,76867,46917.26,532.72
2021-09-30,952,100176,26467.81,725.55
2021-10-01,771,52851,19798.31,532.62
2021-10-02,347,30442,15520.7,265.93
2021-10-03,245,20849,12011.66,195.38
2021-10-04,636,53031,26162.68,537.46
2021-10-05,720,55383,23490.04,629.15
2021-10-06,1020,95917,46683.05,868.42
2021-10-07,649,59074,35070.56,533.01
2021-10-08,719,54022,30727.37,491.86
2021-10-09,813,15109,9145.73,133.94
2021-10-10,642,17787,6108.9,149.12
2021-10-11,1184,29645,12752.08,288.22
2021-10-12,1604,45745,26170.03,365.8
2021-10-13,2103,68811,33763.96,675.41
2021-10-14,1703,50654,25559.91,436.6
2021-10-15,1022,31330,19129.08,240.78
2021-10-16,786,20857,10861.13,161.17
2021-10-17,668,14908,8613.08,102.84
