date,contracts_nonsports,contracts_sports,notional_nonsports,notional_sports,fees_nonsports,fees_sports,contracts_parlay,share_sports,share_nonsports,share_parlay
2021-06-30,5,0,3.8,0,0.07,0,0,0,1,0
2021-07-01,2529,0,1187.74,0,39.54,0,0,0,1,0
2021-07-02,1342,0,485.55,0,16.32,0,0,0,1,0
2021-07-04,181,0,128.55,0,2.62,0,0,0,1,0
2021-07-05,941,0,477.17,0,7.34,0,0,0,1,0
2021-07-06,717,0,514.12,0,7.69,0,0,0,1,0
2021-07-07,1402,0,583.77,0,16.69,0,0,0,1,0
2021-07-08,14750,0,12314.81,0,113.62,0,0,0,1,0
2021-07-09,6510,0,4352.18,0,38.12,0,0,0,1,0
2021-07-10,5671,0,1925.22,0,11.43,0,0,0,1,0
2021-07-11,1602,0,504.97,0,22.3,0,0,0,1,0
2021-07-12,3823,0,1296.18,0,27.47,0,0,0,1,0
2021-07-13,12325,0,3796.14,0,76.22,0,0,0,1,0
2021-07-14,3303,0,954.48,0,32.21,0,0,0,1,0
2021-07-15,7496,0,2722.37,0,71.7,0,0,0,1,0
2021-07-16,6346,0,3244,0,74.9,0,0,0,1,0
2021-07-17,9361,0,7170.97,0,62.68,0,0,0,1,0
2021-07-18,7507,0,5356.84,0,59.12,0,0,0,1,0
2021-07-19,13332,0,3641.95,0,113.64,0,0,0,1,0
2021-07-20,24303,0,6011.5,0,191.36,0,0,0,1,0
2021-07-21,11003,0,4702.42,0,96.84,0,0,0,1,0
2021-07-22,21820,0,7648.77,0,162.87,0,0,0,1,0
2021-07-23,10619,0,4833.29,0,129.94,0,0,0,1,0
2021-07-24,29530,0,13890.22,0,221.36,0,0,0,1,0
2021-07-25,10396,0,1869.65,0,66.36,0,0,0,1,0
2021-07-26,21404,0,5017.81,0,196.3,0,0,0,1,0
2021-07-27,21242,0,7588.77,0,153.67,0,0,0,1,0
2021-07-28,12998,0,7761.11,0,102.26,0,0,0,1,0
2021-07-29,27129,0,10636.45,0,268.61,0,0,0,1,0
2021-07-30,30172,0,16588.56,0,259.93,0,0,0,1,0
2021-07-31,28025,0,10465.13,0,218.25,0,0,0,1,0
2021-08-01,33086,0,19784.18,0,364.63,0,0,0,1,0
2021-08-02,25664,0,11844.03,0,223.73,0,0,0,1,0
2021-08-03,48918,0,17144.4,0,475.98,0,0,0,1,0
2021-08-04,87876,0,54154.43,0,747.5,0,0,0,1,0
