group,bin_width,price_bin,n_trades,n_contracts,n_events,n_events_total,sum_price,sum_price_contracts,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error,se_clustered,ci_low,ci_high,t_stat,clears_2se
ALL,5,0,2204,310916,491,812,6244,874161,44,10324,0.019964,0.033205,0.025,0.008205,0.016636,-0.000067,0.066478,0.493205,0
ALL,5,5,3250,426356,536,812,23320,2995815,151,27684,0.046462,0.064932,0.075,-0.010068,0.016914,0.031104,0.098759,0.595274,0
ALL,5,10,4101,499457,566,812,48775,5918699,412,60060,0.100463,0.120251,0.125,-0.004749,0.022607,0.075037,0.165464,0.210088,0
ALL,5,15,3735,452683,573,812,63813,7708193,592,81044,0.158501,0.17903,0.175,0.00403,0.021399,0.136232,0.221829,0.188343,0
ALL,5,20,4063,463540,591,812,89699,10224796,691,89255,0.170071,0.192551,0.225,-0.032449,0.0199,0.15275,0.232352,1.630583,0
ALL,5,25,4937,544316,626,812,133313,14704735,1243,137497,0.251772,0.252605,0.275,-0.022395,0.020435,0.211736,0.293474,1.095927,0
ALL,5,30,5341,583069,639,812,171396,18727965,1725,199269,0.322973,0.341759,0.325,0.016759,0.026859,0.288041,0.395477,0.62396,0
ALL,5,35,7193,861881,683,812,267561,32060188,2643,328715,0.367441,0.381393,0.375,0.006393,0.030614,0.320165,0.44262,0.208812,0
ALL,5,40,15038,1854867,739,812,636099,78539259,6372,809329,0.423727,0.436327,0.425,0.011327,0.019299,0.39773,0.474924,0.586946,0
ALL,5,45,22070,2722851,757,812,1038068,128194526,10206,1303242,0.462438,0.478631,0.475,0.003631,0.017769,0.443094,0.514169,0.204369,0
ALL,5,50,21399,2812870,748,812,1111477,146223615,11142,1440745,0.520679,0.512198,0.525,-0.012802,0.020039,0.47212,0.552275,0.638889,0
ALL,5,55,15055,2008056,747,812,853875,113838225,8029,1113102,0.533311,0.554318,0.575,-0.020682,0.025565,0.503189,0.605447,0.809004,0
ALL,5,60,7028,916783,673,812,433279,56484902,4257,577036,0.60572,0.629414,0.625,0.004414,0.0265,0.576413,0.682415,0.166562,0
ALL,5,65,3510,508539,571,812,234273,33937422,2327,334434,0.662963,0.657637,0.675,-0.017363,0.030758,0.596122,0.719152,0.564516,0
ALL,5,70,2284,363329,489,812,164371,26175634,1678,289628,0.734676,0.797151,0.725,0.072151,0.030053,0.737044,0.857257,2.400771,1
ALL,5,75,1817,257804,469,812,139658,19830830,1412,198312,0.777105,0.769236,0.775,-0.005764,0.02923,0.710776,0.827695,0.197211,0
ALL,5,80,1377,221300,416,812,112747,18120635,1169,189494,0.848947,0.856277,0.825,0.031277,0.026348,0.803581,0.908972,1.187064,0
ALL,5,85,1355,240120,404,812,117903,20904821,1210,220688,0.892989,0.919074,0.875,0.044074,0.024153,0.870768,0.96738,1.824783,0
ALL,5,90,1398,253674,385,812,128692,23321046,1325,238724,0.947783,0.941066,0.925,0.016066,0.022162,0.896741,0.985391,0.724924,0
ALL,5,95,2257,291073,472,812,219210,28284028,2230,285881,0.988037,0.982163,0.975,0.007163,0.008459,0.965245,0.99908,0.846775,0
ALL,10,0,5454,737272,623,812,29564,3869976,195,38008,0.035754,0.051552,0.05,0.001552,0.015237,0.021078,0.082026,0.101871,0
ALL,10,10,7836,952140,658,812,112588,13626892,1004,141104,0.128127,0.148197,0.15,-0.001803,0.018755,0.110687,0.185707,0.096151,0
ALL,10,20,9000,1007856,684,812,223012,24929531,1934,226752,0.214889,0.224985,0.25,-0.025015,0.016136,0.192713,0.257256,1.550314,0
ALL,10,30,12534,1444950,730,812,438957,50788153,4368,527984,0.348492,0.365399,0.35,0.015399,0.026579,0.312242,0.418557,0.579396,0
ALL,10,40,37108,4577718,774,812,1674167,206733785,16578,2112571,0.44675,0.46149,0.45,0.01149,0.015902,0.429687,0.493293,0.722567,0
ALL,10,50,36454,4820926,776,812,1965352,260061840,19171,2553847,0.525896,0.529742,0.55,-0.020258,0.018382,0.492978,0.566506,1.102053,0
ALL,10,60,10538,1425322,718,812,667552,90422324,6584,911470,0.624786,0.639484,0.65,-0.010516,0.022703,0.594078,0.684889,0.463219,0
ALL,10,70,4101,621133,592,812,304029,46006464,3090,487940,0.753475,0.785564,0.75,0.035564,0.021877,0.74181,0.829319,1.625635,0
ALL,10,80,2732,461420,529,812,230650,39025456,2379,410182,0.870791,0.888956,0.85,0.038956,0.019743,0.84947,0.928442,1.973143,0
ALL,10,90,3655,544747,550,812,347902,51605074,3555,524605,0.97264,0.963025,0.95,0.013025,0.011239,0.940548,0.985503,1.158938,0
