date,contracts,trade_count,yes_side_notional,avg_price,avg_trade_size,listed_markets,traded_markets,market_report_volume,open_interest,settlements,settled_yes,settled_no,settled_void,settled_other,void_rate
2026-06-11,1,1,0.5,0.5,1,184,1,1,0,161,69,90,2,0,0.012422
2026-06-12,0,0,0,,,529,0,0,0,340,152,163,25,0,0.073529
2026-06-13,0,0,0,,,874,0,0,0,346,104,234,8,0,0.023121
2026-06-14,0,0,0,,,1219,0,0,0,345,127,214,4,0,0.011594
2026-06-15,0,0,0,,,1449,0,0,0,238,92,120,26,0,0.109244
2026-06-16,0,0,0,,,2373,0,0,0,563,190,362,11,0,0.019538
2026-06-17,50,1,23.5,0.47,50,3254,0,0,0,532,209,323,0,0,0
2026-06-18,25,1,12.75,0.51,25,5788,1,25,0,680,205,469,6,0,0.008824
2026-06-19,0,0,0,,,6822,0,0,0,966,341,621,4,0,0.004141
2026-06-20,0,0,0,,,7935,0,0,0,884,299,583,2,0,0.002262
2026-06-21,0,0,0,,,8770,0,0,0,1080,362,718,0,0,0
2026-06-22,0,0,0,,,10128,0,0,0,620,126,488,6,0,0.009677
2026-06-23,0,0,0,,,11261,0,0,0,1049,344,699,6,0,0.00572
2026-06-24,0,0,0,,,12231,0,0,0,1307,449,848,10,0,0.007651
2026-06-25,381,23,206.96,0.543202,16.565217,13119,10,381,5,1041,306,703,32,0,0.03074
2026-06-26,988,52,485.91,0.491812,19,14349,16,988,0,858,291,555,10,2,0.011655
2026-06-27,3583,45,1334.7,0.372509,79.622222,15531,17,3583,88,1049,332,709,8,0,0.007626
2026-06-28,0,0,0,,,16279,0,0,88,1110,319,787,4,0,0.003604
2026-06-29,3274,43,1388.76,0.424178,76.139535,17353,16,3274,88,1278,313,549,416,0,0.325509
2026-06-30,5795,108,2121.24,0.366047,53.657407,17176,33,5795,217,1063,416,641,6,0,0.005644
2026-07-01,46038,446,23814.05,0.517269,103.224215,17040,93,46038,416,1086,448,634,4,0,0.003683
2026-07-02,106752,948,53047.71,0.496925,112.607595,16874,123,106752,7558,836,306,466,64,0,0.076555
2026-07-03,136831,1234,68675.23,0.501898,110.884117,17175,206,136831,565,954,354,594,6,0,0.006289
2026-07-04,243334,2359,118553.47,0.487205,103.151335,17312,279,243334,862,1172,419,689,59,5,0.050341
2026-07-05,263126,2400,120979.96,0.45978,109.635833,16751,273,263126,1519,1194,367,823,4,0,0.00335
2026-07-06,98526,890,48549.51,0.492758,110.703371,16547,109,98526,2062,1848,357,1479,12,0,0.006494
2026-07-07,154889,1322,74691.01,0.482223,117.162632,15841,236,154896,2143,1174,424,733,14,3,0.011925
2026-07-08,226735,1815,106855.52,0.471279,124.922865,15735,249,226735,2461,1199,412,763,22,2,0.018349
2026-07-09,180606,1565,89396.91,0.494983,115.403195,15452,198,180606,5333,918,312,602,4,0,0.004357
2026-07-10,183602,1445,89886.12,0.48957,127.060208,15556,199,183602,14532,909,275,537,80,17,0.088009
2026-07-11,213028,1772,98359.16,0.461719,120.218962,15710,242,213028,14220,1213,335,870,8,0,0.006595
2026-07-12,360236,2885,172936.96,0.480066,124.865165,14842,244,360311,18380,1018,318,692,8,0,0.007859
2026-07-13,9898,120,4223.99,0.426752,82.483333,14010,33,9900,8617,38,1,37,0,0,0
2026-07-14,154597,1098,76837,0.497015,140.798725,14196,100,154597,22447,186,36,150,0,0,0
2026-07-15,200232,1673,93657.78,0.467746,119.684399,14393,137,200232,18901,191,63,128,0,0,0
2026-07-16,319842,2726,151803.09,0.474619,117.330154,14876,199,319842,51522,364,101,263,0,0,0
2026-07-17,456041,3091,220047.05,0.482516,147.538337,15646,314,456013,71499,855,296,555,4,0,0.004678
2026-07-18,715335,5264,329839.39,0.461098,135.891907,15942,375,715335,89783,1272,397,790,75,10,0.058962
2026-07-19,575320,4102,266800.61,0.463743,140.253535,15274,369,575403,59380,1181,432,745,4,0,0.003387
2026-07-20,605034,3481,319754.58,0.52849,173.810399,15108,285,605034,48719,759,280,477,2,0,0.002635
2026-07-21,387061,3030,191319.31,0.494287,127.742904,15584,318,387061,9517,1306,416,722,157,11,0.120214
2026-07-22,506816,3378,252393.74,0.497999,150.03434,15031,374,507316,16447,1250,381,826,37,6,0.0296
2026-07-23,506150,3732,245558.83,0.48515,135.62433,14701,277,506150,41154,487,145,340,2,0,0.004107
2026-07-24,844054,5754,395904.29,0.469051,146.689955,15347,377,844404,91855,1142,307,767,52,16,0.045534
2026-07-25,937729,6955,446367.89,0.476009,134.828037,15324,437,939349,70573,1190,352,830,8,0,0.006723
2026-07-26,1002281,8207,476596.4,0.475512,122.125137,14866,395,1002414,18219,1191,416,769,6,0,0.005038
2026-07-27,512324,3181,266401.5,0.519986,161.057529,28847,228,512324,15294,4812,1005,3801,6,0,0.001247
2026-07-28,509515,4007,259883.38,0.51006,127.156227,34128,588,509515,116465,7415,1119,6294,2,0,0.00027
2026-07-29,806667,6080,377549.65,0.468037,132.675493,36631,865,806667,90964,14509,2292,11813,400,4,0.027569
2026-07-30,688032,5030,311107.44,0.45217,136.785686,30821,704,688032,28474,6526,938,5277,308,3,0.047196
2026-07-31,745443,5677,335890.29,0.450592,131.309318,33152,944,745443,152416,9300,1406,7884,4,6,0.00043
2026-08-01,983501,6685,425081.88,0.432213,147.120568,27510,1076,983501,50724,8284,1541,6632,87,24,0.010502
2026-08-02,1048537,8407,479318.35,0.457131,124.721898,23201,1065,1048537,34564,4454,864,3557,27,6,0.006062
2026-08-03,360125,3375,168610.79,0.468201,106.703704,21145,641,361422,29056,2281,467,1410,353,51,0.154757
2026-08-04,472924,4544,230645.86,0.487702,104.076585,24637,951,472924,80157,3419,590,2815,12,2,0.00351
2026-08-05,605580,5958,291928.15,0.482064,101.64149,24585,1001,605580,57226,4300,772,3512,14,2,0.003256
