date,category,status,settlements,settled_yes,settled_no,avg_settlement_price,settled_void,settled_other
2026-06-11,Baseball,Settled Early,161,69,90,0.434783,2,0
2026-06-12,Baseball,Settled Early,340,152,163,0.483824,25,0
2026-06-13,Baseball,Settled Early,346,104,234,0.312139,8,0
2026-06-14,Baseball,Settled Early,345,127,214,0.373913,4,0
2026-06-15,Baseball,Settled Early,238,92,120,0.441176,26,0
2026-06-16,Baseball,Settled Early,563,190,362,0.347247,11,0
2026-06-17,Baseball,Settled Early,532,209,323,0.392857,0,0
2026-06-18,Baseball,Settled Early,680,205,469,0.305882,6,0
2026-06-19,Baseball,Settled Early,966,341,621,0.355072,4,0
2026-06-20,Baseball,Settled Early,884,299,583,0.339367,2,0
2026-06-21,Baseball,Settled Early,1080,362,718,0.335185,0,0
2026-06-22,Baseball,Settled Early,620,126,488,0.208065,6,0
2026-06-23,Baseball,Settled Early,1049,344,699,0.330791,6,0
2026-06-24,Baseball,Settled Early,1307,449,848,0.34736,10,0
2026-06-25,Baseball,Settled Early,1041,306,703,0.309318,32,0
2026-06-26,Baseball,Settled Early,858,291,555,0.346154,10,2
2026-06-27,Baseball,Settled Early,1049,332,709,0.320305,8,0
2026-06-28,Baseball,Settled Early,1110,319,787,0.289189,4,0
2026-06-29,Baseball,Settled Early,1278,313,549,0.407668,416,0
2026-06-30,Baseball,Settled Early,1063,416,641,0.394167,6,0
2026-07-01,Baseball,Settled Early,1083,447,632,0.414589,4,0
2026-07-01,Golf,Settled Early,3,1,2,0.333333,0,0
2026-07-02,Baseball,Settled Early,836,306,466,0.404306,64,0
2026-07-03,Baseball,Settled Early,954,354,594,0.374214,6,0
2026-07-04,Baseball,Settled Early,1172,419,689,0.38465,59,5
2026-07-05,Baseball,Settled Early,1194,367,823,0.309045,4,0
2026-07-06,Baseball,Settled Early,355,171,184,0.48169,0,0
2026-07-06,Golf,Settled Early,1493,186,1295,0.1286,12,0
2026-07-07,Baseball,Settled Early,1174,424,733,0.368586,14,3
2026-07-08,Baseball,Settled Early,1199,412,763,0.353628,22,2
2026-07-09,Baseball,Settled Early,918,312,602,0.342048,4,0
2026-07-10,Baseball,Settled Early,909,275,537,0.356447,80,17
2026-07-11,Baseball,Settled Early,1213,335,870,0.279472,8,0
2026-07-12,Baseball,Settled Early,1018,318,692,0.316306,8,0
2026-07-13,Motorsport,Settled Early,38,1,37,0.026316,0,0
2026-07-14,Baseball,Settled Early,186,36,150,0.193548,0,0
2026-07-15,Baseball,Settled Early,188,62,126,0.329787,0,0
2026-07-15,Soccer,Settled Early,3,1,2,0.333333,0,0
2026-07-16,Baseball,Settled Early,364,101,263,0.277473,0,0
2026-07-17,Baseball,Settled Early,852,295,553,0.348592,4,0
2026-07-17,Soccer,Settled Early,3,1,2,0.333333,0,0
2026-07-18,Baseball,Settled Early,1254,391,778,0.345734,75,10
2026-07-18,Soccer,Settled Early,18,6,12,0.333333,0,0
2026-07-19,Baseball,Settled Early,1144,431,709,0.378497,4,0
2026-07-19,Motorsport,Settled Early,37,1,36,0.027027,0,0
2026-07-20,Baseball,Settled Early,731,278,451,0.381669,2,0
2026-07-20,Motorsport,Settled Early,25,1,24,0.04,0,0
2026-07-20,Soccer,Settled Early,3,1,2,0.333333,0,0
2026-07-21,Baseball,Settled Early,1306,416,722,0.382611,157,11
2026-07-22,Baseball,Settled Early,1250,381,826,0.321768,37,6
2026-07-23,Baseball,Settled Early,487,145,340,0.299795,2,0
2026-07-24,Baseball,Settled Early,1139,306,765,0.29734,52,16
2026-07-24,Soccer,Settled Early,3,1,2,0.333333,0,0
2026-07-25,Baseball,Settled Early,1178,348,822,0.298812,8,0
2026-07-25,Soccer,Settled Early,12,4,8,0.333333,0,0
2026-07-26,Baseball,Settled Early,1149,414,729,0.362924,6,0
2026-07-26,Motorsport,Settled Early,39,1,38,0.025641,0,0
2026-07-26,Soccer,Settled Early,3,1,2,0.333333,0,0
2026-07-27,Baseball,Settled Early,4806,1003,3797,0.209322,6,0
2026-07-27,Soccer,Settled Early,6,2,4,0.333333,0,0
2026-07-28,Baseball,Settled Early,7415,1119,6294,0.151045,2,0
2026-07-29,Baseball,Settled Early,14509,2292,11813,0.1719,400,4
2026-07-30,Baseball,Settled Early,6517,935,5271,0.16745,308,3
2026-07-30,Soccer,Settled Early,9,3,6,0.333333,0,0
2026-07-31,Baseball,Settled Early,9297,1405,7882,0.151598,4,6
2026-07-31,Soccer,Settled Early,3,1,2,0.333333,0,0
2026-08-01,Baseball,Settled Early,8272,1537,6624,0.192458,87,24
2026-08-01,Soccer,Settled Early,12,4,8,0.333333,0,0
2026-08-02,Baseball,Settled Early,4445,861,3551,0.19735,27,6
2026-08-02,Soccer,Settled Early,9,3,6,0.333333,0,0
2026-08-03,Baseball,Settled Early,2281,467,1410,0.290986,353,51
2026-08-04,Baseball,Settled Early,3419,590,2815,0.174724,12,2
2026-08-05,Baseball,Settled Early,4300,772,3512,0.181333,14,2
2026-08-06,Baseball,Settled Early,3456,687,2541,0.231013,168,60
2026-08-06,Soccer,Settled Early,3,1,2,0.333333,0,0
2026-08-07,Baseball,Settled Early,3278,656,2606,0.202639,15,1
2026-08-07,Soccer,Settled Early,6,2,4,0.333333,0,0
2026-08-08,Baseball,Settled Early,4934,838,4076,0.171844,19,1
