date,contracts_sports,contracts_nonsports,contracts_total,contracts_mlb,contracts_npb,contracts_kbo,contracts_other_leagues
2026-06-11,1,0,1,1,0,0,0
2026-06-12,0,0,0,0,0,0,0
2026-06-13,0,0,0,0,0,0,0
2026-06-14,0,0,0,0,0,0,0
2026-06-15,0,0,0,0,0,0,0
2026-06-16,0,0,0,0,0,0,0
2026-06-17,50,0,50,50,0,0,0
2026-06-18,25,0,25,25,0,0,0
2026-06-19,0,0,0,0,0,0,0
2026-06-20,0,0,0,0,0,0,0
2026-06-21,0,0,0,0,0,0,0
2026-06-22,0,0,0,0,0,0,0
2026-06-23,0,0,0,0,0,0,0
2026-06-24,0,0,0,0,0,0,0
2026-06-25,381,0,381,381,0,0,0
2026-06-26,988,0,988,988,0,0,0
2026-06-27,3583,0,3583,3583,0,0,0
2026-06-28,0,0,0,0,0,0,0
2026-06-29,3274,0,3274,3274,0,0,0
2026-06-30,5795,0,5795,5666,91,38,0
2026-07-01,46038,0,46038,44311,306,1421,0
2026-07-02,106752,0,106752,95564,3346,7842,0
2026-07-03,136831,0,136831,102556,10308,23967,0
2026-07-04,243334,0,243334,130424,91877,21033,0
2026-07-05,263126,0,263126,143556,83941,35629,0
2026-07-06,98526,0,98526,97740,346,440,0
2026-07-07,154889,0,154889,135209,8578,11102,0
2026-07-08,226735,0,226735,187867,11340,27528,0
2026-07-09,180606,0,180606,144436,13720,21437,1013
2026-07-10,183602,0,183602,148980,31139,46,3437
2026-07-11,213028,0,213028,162990,42747,0,7291
2026-07-12,360236,0,360236,158693,194557,0,6986
2026-07-13,9898,0,9898,0,9898,0,0
2026-07-14,154597,0,154597,0,154597,0,0
2026-07-15,200232,0,200232,0,195071,3980,1181
2026-07-16,319842,0,319842,46453,197125,74029,2235
2026-07-17,456041,0,456041,283085,76809,85020,11127
2026-07-18,715335,0,715335,304690,244869,76913,88863
2026-07-19,575320,0,575320,168423,271069,67154,68674
2026-07-20,605034,0,605034,283981,320222,831,0
2026-07-21,387061,0,387061,236429,57211,92272,1149
2026-07-22,506816,0,506816,355267,77225,67114,7210
2026-07-23,506150,0,506150,338936,73013,88346,5855
2026-07-24,844054,0,844054,535357,85648,107584,115465
2026-07-25,937729,0,937729,516893,256637,128468,35731
2026-07-26,1002281,0,1002281,433078,357732,113484,97987
2026-07-27,512324,0,512324,505650,0,6171,503
2026-07-28,509515,0,509515,432783,0,76509,223
2026-07-29,806667,0,806667,601237,0,173219,32211
2026-07-30,688032,0,688032,558764,354,126571,2343
2026-07-31,745443,0,745443,617130,48651,74388,5274
2026-08-01,983501,0,983501,705138,203429,55757,19177
2026-08-02,1048537,0,1048537,500648,278415,164777,104697
2026-08-03,360125,0,360125,274702,79178,6052,193
2026-08-04,472924,0,472924,345211,52064,72367,3282
2026-08-05,605580,0,605580,455738,100415,32727,16700
2026-08-06,655179,0,655179,505641,141958,0,7580
