group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error,calib_error_qty,n_events,n_contracts_distinct,n_settle_days,g_eff,se_event_cents,se_event_cents_qty,se_day_cents,se_naive_cents,significant_2se
ALL,0,194397,71528265,551170,4181,723928,0.021507533552472518,0.010120866205827864,0.028352803798412526,-0.006845270245936373,-0.015910485735953633,8585,27017,446,51.326684863039965,0.31617515734033314,0.5080961639472305,0.3173013674593021,0.03282697039856134,1
ALL,5,337903,74151639,2390665,20161,1924450,0.05966505180480789,0.02595289903167211,0.07075003773272211,-0.011084985927890442,-0.04447932728769804,9471,32450,466,141.47858538471343,0.6323770879341786,1.1088431972503043,0.6331147952072409,0.04074656262986993,0
ALL,10,367747,76980088,4390976,33480,2928216,0.0910408514549405,0.038038615908051444,0.1194020889361436,-0.02836123748118932,-0.08221528234678478,9541,31799,472,63.07481347980821,1.2456522028184815,1.8666674655401474,1.2494816756218041,0.047456556943174015,1
ALL,15,333842,56303271,5646423,44847,4378389,0.13433600325902673,0.0777643806875803,0.16913459061472194,-0.03479858735569656,-0.09150143425946969,9375,28492,479,81.99476540319574,1.5885831154371304,3.133963773462959,1.6082043603010177,0.05900354093847562,1
ALL,20,287095,33550534,6281368,56598,5317885,0.19714031940646823,0.15850373648300203,0.2187905745484944,-0.021650255142037396,-0.06059723520346763,9303,27260,479,530.6959975218939,1.0806642067865762,2.718934811871374,1.0209000879648849,0.07422226380716657,1
ALL,25,307633,45900204,8280203,69931,6568886,0.22731956584631688,0.14311234869457226,0.2691584777965953,-0.0418389119503245,-0.12643589623263296,9124,25566,483,99.82720551589595,2.4700807047214832,5.163296583835486,2.409195883552285,0.07555420408394477,0
ALL,30,290027,39142203,9274937,88220,9881064,0.30417857647736246,0.25244016030472277,0.31979563971630226,-0.015617063238910819,-0.06925184461386015,9028,24747,485,209.50268346259182,3.1503490664627756,7.526589941069897,3.064851303402807,0.08534535063252231,0
ALL,35,321469,59094127,11896403,89858,8878691,0.27952306443234026,0.1502465888023018,0.3700637697569595,-0.09054070532467433,-0.2212817679834867,8886,23358,489,30.51948805234574,5.316396038204878,7.896504445112885,5.347755364651496,0.07929108966950756,0
ALL,40,373297,85604206,15687400,98850,10594088,0.26480255667739094,0.12375662943477334,0.4202391125564899,-0.15543655587911465,-0.2980329958320141,8862,22905,491,9.445840000113906,8.744786449682831,8.434951751487482,8.840652427487743,0.07233416477801362,0
ALL,45,445090,122942205,20751447,111794,14988285,0.25117167314475725,0.12191325997447337,0.4662303579051428,-0.21505868476038567,-0.3428129037542618,8806,22312,487,5.363021527390184,10.748488182056482,8.438476185106008,10.805798890632397,0.06459242892205161,1
ALL,50,296132,60720306,15385485,145407,26580367,0.49102089608688015,0.43775087365337056,0.5195482082314643,-0.02852731214458568,-0.08337647985502888,8827,22682,494,22.677364573248884,1.4077378901032949,2.8930725918780626,1.399625616972199,0.09139763982318862,1
ALL,55,375456,82801733,21505891,271747,70726087,0.7237785519474985,0.8541619171183289,0.5727939092729907,0.15098464267453746,0.2790096011637906,8707,21858,487,6.76477598301091,10.433423932659851,9.606635136569365,10.43632410149501,0.07264296818770007,0
ALL,60,449755,98951042,27680550,355222,88873365,0.7898122311036009,0.8981549178633207,0.6154584162488466,0.1743538148547243,0.28484004210891173,8799,22155,481,4.360039490580147,10.31625970519084,7.721069166165486,10.335560570904414,0.06104172895918823,0
