date,category,contracts
2025-01-01,Basketball (pro),0
2025-01-01,Commodities,30
2025-01-01,Crypto,0
2025-01-01,Economics,1469
2025-01-01,Financials,0
2025-01-01,Football,0
2025-01-01,Other,0
2025-01-01,Politics,52592
2025-01-01,Science and Technology,0
2025-01-01,Weather,4608
2025-01-02,Basketball (pro),0
2025-01-02,Commodities,100
2025-01-02,Crypto,0
2025-01-02,Economics,761
2025-01-02,Financials,0
2025-01-02,Football,0
2025-01-02,Other,0
2025-01-02,Politics,159010
2025-01-02,Science and Technology,0
2025-01-02,Weather,1567
2025-01-03,Basketball (pro),0
2025-01-03,Commodities,0
2025-01-03,Crypto,0
2025-01-03,Economics,5916
2025-01-03,Financials,0
2025-01-03,Football,0
2025-01-03,Other,0
2025-01-03,Politics,179825
2025-01-03,Science and Technology,0
2025-01-03,Weather,12510
2025-01-06,Basketball (pro),0
2025-01-06,Commodities,0
2025-01-06,Crypto,0
2025-01-06,Economics,3357
2025-01-06,Financials,0
2025-01-06,Football,0
2025-01-06,Other,0
2025-01-06,Politics,2173
2025-01-06,Science and Technology,0
2025-01-06,Weather,16426
2025-01-07,Basketball (pro),0
2025-01-07,Commodities,0
2025-01-07,Crypto,0
2025-01-07,Economics,1914
2025-01-07,Financials,0
2025-01-07,Football,0
2025-01-07,Other,0
2025-01-07,Politics,406
2025-01-07,Science and Technology,0
2025-01-07,Weather,441
2025-01-08,Basketball (pro),0
2025-01-08,Commodities,0
2025-01-08,Crypto,0
2025-01-08,Economics,1274
2025-01-08,Financials,0
2025-01-08,Football,0
2025-01-08,Other,0
2025-01-08,Politics,259
2025-01-08,Science and Technology,0
2025-01-08,Weather,540
2025-01-09,Basketball (pro),0
2025-01-09,Commodities,0
2025-01-09,Crypto,0
2025-01-09,Economics,2626
2025-01-09,Financials,0
2025-01-09,Football,0
2025-01-09,Other,0
2025-01-09,Politics,1
2025-01-09,Science and Technology,0
2025-01-09,Weather,1110
2025-01-10,Basketball (pro),0
2025-01-10,Commodities,0
2025-01-10,Crypto,0
2025-01-10,Economics,2072
2025-01-10,Financials,0
2025-01-10,Football,0
2025-01-10,Other,0
2025-01-10,Politics,40
2025-01-10,Science and Technology,0
2025-01-10,Weather,1724
2025-01-13,Basketball (pro),0
2025-01-13,Commodities,0
2025-01-13,Crypto,0
2025-01-13,Economics,3942
2025-01-13,Financials,0
2025-01-13,Football,0
2025-01-13,Other,0
2025-01-13,Politics,12
2025-01-13,Science and Technology,0
2025-01-13,Weather,529
2025-01-14,Basketball (pro),0
2025-01-14,Commodities,0
2025-01-14,Crypto,0
2025-01-14,Economics,2242
2025-01-14,Financials,0
2025-01-14,Football,0
2025-01-14,Other,0
2025-01-14,Politics,50
2025-01-14,Science and Technology,0
2025-01-14,Weather,408
2025-01-15,Basketball (pro),0
2025-01-15,Commodities,2
2025-01-15,Crypto,0
2025-01-15,Economics,7313
2025-01-15,Financials,0
2025-01-15,Football,0
2025-01-15,Other,0
2025-01-15,Politics,278
2025-01-15,Science and Technology,0
2025-01-15,Weather,1401
2025-01-16,Basketball (pro),0
2025-01-16,Commodities,10
2025-01-16,Crypto,0
2025-01-16,Economics,5121
2025-01-16,Financials,0
2025-01-16,Football,0
2025-01-16,Other,0
2025-01-16,Politics,1
2025-01-16,Science and Technology,0
2025-01-16,Weather,790
2025-01-17,Basketball (pro),0
2025-01-17,Commodities,0
2025-01-17,Crypto,0
2025-01-17,Economics,1858
2025-01-17,Financials,0
2025-01-17,Football,0
2025-01-17,Other,0
2025-01-17,Politics,131
2025-01-17,Science and Technology,0
2025-01-17,Weather,721
2025-01-20,Basketball (pro),0
2025-01-20,Commodities,40
2025-01-20,Crypto,0
2025-01-20,Economics,2951
2025-01-20,Financials,0
2025-01-20,Football,0
2025-01-20,Other,0
2025-01-20,Politics,110
2025-01-20,Science and Technology,0
2025-01-20,Weather,2165
2025-01-21,Basketball (pro),0
2025-01-21,Commodities,0
2025-01-21,Crypto,0
2025-01-21,Economics,3230
2025-01-21,Financials,0
2025-01-21,Football,0
2025-01-21,Other,0
2025-01-21,Politics,104
2025-01-21,Science and Technology,0
2025-01-21,Weather,878
2025-01-22,Basketball (pro),0
2025-01-22,Commodities,0
2025-01-22,Crypto,0
2025-01-22,Economics,3901
2025-01-22,Financials,0
2025-01-22,Football,0
2025-01-22,Other,0
2025-01-22,Politics,0
2025-01-22,Science and Technology,0
2025-01-22,Weather,351
2025-01-23,Basketball (pro),0
2025-01-23,Commodities,38
2025-01-23,Crypto,0
2025-01-23,Economics,4043
2025-01-23,Financials,0
2025-01-23,Football,0
2025-01-23,Other,0
2025-01-23,Politics,198
2025-01-23,Science and Technology,0
2025-01-23,Weather,1864
2025-01-24,Basketball (pro),0
2025-01-24,Commodities,0
2025-01-24,Crypto,0
2025-01-24,Economics,9995
2025-01-24,Financials,0
2025-01-24,Football,0
2025-01-24,Other,0
2025-01-24,Politics,480
2025-01-24,Science and Technology,0
2025-01-24,Weather,1090
2025-01-27,Basketball (pro),0
2025-01-27,Commodities,93
2025-01-27,Crypto,0
2025-01-27,Economics,7793
2025-01-27,Financials,0
2025-01-27,Football,0
2025-01-27,Other,0
2025-01-27,Politics,0
2025-01-27,Science and Technology,0
2025-01-27,Weather,1330
2025-01-28,Basketball (pro),0
2025-01-28,Commodities,50
2025-01-28,Crypto,0
2025-01-28,Economics,4956
2025-01-28,Financials,0
2025-01-28,Football,0
2025-01-28,Other,0
2025-01-28,Politics,0
2025-01-28,Science and Technology,0
2025-01-28,Weather,1050
2025-01-29,Basketball (pro),0
2025-01-29,Commodities,20
2025-01-29,Crypto,0
2025-01-29,Economics,2116
2025-01-29,Financials,0
2025-01-29,Football,0
2025-01-29,Other,0
2025-01-29,Politics,100
2025-01-29,Science and Technology,0
2025-01-29,Weather,185
2025-01-30,Basketball (pro),0
2025-01-30,Commodities,768
2025-01-30,Crypto,0
2025-01-30,Economics,4674
2025-01-30,Financials,0
2025-01-30,Football,0
2025-01-30,Other,0
2025-01-30,Politics,160
2025-01-30,Science and Technology,0
2025-01-30,Weather,570
2025-01-31,Basketball (pro),0
2025-01-31,Commodities,40
2025-01-31,Crypto,0
2025-01-31,Economics,1725
2025-01-31,Financials,0
2025-01-31,Football,0
2025-01-31,Other,0
2025-01-31,Politics,180
2025-01-31,Science and Technology,0
2025-01-31,Weather,2530
2025-02-03,Basketball (pro),0
2025-02-03,Commodities,30
2025-02-03,Crypto,0
2025-02-03,Economics,6132
2025-02-03,Financials,0
2025-02-03,Football,0
2025-02-03,Other,0
2025-02-03,Politics,20
2025-02-03,Science and Technology,0
2025-02-03,Weather,3850
2025-02-04,Basketball (pro),0
2025-02-04,Commodities,0
2025-02-04,Crypto,0
2025-02-04,Economics,6619
2025-02-04,Financials,0
2025-02-04,Football,0
2025-02-04,Other,0
2025-02-04,Politics,0
2025-02-04,Science and Technology,0
2025-02-04,Weather,1550
2025-02-05,Basketball (pro),0
2025-02-05,Commodities,0
2025-02-05,Crypto,0
2025-02-05,Economics,5086
2025-02-05,Financials,0
2025-02-05,Football,0
2025-02-05,Other,0
2025-02-05,Politics,100
2025-02-05,Science and Technology,0
2025-02-05,Weather,2145
2025-02-06,Basketball (pro),0
2025-02-06,Commodities,0
2025-02-06,Crypto,0
2025-02-06,Economics,2117
2025-02-06,Financials,0
2025-02-06,Football,0
2025-02-06,Other,0
2025-02-06,Politics,0
2025-02-06,Science and Technology,0
2025-02-06,Weather,3270
2025-02-07,Basketball (pro),0
2025-02-07,Commodities,0
2025-02-07,Crypto,0
2025-02-07,Economics,5517
2025-02-07,Financials,0
2025-02-07,Football,0
2025-02-07,Other,0
2025-02-07,Politics,150
2025-02-07,Science and Technology,0
2025-02-07,Weather,4196
2025-02-10,Basketball (pro),0
2025-02-10,Commodities,1
2025-02-10,Crypto,0
2025-02-10,Economics,2562
2025-02-10,Financials,0
2025-02-10,Football,0
2025-02-10,Other,0
2025-02-10,Politics,2
2025-02-10,Science and Technology,0
2025-02-10,Weather,5956
2025-02-11,Basketball (pro),0
2025-02-11,Commodities,0
2025-02-11,Crypto,0
2025-02-11,Economics,10178
2025-02-11,Financials,0
2025-02-11,Football,0
2025-02-11,Other,0
2025-02-11,Politics,40
2025-02-11,Science and Technology,0
2025-02-11,Weather,1623
2025-02-12,Basketball (pro),0
2025-02-12,Commodities,0
2025-02-12,Crypto,0
2025-02-12,Economics,9188
2025-02-12,Financials,0
2025-02-12,Football,0
