date,contracts_sports,contracts_nonsports,contracts_total
2025-01-01,0,58699,58699
2025-01-02,0,161438,161438
2025-01-03,0,198251,198251
2025-01-06,0,21956,21956
2025-01-07,0,2761,2761
2025-01-08,0,2073,2073
2025-01-09,0,3737,3737
2025-01-10,0,3836,3836
2025-01-13,0,4483,4483
2025-01-14,0,2700,2700
2025-01-15,0,8994,8994
2025-01-16,0,5922,5922
2025-01-17,0,2710,2710
2025-01-20,0,5266,5266
2025-01-21,0,4212,4212
2025-01-22,0,4252,4252
2025-01-23,0,6143,6143
2025-01-24,0,11565,11565
2025-01-27,0,9216,9216
2025-01-28,0,6056,6056
2025-01-29,0,2421,2421
2025-01-30,0,6172,6172
2025-01-31,0,4475,4475
2025-02-03,0,10032,10032
2025-02-04,0,8169,8169
2025-02-05,0,7331,7331
2025-02-06,0,5387,5387
2025-02-07,0,9863,9863
2025-02-10,0,8521,8521
2025-02-11,0,11841,11841
2025-02-12,0,9494,9494
2025-02-13,0,9410,9410
2025-02-14,0,3643,3643
2025-02-17,0,5995,5995
2025-02-18,0,18014,18014
2025-02-19,0,8161,8161
2025-02-20,0,8473,8473
2025-02-21,0,35659,35659
2025-02-24,0,13794,13794
2025-02-25,0,8430,8430
2025-02-26,0,14809,14809
2025-02-27,0,15088,15088
2025-02-28,0,4502,4502
2025-03-03,0,8587,8587
2025-03-04,0,12170,12170
2025-03-05,0,8639,8639
2025-03-06,0,12565,12565
2025-03-07,0,10911,10911
2025-03-10,0,24275,24275
2025-03-11,0,6434,6434
2025-03-12,0,10277,10277
2025-03-13,0,19136,19136
2025-03-14,0,34710,34710
2025-03-17,0,40741,40741
2025-03-18,0,23677,23677
2025-03-19,0,16778,16778
2025-03-20,0,14569,14569
2025-03-21,0,10594,10594
2025-03-24,0,10271,10271
2025-03-25,0,37433,37433
2025-03-26,0,26887,26887
2025-03-27,0,8977,8977
2025-03-28,0,13371,13371
2025-03-31,0,8107,8107
2025-04-01,0,9494,9494
2025-04-02,0,14618,14618
2025-04-03,0,10198,10198
2025-04-04,0,9212,9212
2025-04-07,0,40431,40431
2025-04-08,0,15814,15814
2025-04-09,0,32562,32562
2025-04-10,0,12439,12439
2025-04-11,0,26964,26964
2025-04-14,0,30150,30150
2025-04-15,0,8773,8773
2025-04-16,0,4660,4660
2025-04-17,0,9580,9580
2025-04-18,0,3625,3625
2025-04-21,0,11134,11134
2025-04-22,0,6782,6782
2025-04-23,0,32920,32920
2025-04-24,0,11007,11007
2025-04-25,0,69609,69609
2025-04-28,0,18218,18218
2025-04-29,0,9145,9145
2025-04-30,0,23100,23100
2025-05-01,0,18487,18487
2025-05-02,0,71406,71406
2025-05-03,0,3553,3553
2025-05-04,0,1740,1740
2025-05-05,0,24211,24211
2025-05-06,0,87026,87026
2025-05-07,0,21985,21985
2025-05-08,0,33237,33237
2025-05-09,0,35935,35935
2025-05-10,0,367,367
2025-05-11,0,3639,3639
2025-05-12,0,85240,85240
2025-05-13,0,47657,47657
2025-05-14,0,35625,35625
2025-05-15,0,20937,20937
2025-05-16,0,28167,28167
2025-05-17,0,960,960
2025-05-18,0,1435,1435
2025-05-19,0,56184,56184
2025-05-20,0,51155,51155
2025-05-21,0,68262,68262
2025-05-22,0,50589,50589
2025-05-23,0,115857,115857
2025-05-24,0,259,259
2025-05-25,0,2654,2654
2025-05-26,0,11475,11475
2025-05-27,0,29972,29972
2025-05-28,0,59233,59233
2025-05-29,0,67430,67430
2025-05-30,0,87195,87195
2025-05-31,0,2588,2588
2025-06-01,0,5234,5234
2025-06-02,0,78744,78744
2025-06-03,0,183500,183500
2025-06-04,0,146354,146354
2025-06-05,0,124072,124072
2025-06-06,0,162880,162880
2025-06-07,0,1278,1278
2025-06-08,0,2431,2431
2025-06-09,0,179983,179983
2025-06-10,0,294998,294998
2025-06-11,0,399600,399600
2025-06-12,0,163634,163634
2025-06-13,0,242810,242810
2025-06-14,0,1156,1156
2025-06-15,0,1864,1864
2025-06-16,0,167216,167216
2025-06-17,0,198114,198114
2025-06-18,0,275795,275795
2025-06-19,0,86990,86990
2025-06-20,0,140707,140707
2025-06-21,0,1216,1216
2025-06-22,0,7486,7486
2025-06-23,0,226212,226212
2025-06-24,0,238147,238147
2025-06-25,0,326610,326610
2025-06-26,0,48045,48045
2025-06-27,0,325573,325573
2025-06-28,0,3169,3169
2025-06-29,0,8103,8103
2025-06-30,0,130184,130184
2025-07-01,0,181364,181364
2025-07-02,0,148630,148630
2025-07-03,0,426722,426722
2025-07-04,0,192968,192968
2025-07-05,0,89220,89220
2025-07-06,0,712344,712344
2025-07-07,0,187393,187393
2025-07-08,0,110231,110231
2025-07-09,0,150353,150353
2025-07-10,0,101382,101382
2025-07-11,0,223892,223892
2025-07-12,0,4745,4745
2025-07-13,0,10848,10848
2025-07-14,0,112877,112877
2025-07-15,0,118289,118289
2025-07-16,0,142437,142437
2025-07-17,0,131222,131222
2025-07-18,0,107121,107121
2025-07-19,0,2477,2477
2025-07-20,0,26825,26825
2025-07-21,0,69485,69485
2025-07-22,0,104573,104573
2025-07-23,0,59222,59222
2025-07-24,0,143308,143308
2025-07-25,0,80343,80343
2025-07-26,0,7037,7037
2025-07-27,0,18711,18711
2025-07-28,0,98993,98993
2025-07-29,0,184397,184397
2025-07-30,0,313900,313900
2025-07-31,0,243272,243272
2025-08-01,0,192694,192694
2025-08-02,0,1188,1188
2025-08-03,0,18209,18209
2025-08-04,0,99804,99804
2025-08-05,0,333832,333832
2025-08-06,0,176332,176332
2025-08-07,0,137969,137969
2025-08-08,0,208938,208938
2025-08-09,0,3766,3766
2025-08-10,0,13449,13449
2025-08-11,0,122504,122504
2025-08-12,0,140494,140494
2025-08-13,0,165079,165079
2025-08-14,0,184921,184921
2025-08-15,0,305645,305645
2025-08-16,0,994,994
2025-08-17,0,7728,7728
2025-08-18,0,70478,70478
2025-08-19,0,185483,185483
2025-08-20,0,241401,241401
2025-08-21,0,101772,101772
2025-08-22,0,302346,302346
2025-08-23,0,1252,1252
2025-08-24,0,16631,16631
2025-08-25,0,499011,499011
2025-08-26,0,162114,162114
2025-08-27,0,170610,170610
2025-08-28,0,253144,253144
2025-08-29,0,246580,246580
2025-08-30,0,6735,6735
2025-08-31,0,18630,18630
2025-09-01,0,88466,88466
2025-09-02,0,230380,230380
2025-09-03,0,167278,167278
2025-09-04,0,136298,136298
2025-09-05,0,254059,254059
2025-09-06,0,3258,3258
2025-09-07,0,74318,74318
2025-09-08,0,245208,245208
2025-09-09,0,363716,363716
2025-09-10,0,575606,575606
2025-09-11,0,226648,226648
2025-09-12,0,234678,234678
2025-09-13,0,4123,4123
2025-09-14,0,36464,36464
2025-09-15,0,241133,241133
2025-09-16,0,494161,494161
2025-09-17,0,1129904,1129904
2025-09-18,0,292971,292971
2025-09-19,0,190228,190228
2025-09-20,0,23966,23966
2025-09-21,0,24613,24613
2025-09-22,0,139610,139610
2025-09-23,0,81803,81803
2025-09-24,0,187372,187372
2025-09-25,0,187387,187387
2025-09-26,0,125596,125596
2025-09-27,0,27071,27071
2025-09-28,0,204710,204710
2025-09-29,0,95576,95576
2025-09-30,0,152026,152026
