table,metric,rank,date,ticker_name,market_key,report_ticker,kalshi_category,is_sports,contracts_traded,price,taker_side,one_party_stake,taker_stake,market_total_contracts,pct_of_market
overall,contracts,24,2026-07-11,KXWCADVANCE-26JUL11NORENG-ENG,KXWCADVANCE-26JUL11NORENG,KXWCADVANCE,Sports,TRUE,1500000,65,yes,975000,975000,152741634,0.00982050512828742
overall,contracts,12,2026-07-11,KXWCADVANCE-26JUL11NORENG-ENG,KXWCADVANCE-26JUL11NORENG,KXWCADVANCE,Sports,TRUE,2052500,65,yes,1334125,1334125,152741634,0.0134377245172066
overall,contracts,9,2026-07-11,KXWCADVANCE-26JUL11NORENG-ENG,KXWCADVANCE-26JUL11NORENG,KXWCADVANCE,Sports,TRUE,2500000,65,yes,1625000,1625000,152741634,0.0163675085471457
overall,contracts,39,2026-07-11,KXWCADVANCE-26JUL11NORENG-ENG,KXWCADVANCE-26JUL11NORENG,KXWCADVANCE,Sports,TRUE,1200000,65,yes,780000,780000,152741634,0.00785640410262994
overall,contracts,45,2026-02-24,KXFEDCHAIRNOM-29-JS,KXFEDCHAIRNOM-29,KXFEDCHAIRNOM,Politics,FALSE,1024120,5,yes,972914,51206,216970761,0.00472008299772705
overall,contracts,47,2026-07-06,KXWCADVANCE-26JUL06USABEL-BEL,KXWCADVANCE-26JUL06USABEL,KXWCADVANCE,Sports,TRUE,1002078,47,yes,531101.34,470976.66,125583324,0.00797938745434067
overall,contracts,21,2026-07-06,KXWCADVANCE-26JUL06USABEL-BEL,KXWCADVANCE-26JUL06USABEL,KXWCADVANCE,Sports,TRUE,1800000,47,yes,954000,846000,125583324,0.0143331132085658
overall,contracts,49,2026-07-06,KXWCADVANCE-26JUL06USABEL-BEL,KXWCADVANCE-26JUL06USABEL,KXWCADVANCE,Sports,TRUE,1000000,47,yes,530000,470000,125583324,0.00796284067142545
overall,contracts,16,2026-07-06,KXWCADVANCE-26JUL06USABEL-BEL,KXWCADVANCE-26JUL06USABEL,KXWCADVANCE,Sports,TRUE,2000000,47,yes,1060000,940000,125583324,0.0159256813428509
overall,contracts,5,2026-05-22,KXLALIGARELEGATION-26-OSA,KXLALIGARELEGATION-26,KXLALIGARELEGATION,Sports,TRUE,3480000,16,yes,2923200,556800,7256402,0.479576517398016
overall,contracts,6,2026-05-22,KXLALIGARELEGATION-26-OSA,KXLALIGARELEGATION-26,KXLALIGARELEGATION,Sports,TRUE,3480000,17,yes,2888400,591600,7256402,0.479576517398016
overall,contracts,25,2026-06-11,KXWCGAME-26JUN11KORCZE-TIE,KXWCGAME-26JUN11KORCZE,KXWCGAME,Sports,TRUE,1494619,32,yes,1016340.92,478278.08,58247934,0.0256596053690076
overall,contracts,3,2026-02-08,KXMVESPORTSMULTIGAMEEXTENDED-S20267524AF37619-226F069E62F,KXMVESPORTSMULTIGAMEEXTENDED-S20267524AF37619,KXMVESPORTSMULTIGAMEEXTENDED,Sports,TRUE,5000000,2,yes,4900000,1e+05,25011354,0.199909209233535
overall,contracts,32,2026-06-30,KXMENWORLDCUP-26-DZA,KXMENWORLDCUP-26,KXMENWORLDCUP,Sports,TRUE,1300000,0.1,yes,1298700,1300,1514797172,0.000858200704377866
overall,contracts,37,2026-06-18,KXMENWORLDCUP-26-DZA,KXMENWORLDCUP-26,KXMENWORLDCUP,Sports,TRUE,1266130,0.1,yes,1264863.87,1266.13,1514797172,0.000835841275256883
overall,contracts,20,2026-06-28,KXMENWORLDCUP-26-AT,KXMENWORLDCUP-26,KXMENWORLDCUP,Sports,TRUE,1895513,0.1,yes,1893617.487,1895.513,1514797172,0.00125133122442877
overall,contracts,23,2026-06-28,KXMENWORLDCUP-26-SE,KXMENWORLDCUP-26,KXMENWORLDCUP,Sports,TRUE,1608443,0.1,yes,1606834.557,1608.443,1514797172,0.0010618207042705
overall,contracts,17,2026-06-12,KXMENWORLDCUP-26-SC,KXMENWORLDCUP-26,KXMENWORLDCUP,Sports,TRUE,1979277,0.2,yes,1975318.446,3958.554,1514797172,0.00130662839658378
overall,contracts,38,2026-06-21,KXMENWORLDCUP-26-AU,KXMENWORLDCUP-26,KXMENWORLDCUP,Sports,TRUE,1250000,0.1,no,1248750,1248750,1514797172,0.000825192984978718
overall,contracts,29,2026-05-18,KXNBAGAME-26MAY18SASOKC-OKC,KXNBAGAME-26MAY18SASOKC,KXNBAGAME,Sports,TRUE,1376911,68,yes,936299.48,936299.48,66691583,0.0206459486799106
overall,contracts,15,2024-11-15,POPVOTE-24-D,POPVOTE-24,POPVOTE,Politics,FALSE,2000000,2,"",1960000,,82368078,0.0242812512876651
overall,contracts,50,2024-11-15,POPVOTE-24-R,POPVOTE-24,POPVOTE,Politics,FALSE,1000000,98,"",980000,,82368078,0.0121406256438326
overall,contracts,31,2024-11-15,POPVOTE-24-R,POPVOTE-24,POPVOTE,Politics,FALSE,1343232,98,"",1316367.36,,82368078,0.0163076768648165
overall,contracts,41,2024-11-15,POPVOTE-24-R,POPVOTE-24,POPVOTE,Politics,FALSE,1195752,98,"",1171836.96,,82368078,0.0145171773948641
overall,contracts,42,2026-07-04,KXWCADVANCE-26JUL04CANMAR-CAN,KXWCADVANCE-26JUL04CANMAR,KXWCADVANCE,Sports,TRUE,1100000,27,yes,803000,297000,49232201,0.0223431001998062
overall,contracts,36,2026-07-04,KXWCADVANCE-26JUL04CANMAR-CAN,KXWCADVANCE-26JUL04CANMAR,KXWCADVANCE,Sports,TRUE,1274911,27,yes,930685.03,344225.97,49232201,0.0258958765625774
overall,contracts,18,2026-07-07,KXWCADVANCE-26JUL07SUICOL-COL,KXWCADVANCE-26JUL07SUICOL,KXWCADVANCE,Sports,TRUE,1950114,62,yes,1209070.68,1209070.68,21815851,0.0893897744351114
overall,contracts,33,2026-07-07,KXWCADVANCE-26JUL07SUICOL-SUI,KXWCADVANCE-26JUL07SUICOL,KXWCADVANCE,Sports,TRUE,1300000,39,yes,793000,507000,21815851,0.0595896992512463
overall,contracts,34,2026-06-19,KXWCGAME-26JUN19USAAUS-USA,KXWCGAME-26JUN19USAAUS,KXWCGAME,Sports,TRUE,1300000,61,yes,793000,793000,56162919,0.0231469450510576
overall,contracts,11,2024-12-05,PRES-2024-DJT,PRES-2024,PRES,Elections,FALSE,2227377,99,"",2205103.23,,537986877,0.00414020693668333
