market_key,market_name,kalshi_category,contracts,fees_total,n_outcomes,winner,winner_ticker,report_ticker,is_sports,top_outcome,last_trade_date,grp,cat,mtype,wide_cat
KXMENWORLDCUP-26,KXMENWORLDCUP-26,Sports,1252243517,6232747.23,52,"","",KXMENWORLDCUP,TRUE,"",2026-07-19,Sports,Soccer,Other,Soccer
PRES-2024,PRES-2024,Elections,537986877,0,6,yes,PRES-2024-DJT,PRES,FALSE,PRES-2024-DJT,2025-01-20,Non-sports,Politics,Election,Politics
KXPGATOUR-MAST26,KXPGATOUR-MAST26,Sports,460291111,2103429.3,98,yes,KXPGATOUR-MAST26-RMCI,KXPGATOUR,TRUE,KXPGATOUR-MAST26-RMCI,2026-04-12,Sports,Golf,Futures,Golf
KXSB-26,KXSB-26,Sports,358733381,4396822.36,32,yes,KXSB-26-SEA,KXSB,TRUE,KXSB-26-SEA,2026-02-08,Sports,NFL,Game,Football
KXPGATOUR-PGC26,KXPGATOUR-PGC26,Sports,330206770,866284.09,163,yes,KXPGATOUR-PGC26-ARAI,KXPGATOUR,TRUE,KXPGATOUR-PGC26-ARAI,2026-05-17,Sports,Golf,Futures,Golf
KXNBA-26,KXNBA-26,Sports,313354207,3202544.95,30,yes,KXNBA-26-NYK,KXNBA,TRUE,KXNBA-26-NYK,2026-06-13,Sports,NBA,Other,Basketball
KXPGATOUR-USO26,KXPGATOUR-USO26,Sports,295521483,1043884.36,156,yes,KXPGATOUR-USO26-WCLA,KXPGATOUR,TRUE,KXPGATOUR-USO26-WCLA,2026-06-21,Sports,Golf,Futures,Golf
KXMARMAD-26,KXMARMAD-26,Sports,287901199,2087306.65,112,yes,KXMARMAD-26-MICH,KXMARMAD,TRUE,KXMARMAD-26-MICH,2026-04-06,Sports,College Basketball,Futures,Basketball
KXPGATOUR-THOC26,KXPGATOUR-THOC26,Sports,276153523,605173.34,155,"","",KXPGATOUR,TRUE,"",2026-07-19,Sports,Golf,Futures,Golf
KXWCADVANCE-26JUL05MEXENG,KXWCADVANCE-26JUL05MEXENG,Sports,223027451,3183971.11,2,yes,KXWCADVANCE-26JUL05MEXENG-ENG,KXWCADVANCE,TRUE,KXWCADVANCE-26JUL05MEXENG-ENG,2026-07-05,Sports,Other Sports,KXWCADVANCE,Other Sports
KXFEDCHAIRNOM-29,KXFEDCHAIRNOM-29,Politics,216970761,778317.41,23,yes,KXFEDCHAIRNOM-29-KW,KXFEDCHAIRNOM,FALSE,KXFEDCHAIRNOM-29-KW,2026-03-05,Non-sports,Politics,Other,Politics
KXNBAGAME-26JUN10SASNYK,KXNBAGAME-26JUN10SASNYK,Sports,171620909,2313661.75,2,yes,KXNBAGAME-26JUN10SASNYK-NYK,KXNBAGAME,TRUE,KXNBAGAME-26JUN10SASNYK-NYK,2026-06-10,Sports,NBA,Game,Basketball
KXWCADVANCE-26JUL14FRAESP,KXWCADVANCE-26JUL14FRAESP,Sports,165729717,2129922.43,2,yes,KXWCADVANCE-26JUL14FRAESP-ESP,KXWCADVANCE,TRUE,KXWCADVANCE-26JUL14FRAESP-ESP,2026-07-14,Sports,Other Sports,KXWCADVANCE,Other Sports
KXNBAGAME-26JUN13NYKSAS,KXNBAGAME-26JUN13NYKSAS,Sports,155502355,2564073.34,2,yes,KXNBAGAME-26JUN13NYKSAS-NYK,KXNBAGAME,TRUE,KXNBAGAME-26JUN13NYKSAS-NYK,2026-06-13,Sports,NBA,Game,Basketball
KXNEXTTEAMNBA-26LJAM,KXNEXTTEAMNBA-26LJAM,Sports,154450592,1027400.56,30,"","",KXNEXTTEAMNBA,TRUE,"",2026-07-19,Sports,NBA,Other,Basketball
KXPRESNOMD-28,KXPRESNOMD-28,Elections,154009330,347203.99,45,"","",KXPRESNOMD,FALSE,"",2026-07-19,Non-sports,Politics,Other,Politics
KXWCADVANCE-26JUL11NORENG,KXWCADVANCE-26JUL11NORENG,Sports,152741634,1983402.14,2,yes,KXWCADVANCE-26JUL11NORENG-ENG,KXWCADVANCE,TRUE,KXWCADVANCE-26JUL11NORENG-ENG,2026-07-11,Sports,Other Sports,KXWCADVANCE,Other Sports
KXWCADVANCE-26JUL18FRAENG,KXWCADVANCE-26JUL18FRAENG,Sports,143261756,1292592.92,2,yes,KXWCADVANCE-26JUL18FRAENG-ENG,KXWCADVANCE,TRUE,KXWCADVANCE-26JUL18FRAENG-ENG,2026-07-18,Sports,Other Sports,KXWCADVANCE,Other Sports
KXNCAAF-26,KXNCAAF-26,Sports,142080264,1619623.46,136,yes,KXNCAAF-26-IND,KXNCAAF,TRUE,KXNCAAF-26-IND,2026-01-19,Sports,College Football,Other,Football
POPVOTEMOV-24,POPVOTEMOV-24,Elections,135705775,0,18,yes,POPVOTEMOV-24-R-B-1.5,POPVOTEMOV,FALSE,POPVOTEMOV-24-R-B-1.5,2025-01-06,Non-sports,Politics,Election,Politics
KXWCGAME-26JUN25TURUSA,KXWCGAME-26JUN25TURUSA,Sports,135217403,1870095.7,3,yes,KXWCGAME-26JUN25TURUSA-TUR,KXWCGAME,TRUE,KXWCGAME-26JUN25TURUSA-TUR,2026-06-26,Sports,Other Sports,KXWCGAME,Other Sports
KXWCADVANCE-26JUL03ARGCPV,KXWCADVANCE-26JUL03ARGCPV,Sports,135104801,870750.66,2,yes,KXWCADVANCE-26JUL03ARGCPV-ARG,KXWCADVANCE,TRUE,KXWCADVANCE-26JUL03ARGCPV-ARG,2026-07-03,Sports,Other Sports,KXWCADVANCE,Other Sports
