month_label,year,month,KXATPCHALLENGERMATCH,KXATPMATCH,KXBTCD,KXMLBGAME,KXMVECROSSCATEGORY,KXMVESPORTSMULTIGAMEEXTENDED,KXNBAGAME,KXNCAAFGAME,KXNCAAMBGAME,KXNFLGAME
Oct 2024,2024,10,0,0,630653,0,0,0,0,0,0,0
Nov 2024,2024,11,0,0,27625944,0,0,0,0,0,0,0
Dec 2024,2024,12,0,0,32940812,0,0,0,0,0,0,0
Jan 2025,2025,1,0,0,18381510,0,0,0,0,0,0,0
Feb 2025,2025,2,0,0,28088802,0,0,0,0,0,0,0
Mar 2025,2025,3,0,0,23718431,0,0,0,0,0,0,0
Apr 2025,2025,4,0,0,22755064,6197457,0,0,29912462,0,0,0
May 2025,2025,5,0,0,20034234,41430252,0,0,191531150,0,0,1521
Jun 2025,2025,6,0,8293010,26859612,84495904,0,0,151978105,0,0,10468
Jul 2025,2025,7,0,94792428,40721896,93125663,0,0,0,25420,0,537633
Aug 2025,2025,8,0,62220966,48344617,98509319,0,0,0,152080964,0,15331365
Sep 2025,2025,9,0,68778822,52459132,147642332,0,0,0,788463716,0,1094149652
Oct 2025,2025,10,0,125493822,66407339,393453551,0,0,453345468,950680003,14639,1133663239
Nov 2025,2025,11,0,90473742,73908135,0,0,101459270,1148975531,1177879902,339363499,1209616059
Dec 2025,2025,12,0,9008919,101216509,34,0,498172707,1261892821,697753116,510844820,1047112460
Jan 2026,2026,1,183280173,252925543,204698389,89,0,1014134906,1588470073,253275800,1225620097,745759581
Feb 2026,2026,2,451876744,548339820,373297230,57,90136642,1205072035,1262456818,0,1738574934,0
Mar 2026,2026,3,563380604,425941988,494797300,157305050,1173490709,966232950,1598009010,0,2083377448,0
Apr 2026,2026,4,785277793,531012534,554407587,1140755702,1343962042,2006083605,1995156367,0,98834885,0
May 2026,2026,5,23759495,3720418,11879748,1556921,19902959,19946692,9095936,0,0,0
