date,resource_description,volume
2024-12-23,NFL-WNSB,1504
2024-12-24,NFL-WNSB,3511
2024-12-25,NFL-WNSB,2887
2024-12-26,NFL-WNSB,2438
2024-12-27,NFL-WNSB,2597
2024-12-30,NFL-WNSB,1844
2024-12-31,NFL-WNSB,1599
2025-01-01,NFL-WNSB,1580
2025-01-02,NFL-WNSB,3918
2025-01-03,NFL-WNSB,3040
2025-01-06,NFL-WNAFC,3
2025-01-06,NFL-WNSB,3208
2025-01-07,CFB-COTTONBOWL,52
2025-01-07,CFB-ORANGEBOWL,45
2025-01-07,CFB-WNCFP,314
2025-01-07,NFL-WNAFC,163
2025-01-07,NFL-WNNFC,322
2025-01-07,NFL-WNSB,2266
2025-01-08,CFB-COTTONBOWL,73
2025-01-08,CFB-ORANGEBOWL,185
2025-01-08,CFB-WNCFP,212
2025-01-08,NFL-WNAFC,252
2025-01-08,NFL-WNNFC,333
2025-01-08,NFL-WNSB,2136
2025-01-09,CFB-COTTONBOWL,179
2025-01-09,CFB-ORANGEBOWL,615
2025-01-09,CFB-WNCFP,453
2025-01-09,NFL-WNAFC,214
2025-01-09,NFL-WNNFC,271
2025-01-09,NFL-WNSB,2202
2025-01-10,CFB-COTTONBOWL,791
2025-01-10,CFB-WNCFP,35
2025-01-10,NFL-WNAFC,316
2025-01-10,NFL-WNNFC,370
2025-01-10,NFL-WNSB,2080
2025-01-13,CFB-WNCFP,133
2025-01-13,NFL-WNAFC,339
2025-01-13,NFL-WNNFC,368
2025-01-13,NFL-WNSB,1563
2025-01-14,CFB-WNCFP,104
2025-01-14,NFL-WNAFC,127
2025-01-14,NFL-WNNFC,235
2025-01-14,NFL-WNSB,1088
2025-01-15,CFB-WNCFP,234
2025-01-15,NFL-WNAFC,279
2025-01-15,NFL-WNNFC,417
2025-01-15,NFL-WNSB,1258
2025-01-16,CFB-WNCFP,869
2025-01-16,NFL-WNAFC,275
2025-01-16,NFL-WNNFC,496
2025-01-16,NFL-WNSB,2132
2025-01-17,CFB-WNCFP,174
2025-01-17,NFL-WNAFC,145
2025-01-17,NFL-WNNFC,707
2025-01-17,NFL-WNSB,2112
2025-01-20,CFB-WNCFP,2120
2025-01-20,NFL-WNAFC,435
2025-01-20,NFL-WNNFC,501
2025-01-20,NFL-WNSB,2600
2025-01-21,NFL-WNAFC,477
2025-01-21,NFL-WNNFC,417
2025-01-21,NFL-WNSB,1844
2025-01-22,NFL-WNAFC,314
2025-01-22,NFL-WNNFC,405
2025-01-22,NFL-WNSB,1167
2025-01-23,NFL-WNAFC,544
2025-01-23,NFL-WNNFC,487
2025-01-23,NFL-WNSB,1539
2025-01-24,NFL-WNAFC,541
2025-01-24,NFL-WNNFC,800
2025-01-24,NFL-WNSB,1890
2025-01-27,NFL-WNSB,3227
2025-01-28,NBA-WNCHP,181
2025-01-28,NFL-WNSB,1507
2025-01-28,UCL-WNCHP,255
2025-01-29,NBA-WNCHP,318
2025-01-29,NFL-WNSB,1462
2025-01-29,UCL-WNCHP,227
2025-01-30,NBA-WNCHP,370
2025-01-30,NFL-WNSB,1441
2025-01-30,UCL-WNCHP,11
2025-01-31,NBA-WNCHP,235
2025-01-31,NFL-WNSB,1075
2025-01-31,UCL-WNCHP,220
2025-02-03,NBA-WNCHP,304
2025-02-03,NFL-WNSB,1454
2025-02-03,UCL-WNCHP,124
2025-02-04,NBA-WNCHP,121
2025-02-04,NFL-WNSB,1115
2025-02-04,UCL-WNCHP,130
2025-02-05,NBA-WNCHP,120
2025-02-05,NFL-WNSB,1402
2025-02-05,UCL-WNCHP,37
2025-02-06,NBA-WNCHP,222
2025-02-06,NFL-WNSB,1656
2025-02-06,UCL-WNCHP,75
2025-02-07,NBA-WNCHP,358
2025-02-07,NFL-WNSB,4332
2025-02-07,UCL-WNCHP,76
2025-02-10,NBA-WNCHP,1378
2025-02-10,UCL-WNCHP,417
2025-02-11,NBA-WNCHP,1129
2025-02-11,UCL-WNCHP,537
2025-02-12,NBA-WNCHP,574
2025-02-12,UCL-WNCHP,98
2025-02-13,NBA-WNCHP,451
2025-02-13,UCL-WNCHP,193
2025-02-14,NBA-WNCHP,235
2025-02-14,UCL-WNCHP,129
2025-02-17,NBA-WNCHP,707
2025-02-17,UCL-WNCHP,71
2025-02-18,EPL-WNCHP,4
2025-02-18,NBA-WNCHP,349
2025-02-18,UCL-WNCHP,45
2025-02-18,UEL-WNCHP,9
2025-02-19,EPL-WNCHP,13
2025-02-19,NBA-WNCHP,546
2025-02-19,UCL-WNCHP,243
2025-02-19,UEL-WNCHP,20
