date,contracts_sports,contracts_nonsports,contracts_total
2024-12-23,1504,0,1504
2024-12-24,3511,0,3511
2024-12-25,2887,0,2887
2024-12-26,2438,0,2438
2024-12-27,2597,0,2597
2024-12-30,1844,0,1844
2024-12-31,1599,0,1599
2025-01-01,1580,0,1580
2025-01-02,3918,0,3918
2025-01-03,3040,0,3040
2025-01-06,3211,0,3211
2025-01-07,3162,0,3162
2025-01-08,3191,0,3191
2025-01-09,3934,0,3934
2025-01-10,3592,0,3592
2025-01-13,2403,0,2403
2025-01-14,1554,0,1554
2025-01-15,2188,0,2188
2025-01-16,3772,0,3772
2025-01-17,3138,0,3138
2025-01-20,5656,0,5656
2025-01-21,2738,0,2738
2025-01-22,1886,0,1886
2025-01-23,2570,0,2570
2025-01-24,3231,0,3231
2025-01-27,3227,0,3227
2025-01-28,1943,0,1943
2025-01-29,2007,0,2007
2025-01-30,1822,0,1822
2025-01-31,1530,0,1530
2025-02-03,1882,0,1882
2025-02-04,1366,0,1366
2025-02-05,1559,0,1559
2025-02-06,1953,0,1953
2025-02-07,4766,0,4766
2025-02-10,1795,0,1795
2025-02-11,1666,0,1666
2025-02-12,672,0,672
2025-02-13,644,0,644
2025-02-14,364,0,364
2025-02-17,778,0,778
2025-02-18,407,0,407
2025-02-19,822,0,822
2025-02-20,491,0,491
2025-02-21,431,0,431
2025-02-24,535,0,535
2025-02-25,714,0,714
2025-02-26,616,0,616
2025-02-27,739,0,739
2025-02-28,676,0,676
2025-03-03,834,0,834
2025-03-04,655,0,655
2025-03-05,856,0,856
2025-03-06,634,0,634
2025-03-07,684,0,684
2025-03-10,412,0,412
2025-03-11,566,0,566
2025-03-12,861,0,861
2025-03-13,1159,2,1161
2025-03-14,600,10,610
2025-03-17,736,29,765
2025-03-18,931,57,988
2025-03-19,1316,37,1353
2025-03-20,2131,27,2158
2025-03-21,2447,22,2469
2025-03-24,2645,32,2677
2025-03-25,2046,152,2198
2025-03-26,1636,29,1665
2025-03-27,1973,16,1989
2025-03-28,3348,18,3366
2025-03-31,3274,114,3388
2025-04-01,2100,224,2324
2025-04-02,2544,79,2623
2025-04-03,2007,47,2054
2025-04-04,2254,56,2310
2025-04-07,6916,0,6916
2025-04-08,6298,0,6298
2025-04-09,4825,0,4825
2025-04-10,5211,0,5211
2025-04-11,3912,0,3912
2025-04-14,1826,0,1826
2025-04-15,2216,0,2216
2025-04-16,4395,0,4395
2025-04-17,3138,0,3138
2025-04-18,2179,0,2179
2025-04-21,5117,0,5117
2025-04-22,5590,0,5590
2025-04-23,6321,0,6321
2025-04-24,5361,0,5361
2025-04-25,5504,0,5504
2025-04-28,6357,0,6357
2025-04-29,6677,0,6677
2025-04-30,7159,0,7159
2025-05-01,8202,0,8202
2025-05-02,5817,0,5817
2025-05-05,9462,0,9462
2025-05-06,8574,0,8574
2025-05-07,11306,0,11306
2025-05-08,10459,0,10459
2025-05-09,7340,0,7340
2025-05-12,7671,7,7678
2025-05-13,28473,1472,29945
2025-05-14,96890,2039,98929
2025-05-15,78957,1754,80711
2025-05-16,57114,707,57821
2025-05-19,17873,444,18317
2025-05-20,17425,1061,18486
2025-05-21,46935,1520,48455
2025-05-22,50235,1219,51454
2025-05-23,49753,955,50708
2025-05-26,54464,687,55151
2025-05-27,51496,2072,53568
2025-05-28,58945,1126,60071
2025-05-29,59680,1327,61007
2025-05-30,38699,1325,40024
2025-06-02,4088,3599,7687
2025-06-03,11432,4153,15585
2025-06-04,14073,4572,18645
2025-06-05,29748,3744,33492
2025-06-06,43769,5570,49339
2025-06-09,42723,6686,49409
2025-06-10,24284,5090,29374
2025-06-11,14170,4965,19135
2025-06-12,47029,9030,56059
2025-06-13,36897,8204,45101
2025-06-16,22558,6939,29497
2025-06-17,44258,18195,62453
2025-06-18,21770,25855,47625
2025-06-19,19484,532,20016
2025-06-20,38010,817,38827
2025-06-23,9270,1186,10456
2025-06-24,2904,1354,4258
2025-06-25,2994,2189,5183
2025-06-26,5034,1774,6808
2025-06-27,5965,1516,7481
2025-06-30,27517,723,28240
2025-07-01,35590,790,36380
2025-07-02,34008,6297,40305
2025-07-03,31090,9413,40503
2025-07-04,32376,4263,36639
2025-07-07,23943,10233,34176
2025-07-08,36494,1370,37864
2025-07-09,41142,1396,42538
2025-07-10,21148,2508,23656
2025-07-11,13839,2668,16507
2025-07-14,3543,1569,5112
2025-07-15,2587,8099,10686
2025-07-16,5716,7952,13668
2025-07-17,7542,5449,12991
2025-07-18,11087,3734,14821
2025-07-21,38159,3142,41301
2025-07-22,44949,5335,50284
2025-07-23,57394,8522,65916
