date,report_ticker,kind,contracts
2025-09-04,KXNFLCOMBO,pending,11128
2025-09-05,KXNFLCOMBO,pending,21400
2025-09-17,KXMVENFLMULTIGAME,independent,229
2025-09-18,KXMVENFLMULTIGAME,independent,2114
2025-09-19,KXMVENFLMULTIGAME,independent,60
2025-09-20,KXMVENFLMULTIGAME,independent,28579
2025-09-21,KXMVENFLMULTIGAME,independent,24945
2025-09-23,KXMVENFLMULTIGAME,independent,146
2025-09-24,KXMVENFLMULTIGAME,independent,4286
2025-09-25,KXMVENFLMULTIGAME,independent,21799
2025-09-26,KXMVENFLMULTIGAME,independent,20182
2025-09-27,KXMVENFLMULTIGAME,independent,32354
2025-09-28,KXMVENFLMULTIGAME,independent,110681
2025-09-28,KXMVENFLSINGLEGAME,correlated,31
2025-09-29,KXMVENFLMULTIGAME,independent,29341
2025-09-29,KXMVENFLSINGLEGAME,correlated,255757
2025-10-01,KXMVENFLSINGLEGAME,correlated,39769
2025-10-02,KXMVENFLSINGLEGAME,correlated,649761
2025-10-03,KXMVENFLMULTIGAMEEXTENDED,correlated,47340
2025-10-03,KXMVENFLMULTIGAMEEXTENDED,independent,191004
2025-10-03,KXMVENFLSINGLEGAME,correlated,63581
2025-10-04,KXMVENFLMULTIGAMEEXTENDED,correlated,184173
2025-10-04,KXMVENFLMULTIGAMEEXTENDED,independent,528480
2025-10-04,KXMVENFLSINGLEGAME,correlated,153224
2025-10-05,KXMVENFLMULTIGAMEEXTENDED,correlated,588959
2025-10-05,KXMVENFLMULTIGAMEEXTENDED,independent,1405736
2025-10-05,KXMVENFLSINGLEGAME,correlated,1877859
2025-10-06,KXMVENFLMULTIGAMEEXTENDED,correlated,471761
2025-10-06,KXMVENFLSINGLEGAME,correlated,258567
2025-10-09,KXMVENFLMULTIGAMEEXTENDED,correlated,168061
2025-10-09,KXMVENFLMULTIGAMEEXTENDED,independent,130567
2025-10-09,KXMVENFLSINGLEGAME,correlated,1256129
2025-10-10,KXMVENFLMULTIGAMEEXTENDED,correlated,51520
2025-10-10,KXMVENFLMULTIGAMEEXTENDED,independent,430891
2025-10-10,KXMVENFLSINGLEGAME,correlated,40539
2025-10-11,KXMVENFLMULTIGAMEEXTENDED,correlated,258184
2025-10-11,KXMVENFLMULTIGAMEEXTENDED,independent,767746
2025-10-11,KXMVENFLSINGLEGAME,correlated,347309
2025-10-12,KXMVENFLMULTIGAMEEXTENDED,correlated,255377
2025-10-12,KXMVENFLMULTIGAMEEXTENDED,independent,2054844
2025-10-12,KXMVENFLSINGLEGAME,correlated,3597408
2025-10-13,KXMVENFLMULTIGAMEEXTENDED,correlated,756973
2025-10-13,KXMVENFLMULTIGAMEEXTENDED,independent,255828
2025-10-13,KXMVENFLSINGLEGAME,correlated,1368971
2025-10-14,KXMVENFLMULTIGAMEEXTENDED,correlated,17818
2025-10-14,KXMVENFLMULTIGAMEEXTENDED,independent,370020
2025-10-14,KXMVENFLSINGLEGAME,correlated,19610
2025-10-15,KXMVENFLMULTIGAMEEXTENDED,correlated,110471
2025-10-15,KXMVENFLMULTIGAMEEXTENDED,independent,333357
2025-10-15,KXMVENFLSINGLEGAME,correlated,245275
2025-10-16,KXMVENFLMULTIGAMEEXTENDED,correlated,500122
2025-10-16,KXMVENFLMULTIGAMEEXTENDED,independent,699821
2025-10-16,KXMVENFLSINGLEGAME,correlated,1782892
2025-10-17,KXMVENFLMULTIGAMEEXTENDED,correlated,149496
2025-10-17,KXMVENFLMULTIGAMEEXTENDED,independent,1188204
2025-10-17,KXMVENFLSINGLEGAME,correlated,66867
2025-10-18,KXMVENFLMULTIGAMEEXTENDED,correlated,744259
2025-10-18,KXMVENFLMULTIGAMEEXTENDED,independent,1237132
2025-10-18,KXMVENFLSINGLEGAME,correlated,365043
2025-10-19,KXMVENFLMULTIGAMEEXTENDED,correlated,2120934
2025-10-19,KXMVENFLMULTIGAMEEXTENDED,independent,3690588
2025-10-19,KXMVENFLSINGLEGAME,correlated,3504950
2025-10-20,KXMVENFLMULTIGAMEEXTENDED,correlated,2078476
2025-10-20,KXMVENFLMULTIGAMEEXTENDED,independent,412813
2025-10-20,KXMVENFLSINGLEGAME,correlated,3569598
2025-10-21,KXMVENFLMULTIGAMEEXTENDED,correlated,68381
2025-10-21,KXMVENFLMULTIGAMEEXTENDED,independent,509375
2025-10-21,KXMVENFLSINGLEGAME,correlated,112733
2025-10-22,KXMVENFLMULTIGAMEEXTENDED,correlated,291274
2025-10-22,KXMVENFLMULTIGAMEEXTENDED,independent,825061
2025-10-22,KXMVENFLSINGLEGAME,correlated,201391
2025-10-23,KXMVENFLMULTIGAMEEXTENDED,correlated,847268
2025-10-23,KXMVENFLMULTIGAMEEXTENDED,independent,889919
2025-10-23,KXMVENFLSINGLEGAME,correlated,2406372
2025-10-24,KXMVENFLMULTIGAMEEXTENDED,correlated,108286
2025-10-24,KXMVENFLMULTIGAMEEXTENDED,independent,1067666
2025-10-24,KXMVENFLSINGLEGAME,correlated,30909
2025-10-25,KXMVENFLMULTIGAMEEXTENDED,correlated,1158979
2025-10-25,KXMVENFLMULTIGAMEEXTENDED,independent,2536901
2025-10-25,KXMVENFLSINGLEGAME,correlated,458514
2025-10-26,KXMVENFLMULTIGAMEEXTENDED,correlated,3616168
2025-10-26,KXMVENFLMULTIGAMEEXTENDED,independent,5453518
2025-10-26,KXMVENFLSINGLEGAME,correlated,3687258
2025-10-27,KXMVENFLMULTIGAMEEXTENDED,correlated,1595490
2025-10-27,KXMVENFLMULTIGAMEEXTENDED,independent,2
2025-10-27,KXMVENFLSINGLEGAME,correlated,2631068
2025-10-28,KXMVENFLMULTIGAMEEXTENDED,correlated,92000
2025-10-28,KXMVENFLMULTIGAMEEXTENDED,independent,935892
2025-10-28,KXMVENFLSINGLEGAME,correlated,6416
2025-10-29,KXMVENFLMULTIGAMEEXTENDED,correlated,445007
2025-10-29,KXMVENFLMULTIGAMEEXTENDED,independent,1313542
2025-10-29,KXMVENFLSINGLEGAME,correlated,345845
2025-10-30,KXMVENFLMULTIGAMEEXTENDED,correlated,1529896
2025-10-30,KXMVENFLMULTIGAMEEXTENDED,independent,1294216
2025-10-30,KXMVENFLSINGLEGAME,correlated,2579952
2025-10-31,KXMVENFLMULTIGAMEEXTENDED,correlated,167163
2025-10-31,KXMVENFLMULTIGAMEEXTENDED,independent,1211300
2025-10-31,KXMVENFLSINGLEGAME,correlated,32928
2025-11-01,KXMVENFLMULTIGAMEEXTENDED,correlated,1295346
2025-11-01,KXMVENFLMULTIGAMEEXTENDED,independent,1888219
2025-11-01,KXMVENFLSINGLEGAME,correlated,340743
2025-11-02,KXMVENFLMULTIGAMEEXTENDED,correlated,5585111
2025-11-02,KXMVENFLMULTIGAMEEXTENDED,independent,7336852
2025-11-02,KXMVENFLSINGLEGAME,correlated,3804379
2025-11-03,KXMVENFLMULTIGAMEEXTENDED,correlated,1834362
2025-11-03,KXMVENFLMULTIGAMEEXTENDED,independent,288
2025-11-03,KXMVENFLSINGLEGAME,correlated,2549859
2025-11-04,KXMVENFLMULTIGAMEEXTENDED,correlated,64995
2025-11-04,KXMVENFLMULTIGAMEEXTENDED,independent,726109
2025-11-04,KXMVENFLSINGLEGAME,correlated,9781
2025-11-05,KXMVENFLMULTIGAMEEXTENDED,correlated,450130
2025-11-05,KXMVENFLMULTIGAMEEXTENDED,independent,1064987
2025-11-05,KXMVENFLSINGLEGAME,correlated,303514
2025-11-06,KXMVENFLMULTIGAMEEXTENDED,correlated,1977284
2025-11-06,KXMVENFLMULTIGAMEEXTENDED,independent,1265635
2025-11-06,KXMVENFLSINGLEGAME,correlated,3079350
2025-11-07,KXMVENFLMULTIGAMEEXTENDED,correlated,105118
2025-11-07,KXMVENFLMULTIGAMEEXTENDED,independent,1257955
2025-11-07,KXMVENFLSINGLEGAME,correlated,49207
2025-11-08,KXMVENFLMULTIGAMEEXTENDED,correlated,1735751
2025-11-08,KXMVENFLMULTIGAMEEXTENDED,independent,2441128
2025-11-08,KXMVENFLSINGLEGAME,correlated,281167
2025-11-09,KXMVENFLMULTIGAMEEXTENDED,correlated,6815656
2025-11-09,KXMVENFLMULTIGAMEEXTENDED,independent,7176557
2025-11-09,KXMVENFLSINGLEGAME,correlated,4554452
2025-11-09,KXNFLPREPACK,pending,15
2025-11-10,KXMVENFLMULTIGAMEEXTENDED,correlated,2493628
2025-11-10,KXMVENFLMULTIGAMEEXTENDED,independent,4
2025-11-10,KXMVENFLSINGLEGAME,correlated,3461273
2025-11-11,KXMVENFLMULTIGAMEEXTENDED,correlated,42501
2025-11-11,KXMVENFLMULTIGAMEEXTENDED,independent,622494
2025-11-11,KXMVENFLSINGLEGAME,correlated,6075
2025-11-12,KXMVENFLMULTIGAMEEXTENDED,correlated,114229
2025-11-12,KXMVENFLMULTIGAMEEXTENDED,independent,1169846
2025-11-12,KXMVENFLSINGLEGAME,correlated,30085
2025-11-13,KXMVEMENTIONSSINGLE,correlated,445
2025-11-13,KXMVENBAMULTIGAMEEXTENDED,pending,5942
2025-11-13,KXMVENFLMULTIGAMEEXTENDED,correlated,1911882
2025-11-13,KXMVENFLMULTIGAMEEXTENDED,independent,1606786
2025-11-13,KXMVENFLSINGLEGAME,correlated,2863170
2025-11-14,KXMVEMENTIONSSINGLE,correlated,200
2025-11-14,KXMVENFLMULTIGAMEEXTENDED,correlated,481323
2025-11-14,KXMVENFLMULTIGAMEEXTENDED,independent,1863141
2025-11-14,KXMVENFLSINGLEGAME,correlated,77795
2025-11-15,KXMVEMENTIONSSINGLE,correlated,854
2025-11-15,KXMVENFLMULTIGAMEEXTENDED,correlated,2289420
2025-11-15,KXMVENFLMULTIGAMEEXTENDED,independent,3147767
2025-11-15,KXMVENFLSINGLEGAME,correlated,397580
2025-11-16,KXMVEMENTIONSSINGLE,correlated,17002
2025-11-16,KXMVENFLMULTIGAMEEXTENDED,correlated,6295480
2025-11-16,KXMVENFLMULTIGAMEEXTENDED,independent,9248256
2025-11-16,KXMVENFLSINGLEGAME,correlated,3218670
2025-11-17,KXMVEMENTIONSSINGLE,correlated,35554
2025-11-17,KXMVENFLMULTIGAMEEXTENDED,correlated,1865389
2025-11-17,KXMVENFLMULTIGAMEEXTENDED,independent,187
2025-11-17,KXMVENFLSINGLEGAME,correlated,2442823
2025-11-18,KXMVEMENTIONSSINGLE,correlated,2936
2025-11-18,KXMVENBASINGLEGAME,correlated,489588
2025-11-18,KXMVENFLSINGLEGAME,correlated,32094
2025-11-18,KXMVESPORTSMULTIGAMEEXTENDED,correlated,93356
2025-11-18,KXMVESPORTSMULTIGAMEEXTENDED,independent,574579
2025-11-19,KXMVEMENTIONSSINGLE,correlated,327
2025-11-19,KXMVENBASINGLEGAME,correlated,355663
2025-11-19,KXMVENFLSINGLEGAME,correlated,338742
2025-11-19,KXMVESPORTSMULTIGAMEEXTENDED,correlated,475790
2025-11-19,KXMVESPORTSMULTIGAMEEXTENDED,independent,1786114
2025-11-20,KXMVEMENTIONSSINGLE,correlated,7787
2025-11-20,KXMVENBASINGLEGAME,correlated,96740
2025-11-20,KXMVENFLSINGLEGAME,correlated,2955520
2025-11-20,KXMVESPORTSMULTIGAMEEXTENDED,correlated,1687150
2025-11-20,KXMVESPORTSMULTIGAMEEXTENDED,independent,1715429
2025-11-21,KXMVEMENTIONSSINGLE,correlated,578
2025-11-21,KXMVENBASINGLEGAME,correlated,299634
2025-11-21,KXMVENFLSINGLEGAME,correlated,83851
2025-11-21,KXMVESPORTSMULTIGAMEEXTENDED,correlated,572108
2025-11-21,KXMVESPORTSMULTIGAMEEXTENDED,independent,2515950
2025-11-21,KXNFLPREPACK,pending,67474
2025-11-22,KXMVEMENTIONSSINGLE,correlated,412
