legs,kind,n_parlays,win_rate_pct,taker_stake,taker_pnl,pnl_per_100,total_vol
02,multi-game(independent),1183058,28.88,306276707.0,-5962764.0,-1.95,1133325930.0
03,multi-game(independent),1607389,18.79,183163545.0,-5261046.0,-2.87,1202544836.0
04,multi-game(independent),1391455,13.43,99899397.0,-6402283.0,-6.41,1034278416.0
05,multi-game(independent),990377,10.35,50964472.0,-4313139.0,-8.46,703394356.0
06,multi-game(independent),737671,8.01,29491655.0,-1692461.0,-5.74,576413951.0
07,multi-game(independent),521110,6.46,16076492.0,-999773.0,-6.22,455951808.0
08,multi-game(independent),420228,5.03,10501146.0,-894462.0,-8.52,461720092.0
09,multi-game(independent),292437,4.17,6074407.0,-634633.0,-10.45,386569107.0
A_10+,multi-game(independent),942547,2.74,13216587.0,-953291.0,-7.21,1607833087.0
02,same-game(correlated),1114166,28.33,223086996.0,-8088894.0,-3.63,818019740.0
03,same-game(correlated),1479854,20.16,90352816.0,-8881956.0,-9.83,572233300.0
04,same-game(correlated),1633704,15.4,72237792.0,-8361567.0,-11.58,673299339.0
05,same-game(correlated),1281067,12.5,45222066.0,-7311468.0,-16.17,539830635.0
06,same-game(correlated),1091958,9.79,33228609.0,-6816319.0,-20.51,549303079.0
07,same-game(correlated),783662,8.27,20422256.0,-3874444.0,-18.97,411277770.0
08,same-game(correlated),669114,6.67,15588791.0,-3575384.0,-22.94,446167608.0
09,same-game(correlated),481964,5.86,10062332.0,-2393664.0,-23.79,321575608.0
A_10+,same-game(correlated),2165669,3.05,31805967.0,-9953553.0,-31.29,2608917384.0
