month,n_parlays,median_legs,mean_legs,pct_vol_4plus,pct_correlated,total_vol
2025-09,1747,3.0,3.97,48.68,42.47,530110.0
2025-10,176188,4.0,4.71,66.59,73.75,81502897.0
2025-11,437887,4.0,5.24,71.8,72.09,223821290.0
2025-12,941989,5.0,5.71,73.18,75.92,632298629.0
2026-01,1778855,5.0,6.23,71.76,76.18,1248711102.0
2026-02,2095085,5.0,6.37,74.19,49.23,1245585803.0
2026-03,3342729,5.0,6.39,72.43,47.17,2147689178.0
2026-04,4100500,5.0,6.34,73.66,53.37,3270367860.0
2026-05,4926376,5.0,6.31,75.43,58.17,4662069092.0
2026-06,6780430,5.0,6.73,77.7,49.38,8912941634.0
