kind,price_bucket,n_parlays,implied_pct,actual_pct,gap,total_vol
multi-game(independent),"1:[0,5c)",6161245,1.52,1.27,-0.25,12344576212.0
multi-game(independent),"2:[5,10c)",2465141,6.96,5.97,-0.98,1841356411.0
multi-game(independent),"3:[10,20c)",2735875,14.09,12.66,-1.44,1790207801.0
multi-game(independent),"4:[20,40c)",2504598,28.05,26.47,-1.58,1761043969.0
multi-game(independent),"5:[40,60c)",982371,47.45,46.28,-1.17,732334856.0
multi-game(independent),"6:[60,80c)",181463,66.88,66.14,-0.74,155164457.0
multi-game(independent),"7:[80,100c]",30380,86.33,84.92,-1.41,26194790.0
same-game(correlated),"1:[0,5c)",7023698,1.72,1.17,-0.55,10942811087.0
same-game(correlated),"2:[5,10c)",3312255,6.94,5.08,-1.85,1602902277.0
same-game(correlated),"3:[10,20c)",3516889,14.05,11.12,-2.93,1375164090.0
same-game(correlated),"4:[20,40c)",2998219,27.79,23.97,-3.82,1306113599.0
same-game(correlated),"5:[40,60c)",1036167,47.26,43.35,-3.92,488658453.0
same-game(correlated),"6:[60,80c)",201422,66.92,62.68,-4.24,98870679.0
same-game(correlated),"7:[80,100c]",38303,87.4,81.04,-6.36,19701649.0
