date,kind,n_parlays,total_vol,taker_stake,gross_pnl,fee,net_pnl
2025-09-17,independent,17,2326,146.31,-144.31,9.01,-153.32
2025-09-18,independent,7,249,60.9,-60.9,3.19,-64.09
2025-09-19,independent,7,51,6.93,-4.93,0.4,-5.33
2025-09-20,independent,65,38411,9110.64,-6319.64,342.46,-6662.1
2025-09-21,independent,91,14890,2094.88,-1746.88,110.37,-1857.25
2025-09-23,independent,10,3779,2079.59,-1991.59,62.43,-2054.02
2025-09-24,independent,51,12088,3574.29,-967.29,156.77,-1124.06
2025-09-25,independent,121,34152,7041.57,-3072.57,278.08,-3350.65
2025-09-26,independent,100,24265,2921.66,-2072.66,150.81,-2223.47
2025-09-27,independent,97,27450,2782.12,-2095.12,153.64,-2248.76
2025-09-28,correlated,3,31,2.59,-2.59,0.17,-2.76
2025-09-28,independent,330,95473,10045.28,-5443.28,560.23,-6003.51
2025-09-29,correlated,715,247183,34530.98,-254.98,1734.27,-1989.25
2025-09-29,independent,81,15311,5173.27,552.73,216.3,336.43
2025-09-30,correlated,24,8574,343.02,-272.02,21.55,-293.57
2025-09-30,independent,3,168,35.66,-1.66,1.95,-3.61
2025-10-01,correlated,138,109930,29811.15,-16945.15,1258.86,-18204.01
2025-10-02,correlated,1133,568335,54237.01,-29748.01,2641.08,-32389.09
2025-10-03,correlated,1078,501523,75718.91,-4906.91,3925.58,-8832.49
2025-10-03,independent,856,753978,304480.28,-155510.28,7363.68,-162873.96
2025-10-04,correlated,1467,518564,43904.52,-26430.52,2439.81,-28870.33
2025-10-04,independent,1340,502244,32933.91,-13530.91,1835.03,-15365.94
2025-10-05,correlated,5428,1861962,134093.68,-43077.68,7182.03,-50259.71
2025-10-05,independent,2504,869459,65353.6,-12150.6,3644.41,-15795.01
2025-10-06,correlated,1528,544038,35744.4,-23382.4,2024.48,-25406.88
2025-10-06,independent,5,648,111.79,-111.79,5.84,-117.63
2025-10-07,correlated,772,230700,14516.94,-4134.94,829.98,-4964.92
2025-10-09,correlated,2849,1426400,133127.71,-35286.71,6380.96,-41667.67
2025-10-09,independent,662,631728,174969.83,-24008.83,5296.45,-29305.28
2025-10-10,correlated,970,304150,44435.77,-15634.77,2075.28,-17710.05
2025-10-10,independent,2116,1052795,127979.5,-6332.5,6030.93,-12363.43
2025-10-11,correlated,2314,1137730,113206.87,-44854.87,5326.84,-50181.71
2025-10-11,independent,1312,528371,22732.07,-5632.07,1257.77,-6889.84
2025-10-12,correlated,10737,3019776,302286.64,-64982.64,13856.83,-78839.47
2025-10-12,independent,3248,1339584,132733.12,-49219.12,6609.04,-55828.16
2025-10-13,correlated,7323,2101662,221350.21,-75169.21,9321.69,-84490.9
2025-10-13,independent,213,81431,17293.86,31.14,707.76,-676.62
2025-10-14,correlated,1136,367094,83547.22,-19461.22,3751.5,-23212.72
2025-10-14,independent,1906,1413777,307611.49,111320.51,8601.65,102718.86
2025-10-15,correlated,1882,729629,99221.18,9290.82,4813.99,4476.83
2025-10-15,independent,950,484624,42380.22,28014.78,2274.63,25740.15
2025-10-16,correlated,4766,1688329,143589.55,44457.45,6879.6,37577.85
2025-10-16,independent,892,613649,32440.73,16010.27,1771.93,14238.34
2025-10-17,correlated,1086,376005,53644.33,13315.67,2446.54,10869.13
2025-10-17,independent,1757,1271722,48458.7,79147.3,2832.53,76314.77
2025-10-18,correlated,2698,1562695,262954.46,142725.54,11289.6,131435.94
2025-10-18,independent,1440,806871,36138.49,5396.51,2040.45,3356.06
2025-10-19,correlated,14582,5300813,409852.05,-41511.05,21339.99,-62851.04
2025-10-19,independent,5566,3131174,190681.17,113199.82,10100.66,103099.16
2025-10-20,correlated,10718,4609176,356468.37,-157779.37,18618.39,-176397.76
2025-10-20,independent,368,219473,31874.15,-10349.15,1482.34,-11831.49
2025-10-21,correlated,2812,1327949,163405.02,-49217.02,7107.14,-56324.16
2025-10-21,independent,1376,2315861,406499.21,-189253.21,15392.81,-204646.02
2025-10-22,correlated,2038,1001988,159387.05,-36983.05,6657.7,-43640.75
2025-10-22,independent,2062,1642568,145792.32,-37393.32,6875.42,-44268.74
2025-10-23,correlated,6822,2402994,204350.34,-128514.34,10054.95,-138569.29
2025-10-23,independent,1156,764899,38713.97,4609.04,2116.97,2492.07
2025-10-24,correlated,1224,447207,48279.66,12394.34,2318.22,10076.12
2025-10-24,independent,1495,1004199,54143.29,-21857.29,2842.47,-24699.76
2025-10-25,correlated,3964,1930959,167307.24,26211.76,8235.75,17976.01
2025-10-25,independent,2891,2001226,89727.78,-17485.78,5217.2,-22702.98
2025-10-26,correlated,16811,6485266,417971.77,-22914.78,22664.42,-45579.2
2025-10-26,independent,6465,3552728,233540.13,-35667.13,12680.94,-48348.07
2025-10-27,correlated,9905,3943857,253270.93,94047.07,13774.51,80272.56
2025-10-27,independent,16,3496,508.18,554.82,23.68,531.14
2025-10-28,correlated,1741,719026,95396.21,-13074.21,4585.92,-17660.13
2025-10-28,independent,2326,3848714,520837.54,-276648.54,23568.08,-300216.62
2025-10-29,correlated,3166,1312890,189998.82,-90522.82,8673.87,-99196.69
2025-10-29,independent,2303,2093341,169070.03,-109238.03,8533.27,-117771.3
2025-10-30,correlated,7836,3427297,218970.58,-103930.58,12151.2,-116081.78
2025-10-30,independent,1202,841160,61515.72,-41187.72,3243.35,-44431.07
2025-10-31,correlated,1205,453944,60033.04,-7647.04,2719.71,-10366.75
2025-10-31,independent,1798,1326535,71719.14,-45057.14,3615.13,-48672.27
2025-11-01,correlated,4230,1963659,174451.85,-54406.85,8321.8,-62728.65
2025-11-01,independent,2402,1279389,75447.86,-43808.86,3994.62,-47803.48
2025-11-02,correlated,18039,7674655,551215.22,-165339.22,28091.16,-193430.38
2025-11-02,independent,8534,4571154,307878.5,-122751.5,16438.62,-139190.13
2025-11-03,correlated,11909,4466478,389090.5,-156956.5,20296.06,-177252.56
2025-11-03,independent,41,23139,703.15,-624.15,38.61,-662.76
2025-11-04,correlated,3336,1518044,177128.23,-51759.23,8763.82,-60523.05
2025-11-04,independent,1989,2763783,428373.19,-121633.19,15513.31,-137146.5
2025-11-05,correlated,2854,1370017,183815.34,-128898.34,8650.51,-137548.85
2025-11-05,independent,1847,1618791,111963.98,-74703.98,6041.88,-80745.86
2025-11-06,correlated,7746,3161286,190922.91,-155633.91,10608,-166241.91
2025-11-06,independent,1277,1149351,47054.44,-19044.44,2657.04,-21701.48
2025-11-07,correlated,3516,1509976,88228.04,-37791.04,4904.67,-42695.71
2025-11-07,independent,2084,1600947,70559.64,-35193.63,3906.12,-39099.75
2025-11-08,correlated,3445,1746269,143738.78,-17044.78,6779.71,-23824.49
2025-11-08,independent,2379,1539470,80729.93,-18144.93,3769.42,-21914.35
2025-11-09,correlated,21709,9495766,603289.9,-76454.9,31857.16,-108312.06
2025-11-09,independent,8460,5251702,456244.09,-160822.09,21417.5,-182239.59
2025-11-10,correlated,13664,6138998,403426.36,-203404.36,22344.2,-225748.56
2025-11-10,independent,39,8331,1565.13,1111.87,78.25,1033.62
2025-11-11,correlated,3847,1782429,149236.43,-31041.43,7274.97,-38316.4
2025-11-11,independent,1307,2255917,392104.92,-31735.92,13795.93,-45531.85
2025-11-12,correlated,698,483842,120868.02,9315.98,5161.25,4154.73
2025-11-12,independent,2794,2390525,253844.79,-88434.79,11328.38,-99763.17
2025-11-13,correlated,7962,3506497,318985.6,-7228.6,16167.34,-23395.94
2025-11-13,independent,1693,1399137,83204.2,-19495.2,3970.56,-23465.76
2025-11-14,correlated,3538,1576574,110762.16,-31074.16,5865.7,-36939.86
2025-11-14,independent,2963,2571270,137682.3,-46528.3,7076.63,-53604.93
2025-11-15,correlated,4897,2742239,172277.7,-70325.7,8465.77,-78791.47
2025-11-15,independent,3516,2445089,117782.99,-41316.99,5822.43,-47139.42
2025-11-16,correlated,18314,7788952,433504.39,-233476.39,24386.12,-257862.51
2025-11-16,independent,11620,6581553,455487.8,-141520.8,22943.44,-164464.24
2025-11-17,correlated,11600,4495453,362418.29,-99309.29,18898.8,-118208.09
2025-11-17,independent,61,14986,3692.9,-2876.9,169.45,-3046.35
2025-11-18,correlated,5235,1588452,186444.07,-54729.07,8506.23,-63235.3
2025-11-18,independent,257,771432,186708.19,136537.81,5788.59,130749.22
2025-11-19,correlated,5789,2195470,394311.71,-177927.71,17024.19,-194951.9
2025-11-19,independent,4370,4448634,725652.51,90832.49,27435.79,63396.7
2025-11-20,correlated,8268,2970064,316158.99,-109351.99,15520.16,-124872.15
2025-11-20,independent,1994,1542117,220907.82,-52834.82,9240.1,-62074.92
2025-11-21,correlated,6489,2088361,237222.73,-92828.73,10980.07,-103808.8
2025-11-21,independent,4097,3137289,275114.07,-110232.07,13127.29,-123359.36
2025-11-22,correlated,6682,2710466,251079.38,-46832.38,12025.82,-58858.2
2025-11-22,independent,4018,2292001,170313.43,-46012.43,8432.12,-54444.55
2025-11-23,correlated,21809,9371401,630996.75,-152062.75,32277.53,-184340.28
2025-11-23,independent,11251,6652682,507025.12,-14975.12,24685.38,-39660.5
2025-11-24,correlated,13462,4842479,467919.28,-248973.28,23883.42,-272856.7
2025-11-24,independent,1745,1007113,185658.75,-39153.75,7247.96,-46401.71
2025-11-25,correlated,6888,3243087,638610.27,-146982.27,25049.79,-172032.06
2025-11-25,independent,3552,7279839,1210036.41,-245130.41,43398.49,-288528.9
2025-11-26,correlated,10161,4901331,827243.18,-222502.19,34894.95,-257397.14
2025-11-26,independent,4230,3501079,405022.89,-87347.89,18233.33,-105581.22
2025-11-27,correlated,31965,14009924,1097055.84,-70787.84,55005.06,-125792.9
2025-11-27,independent,4886,4097539,438680.05,-238673.05,19879.6,-258552.65
2025-11-28,correlated,22313,8938657,897454.79,-332855.79,44001.28,-376857.07
2025-11-28,independent,4466,3866296,253242.48,-127212.49,13120.4,-140332.89
2025-11-29,correlated,6438,3258120,325910.17,-46213.17,15274.7,-61487.87
2025-11-29,independent,6512,4763791,455911.41,-140191.41,20163.88,-160355.29
