row_label,ALL_PARLAYS,Multi-game sports,Cross-category,NFL single game,NFL multi-game,NFL prepack,NBA single game,NCAAF prepack,CBB championship,Other,contracts_ALL_PARLAYS,contracts_Multi-game sports,contracts_Cross-category,contracts_NFL single game,contracts_NFL multi-game,contracts_NFL prepack,contracts_NBA single game,contracts_NCAAF prepack,contracts_CBB championship,contracts_Other,fees_ALL_PARLAYS,fees_Multi-game sports,fees_Cross-category,fees_NFL single game,fees_NFL multi-game,fees_NFL prepack,fees_NBA single game,fees_NCAAF prepack,fees_CBB championship,fees_Other,net_pnl_ALL_PARLAYS,net_pnl_Multi-game sports,net_pnl_Cross-category,net_pnl_NFL single game,net_pnl_NFL multi-game,net_pnl_NFL prepack,net_pnl_NBA single game,net_pnl_NCAAF prepack,net_pnl_CBB championship,net_pnl_Other,net_pnl_pct_ALL_PARLAYS,net_pnl_pct_Multi-game sports,net_pnl_pct_Cross-category,net_pnl_pct_NFL single game,net_pnl_pct_NFL multi-game,net_pnl_pct_NFL prepack,net_pnl_pct_NBA single game,net_pnl_pct_NCAAF prepack,net_pnl_pct_CBB championship,net_pnl_pct_Other
2025-09-17,33.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.81,229,0,0,0,0,0,0,0,0,229,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,-35.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.57,-105.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.21
2025-09-18,115.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.64,2114,0,0,0,0,0,0,0,0,2114,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49,-123.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.13,-106.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.48
2025-09-19,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83,60,0,0,0,0,0,0,0,0,60,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,-6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.29,-80.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.33
2025-09-20,3613.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3613.85,28579,0,0,0,0,0,0,0,0,28579,180.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.6,-3623.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3623.45,-100.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.27
2025-09-21,7396.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7396.32,24945,0,0,0,0,0,0,0,0,24945,271.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.21,-4697.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4697.53,-63.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.51
2025-09-23,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,146,0,0,0,0,0,0,0,0,146,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,30.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.12,152.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.89
2025-09-24,474.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.41,4286,0,0,0,0,0,0,0,0,4286,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.67,-427.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-427.08,-90.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.02
2025-09-25,2102.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.41,21412,0,0,0,0,0,0,0,0,21412,118.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.08,-988.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-988.49,-47.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.02
2025-09-26,2567.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567.71,20182,0,0,0,0,0,0,0,0,20182,121.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.2,-2585.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2585.91,-100.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.71
2025-09-27,2453.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2453.85,31965,0,0,0,0,0,0,0,0,31965,136.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.32,-1832.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1832.17,-74.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.67
2025-09-28,15421.72,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,15419.13,105385,0,0,31,0,0,0,0,0,105354,773.55,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,773.38,-9294.27,0.0,0.0,-2.76,0.0,0.0,0.0,0.0,0.0,-9291.51,-60.27,0.0,0.0,-106.56,0.0,0.0,0.0,0.0,0.0,-60.26
2025-09-29,44107.74,0.0,0.0,34969.1,0.0,0.0,0.0,0.0,0.0,9138.64,285098,0,0,255757,0,0,0,0,0,29341,2155.77,0.0,0.0,1762.01,0.0,0.0,0.0,0.0,0.0,393.76,-2616.51,0.0,0.0,-2516.11,0.0,0.0,0.0,0.0,0.0,-100.4,-5.93,0.0,0.0,-7.2,0.0,0.0,0.0,0.0,0.0,-1.1
2025-10-01,3999.02,0.0,0.0,3999.02,0.0,0.0,0.0,0.0,0.0,0.0,39769,0,0,39769,0,0,0,0,0,0,199.79,0.0,0.0,199.79,0.0,0.0,0.0,0.0,0.0,0.0,-2331.81,0.0,0.0,-2331.81,0.0,0.0,0.0,0.0,0.0,0.0,-58.31,0.0,0.0,-58.31,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02,86838.25,0.0,0.0,86838.25,0.0,0.0,0.0,0.0,0.0,0.0,649761,0,0,649761,0,0,0,0,0,0,3921.19,0.0,0.0,3921.19,0.0,0.0,0.0,0.0,0.0,0.0,-52233.44,0.0,0.0,-52233.44,0.0,0.0,0.0,0.0,0.0,0.0,-60.15,0.0,0.0,-60.15,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-03,22590.94,0.0,0.0,6106.79,16484.15,0.0,0.0,0.0,0.0,0.0,301925,0,0,63581,238344,0,0,0,0,0,1190.31,0.0,0.0,341.78,848.53,0.0,0.0,0.0,0.0,0.0,-15145.25,0.0,0.0,-1959.57,-13185.68,0.0,0.0,0.0,0.0,0.0,-67.04,0.0,0.0,-32.09,-79.99,0.0,0.0,0.0,0.0,0.0
2025-10-04,45382.62,0.0,0.0,11748.96,33633.66,0.0,0.0,0.0,0.0,0.0,865877,0,0,153224,712653,0,0,0,0,0,2573.3,0.0,0.0,616.45,1956.85,0.0,0.0,0.0,0.0,0.0,-27264.92,0.0,0.0,-5621.41,-21643.51,0.0,0.0,0.0,0.0,0.0,-60.08,0.0,0.0,-47.85,-64.35,0.0,0.0,0.0,0.0,0.0
