pid,ticker,label,n_legs,result,family,tot_trades,first_date,last_date
0,KXMVESPORTSMULTIGAMEEXTENDED-S2026C6D9D36AB23-FAFAED8D5CE,"yes Josh Hokit,yes Diego Lopes,yes Bo Nickal,yes Sean O'Malley,yes Alex Pereira,yes Mauricio Ruffy,yes Ilia Topuria",7,pending,Multi-game sports,35354.0,2026-05-31,2026-06-15
1,KXMVESPORTSMULTIGAMEEXTENDED-S2026DC5EAC0C38D-960F25DA074,"yes Canada,yes USA",2,pending,Multi-game sports,25696.0,2026-06-04,2026-06-12
2,KXNFLPREPACKSGP-26FEB08SEANE-SEAU45,"Seattle wins against New England, Seattle and New England collectively score under 45.5 points",2,hit,NFL prepack,20548.0,2026-01-27,2026-02-08
3,KXNCAAFPREPACKSGP-26JAN19MIAIND-INDO48,"Indiana wins the College Football Playoff National Championship, Miami (FL) and Indiana collectively score over 48.5 points",2,miss,NCAAF prepack,18101.0,2026-01-12,2026-01-19
4,KXMVESPORTSMULTIGAMEEXTENDED-S202629C184D5AB1-BA2C65CAD2E,"yes Sean O'Malley,yes Alex Pereira,yes Ilia Topuria",3,pending,Multi-game sports,17125.0,2026-05-31,2026-06-15
5,KXMVESPORTSMULTIGAMEEXTENDED-S2026D1214339C5A-9D702354AD0,"yes UConn,yes Arizona",2,miss,Multi-game sports,14444.0,2026-03-29,2026-04-04
6,KXMVESPORTSMULTIGAMEEXTENDED-S202687B4AC9A744-0367380F56B,"yes Argentina,yes France,yes Norway",3,pending,Multi-game sports,14294.0,2026-06-05,2026-06-16
7,KXMVESPORTSMULTIGAMEEXTENDED-S202666FEB74384C-BF97F190A31,"yes Brazil,yes Scotland,yes Switzerland,yes Turkiye",4,miss,Multi-game sports,14200.0,2026-06-04,2026-06-13
8,KXMVESPORTSMULTIGAMEEXTENDED-S2026696CDD53522-4D848BB0B03,"yes Real Madrid,yes Arsenal,yes Barcelona,yes PSG",4,miss,Multi-game sports,13642.0,2026-03-24,2026-04-07
9,KXNFLPREPACKSGP-26FEB08SEANE-SEAO45,"Seattle wins against New England, Seattle and New England collectively score over 45.5 points",2,miss,NFL prepack,13410.0,2026-01-27,2026-02-08
10,KXMVESPORTSMULTIGAMEEXTENDED-S202622223BEAE8A-19E18A70044,"yes New York,yes Karl-Anthony Towns: 10+,yes OG Anunoby: 15+,yes De'Aaron Fox: 10+,yes Dylan Harper: 10+,yes Stephon Castle: 10+,yes Jalen Brunson: 2+,yes Mikal Bridges: 2+,yes Mitchell Robinson: 2+,yes OG Anunoby: 2+,yes De'Aaron Fox: 2+,yes Stephon Castle: 2+",12,miss,Multi-game sports,13403.0,2026-06-11,2026-06-14
11,KXMVECROSSCATEGORY-S20269FFA01F37B2-5A9B39F2847,"yes Atletico,yes PSG",2,miss,Cross-category,12660.0,2026-04-27,2026-05-05
12,KXMVECROSSCATEGORY-S202654C8C14C4B4-30129FF9542,"yes Jalen Johnson: 6+,yes Nickeil Alexander-Walker: 4+,yes Minnesota,yes Atlanta,yes Toronto,yes Jalen Johnson: 20+,yes Jalen Brunson: 25+,yes Onyeka Okongwu: 6+,yes Josh Hart: 6+,yes Over 226.5 points scored,yes Over 214.5 points scored,yes Over 217.5 points scored",12,miss,Cross-category,12576.0,2026-04-24,2026-04-25
13,KXNCAAFPREPACKSGP-26JAN09OREIND-INDO46,"Indiana wins against Oregon, Oregon and Indiana collectively score over 46.5 points",2,hit,NCAAF prepack,12450.0,2026-01-02,2026-01-09
14,KXMVESPORTSMULTIGAMEEXTENDED-S20263E861A673D3-5B327AE0A70,"yes New York,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Landry Shamet: 10+,yes OG Anunoby: 10+,yes De'Aaron Fox: 10+,yes Dylan Harper: 10+,yes Devin Vassell: 10+,yes Julian Champagnie: 10+,yes Stephon Castle: 10+,yes Victor Wembanyama: 20+,no Over 222.5 points scored",12,miss,Multi-game sports,12229.0,2026-06-06,2026-06-09
15,KXMVESPORTSMULTIGAMEEXTENDED-S20265C6565B3F59-4701815D873,"yes Cade Cunningham: 1+,yes Duncan Robinson: 1+,yes Desmond Bane: 1+,yes Shai Gilgeous-Alexander: 6+,yes Devin Booker: 2+,yes New York,yes Cade Cunningham: 25+,yes Tobias Harris: 10+,yes Jalen Suggs: 10+,yes Cameron Johnson: 10+,yes Jamal Murray: 25+,yes Ayo Dosunmu: 15+,yes Dillon Brooks: 15+,yes J",29,miss,Multi-game sports,11990.0,2026-04-26,2026-04-27
16,KXMVECROSSCATEGORY-S20262B2DC9139A8-583870E1BF6,"yes PSG,yes Real Madrid,yes Bodoe/Glimt",3,miss,Cross-category,11691.0,2026-03-11,2026-03-17
17,KXMVECROSSCATEGORY-S2026BF6B0BFD21E-39C1E0D1080,"yes OG Anunoby: 2+,yes Shai Gilgeous-Alexander: 1+,yes Dylan Harper: 10+,yes Stephon Castle: 15+,yes Victor Wembanyama: 25+,yes Jalen Brunson: 25+,yes Karl-Anthony Towns: 15+,yes OG Anunoby: 15+,yes Paul George: 10+,yes Tyrese Maxey: 20+,yes VJ Edgecombe: 10+,yes LeBron James: 15+,yes Chet Holmgren:",21,miss,Cross-category,11683.0,2026-05-03,2026-05-04
18,KXMVESPORTSMULTIGAMEEXTENDED-S2026B69545A13E1-D460A774124,"yes San Antonio,no San Antonio wins by over 5.5 points",2,miss,Multi-game sports,11267.0,2026-06-03,2026-06-05
19,KXMVESPORTSMULTIGAMEEXTENDED-S202543DFB1BBC7D-684D336FD03,"yes New England,yes Seattle",2,hit,Multi-game sports,11184.0,2026-01-19,2026-01-25
20,KXMVESPORTSMULTIGAMEEXTENDED-S20262D932F446F2-F64E80F84D7,"yes Sean Strickland,yes Joshua van",2,hit,Multi-game sports,10824.0,2026-05-03,2026-05-10
21,KXNCAAFPREPACKSGP-26JAN19MIAIND-INDU48,"Indiana wins the College Football Playoff National Championship, Miami (FL) and Indiana collectively score under 48.5 points",2,hit,NCAAF prepack,10738.0,2026-01-12,2026-01-19
22,KXMVECROSSCATEGORY-S202649FC5B749AB-808352034F4,"yes James Harden: 10+,yes Jaylon Tyson: 10+,yes Ausar Thompson: 10+,yes Duncan Robinson: 10+,yes Jake LaRavia: 10+,yes Cason Wallace: 10+,yes Luguentz Dort: 10+,yes LeBron James: 6+",8,miss,Cross-category,10625.0,2026-05-07,2026-05-07
23,KXMVESPORTSMULTIGAMEEXTENDED-S2026A889F9B1905-B77C4ED175B,"yes Victor Wembanyama: 1+,yes Cade Cunningham: 1+,yes Duncan Robinson: 1+,yes Desmond Bane: 1+,yes James Harden: 2+,yes New York,yes Los Angeles L,yes CJ McCollum: 15+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Jayson Tatum: 15+,yes Tyrese Maxey: 15+,yes De'Aaron Fox: 10+,yes Stephon Cas",34,miss,Multi-game sports,10611.0,2026-04-28,2026-04-28
24,KXMVESPORTSMULTIGAMEEXTENDED-S2026EC3C477FC63-5FB55C5C47E,"yes Jalen Brunson: 1+,yes Josh Hart: 1+,yes Mikal Bridges: 1+,yes OG Anunoby: 1+,yes Jalen Brunson: 6+,yes Josh Hart: 2+,yes Karl-Anthony Towns: 2+,yes De'Aaron Fox: 2+,yes Stephon Castle: 6+,yes Victor Wembanyama: 2+,yes New York,yes Jose Alvarado: 10+,yes Karl-Anthony Towns: 15+,yes Mikal Bridges:",18,miss,Multi-game sports,10599.0,2026-06-06,2026-06-08
25,KXMVESPORTSMULTIGAMEEXTENDED-S202615F728A20BF-63689D8D552,"yes De'Aaron Fox: 1+,yes Anthony Edwards: 2+,yes Jaden McDaniels: 2+,yes De'Aaron Fox: 4+,yes Victor Wembanyama: 4+,yes Ayo Dosunmu: 10+,yes Jaden McDaniels: 10+,yes Rudy Gobert: 10+,yes De'Aaron Fox: 15+,yes Dylan Harper: 10+,yes Devin Vassell: 10+,yes Stephon Castle: 15+,yes Victor Wembanyama: 20+",18,miss,Multi-game sports,10246.0,2026-05-10,2026-05-10
26,KXMVESPORTSMULTIGAMEEXTENDED-S20263E04D190C23-8572109E9A9,"yes Alex Pereira,yes Ilia Topuria",2,pending,Multi-game sports,10190.0,2026-05-31,2026-06-15
27,KXMVESPORTSMULTIGAMEEXTENDED-S2026D7E17E3B751-DE56B6ACD43,"yes Korea Republic,yes Mexico",2,hit,Multi-game sports,10164.0,2026-06-04,2026-06-12
28,KXMVESPORTSMULTIGAMEEXTENDED-S2026700E3141F6D-A47FE119C56,"yes Orlando,yes Phoenix",2,miss,Multi-game sports,9796.0,2026-04-20,2026-04-22
29,KXMVESPORTSMULTIGAMEEXTENDED-S2026014389D4A53-BE30DCB3407,"yes Argentina,yes France,yes Norway,yes Austria",4,pending,Multi-game sports,9581.0,2026-06-05,2026-06-17
30,KXNFLPREPACK2ML-26JAN25LASEANEDEN-NESEA,"New England wins against Denver, Seattle wins against Los Angeles R",2,hit,NFL prepack,9580.0,2026-01-20,2026-01-25
31,KXMVESPORTSMULTIGAMEEXTENDED-S2026950E6EEAFFF-9DB09EBA9C0,"yes Donovan Mitchell: 1+,yes LeBron James: 1+,yes Marcus Smart: 2+,yes Donovan Mitchell: 25+,yes Evan Mobley: 10+,yes Jarrett Allen: 10+,yes James Harden: 15+,yes Cade Cunningham: 20+,yes Duncan Robinson: 10+,yes Jalen Duren: 10+,yes Tobias Harris: 15+,yes Austin Reaves: 20+,yes LeBron James: 15+,ye",16,miss,Multi-game sports,9304.0,2026-05-10,2026-05-11
32,KXMVECROSSCATEGORY-S2026EA5118A9423-892EF204383,"yes LeBron James: 1+,yes LeBron James: 6+,yes Los Angeles L,yes Alperen Sengun: 15+,yes Amen Thompson: 15+,yes LeBron James: 25+,yes Marcus Smart: 10+,no Over 215.5 points scored",8,miss,Cross-category,9249.0,2026-04-26,2026-04-27
33,KXNFLPREPACKSGP-26FEB08SEANE-NEU45,"New England wins against Seattle, Seattle and New England collectively score under 45.5 points",2,miss,NFL prepack,9162.0,2026-01-27,2026-02-08
