date,parlay_type,trades,contracts,notional,gross_pnl,fee,net_pnl,net_pnl_pct
2025-09-17,MULTI,20,229,33.81,-33.81,1.76,-35.57,-105.205560485064
2025-09-18,MULTI,7,2114,115.64,-115.64,7.49,-123.13,-106.476997578693
2025-09-19,MULTI,9,60,7.83,-5.83,0.46,-6.29,-80.3320561941252
2025-09-20,MULTI,61,28579,3613.85,-3442.85,180.6,-3623.45,-100.265644672579
2025-09-21,MULTI,122,24945,7396.32,-4426.32,271.21,-4697.53,-63.5117193415104
2025-09-23,MULTI,3,146,19.7,31.3,1.18,30.12,152.893401015228
2025-09-24,MULTI,40,4286,474.41,-403.41,23.67,-427.08,-90.0233974831897
2025-09-25,MULTI,89,21412,2102.41,-870.41,118.08,-988.49,-47.0169947821786
2025-09-26,MULTI,86,20182,2567.71,-2464.71,121.2,-2585.91,-100.708802785361
2025-09-27,MULTI,154,31965,2453.85,-1695.85,136.32,-1832.17,-74.6651180797522
2025-09-28,MULTI,427,105354,15415.49,-8528.49,773.38,-9301.87,-60.3410595446528
2025-09-28,SGP,3,31,2.59,-2.59,0.17,-2.76,-106.563706563707
2025-09-29,MULTI,271,29341,9119.4,340.6,393.76,-53.1599999999999,-0.582933087703137
2025-09-29,SGP,1229,255757,34811.94,-464.94,1762.01,-2226.95,-6.3970867466737
2025-10-01,SGP,208,39769,3999.02,-2132.02,199.79,-2331.81,-58.3095358362799
2025-10-02,SGP,2768,649761,84789.83,-48484.83,3921.19,-52406.02,-61.8069643493801
2025-10-03,MULTI,776,238344,16481.51,-12330.51,848.53,-13179.04,-79.962576244531
2025-10-03,SGP,470,63581,6106.79,-1617.79,341.78,-1959.57,-32.0883803110963
2025-10-04,MULTI,2360,712653,33348.16,-19169.16,1956.85,-21126.01,-63.3498519858367
2025-10-04,SGP,1085,153224,11438.46,-4540.46,616.45,-5156.91,-45.0839536091397
2025-10-05,MULTI,6570,1994695,395912.66,-169245.66,12435.44,-181681.1,-45.8891867716481
2025-10-05,SGP,10181,1877859,215414.23,-75099.23,11036.53,-86135.76,-39.9861049105252
2025-10-06,MULTI,2359,471761,41228.1,-27162.1,2224.32,-29386.42,-71.2776480119142
2025-10-06,SGP,1404,258567,20808.97,-8768.97,1163.17,-9932.14,-47.7300894758366
2025-10-09,MULTI,1356,298628,36785.64,-8750.64,1548.19,-10298.83,-27.9968759548563
2025-10-09,SGP,5625,1256129,95040.57,-30290.57,4671.57,-34962.14,-36.7865428416517
2025-10-10,MULTI,1861,482411,23393.9,-5478.9,1321.09,-6799.99,-29.0673637144726
2025-10-10,SGP,469,40539,8117.02,-4576.02,400.5,-4976.52,-61.3096924733461
2025-10-11,MULTI,2840,1025930,50602.45,-17228.45,2810.88,-20039.33,-39.6015015083262
2025-10-11,SGP,1675,347197,19988.01,-11389.01,1130.97,-12519.98,-62.6374511519656
2025-10-12,MULTI,7700,2310221,361372.34,-19947.34,16094.02,-36041.36,-9.9734694691907
2025-10-12,SGP,16750,3597408,376237.66,-130994.66,18912.99,-149907.65,-39.8438715571429
2025-10-13,MULTI,4287,1012427,149050.82,-39824.82,6600.02,-46424.84,-31.1469873161382
2025-10-13,SGP,7158,1362960,167226.06,-42182.06,7598.19,-49780.25,-29.7682370797949
2025-10-14,MULTI,1205,387838,21229.54,2429.46,1166.76,1262.7,5.94784437156905
2025-10-14,SGP,539,19610,4722.07,-245.07,210.85,-455.92,-9.65508770518015
2025-10-15,MULTI,1483,443828,31200.85,3550.15,1638.95,1911.2,6.12547414573642
2025-10-15,SGP,1156,245275,24175.84,8533.16,1227.33,7305.83,30.2195497653856
2025-10-16,MULTI,3395,1199943,90939.29,20301.71,4195.4,16106.31,17.7110575637879
2025-10-16,SGP,7637,1782892,171340.79,47348.21,8592.4,38755.81,22.6191381515166
2025-10-17,MULTI,2809,1337700,40383.62,63932.38,2323.25,61609.13,152.559701185778
2025-10-17,SGP,474,66867,7862.63,4730.37,415.42,4314.95,54.879219803043
2025-10-18,MULTI,4246,1981388,72009.95,83453.05,4006.42,79446.63,110.327295047421
2025-10-18,SGP,1564,365043,24405.27,-2808.27,1347.8,-4156.07,-17.029395700191
2025-10-19,MULTI,16281,5811361,434642.98,302433.02,21662.97,280770.05,64.5978568433338
2025-10-19,SGP,15580,3504950,386144.6,-45781.6,19324.19,-65105.79,-16.8604688502701
2025-10-20,MULTI,7294,2491289,205113.37,-10392.37,10140.05,-20532.42,-10.0102787058689
2025-10-20,SGP,10470,3569598,443897.49,14590.51,20434.47,-5843.96000000001,-1.31651116116922
2025-10-21,MULTI,1222,577756,23929.22,-6830.22,1011.82,-7842.04,-32.771816214653
2025-10-21,SGP,450,112733,20791.72,-10412.72,878.39,-11291.11,-54.3058005783071
2025-10-22,MULTI,2748,1116335,46874.42,-22419.42,2466.4,-24885.82,-53.0904062386265
2025-10-22,SGP,921,201391,16433.27,-7107.27,889.82,-7997.09,-48.6640212203658
2025-10-23,MULTI,4725,1737187,118969.43,-44999.43,5774.53,-50773.96,-42.6781569013149
2025-10-23,SGP,8447,2405261,239293.35,-93217.35,11427.11,-104644.46,-43.7306176707376
2025-10-24,MULTI,2578,1175952,83402.96,-10800.96,3803.08,-14604.04,-17.5102178627713
2025-10-24,SGP,310,30909,6395.18,2874.82,299.81,2575.01,40.2648557194637
2025-10-25,MULTI,8030,3691545,170144.26,-24930.26,8916.96,-33847.22,-19.8932482353504
2025-10-25,SGP,1813,458324,33460.02,4390.98,1790.97,2600.01,7.7704974474014
2025-10-26,MULTI,22267,9069249,686449.4,-82045.4,34868.76,-116914.16,-17.0317229500091
2025-10-26,SGP,14878,3686231,353759.32,3502.68,17937.22,-14434.54,-4.08032783418964
2025-10-27,MULTI,5157,1595492,127606.86,68391.14,6342.65,62048.49,48.6247291093912
2025-10-27,SGP,8308,2631068,218880.58,74885.42,10866.11,64019.31,29.2485107632664
2025-10-28,MULTI,1777,1027892,33064.35,-20918.35,1769.21,-22687.56,-68.6163798774209
2025-10-28,SGP,102,6416,1613.21,303.79,73.65,230.14,14.2659666131502
2025-10-29,MULTI,3730,1758549,94027.89,-57391.89,4524.23,-61916.12,-65.8486753238853
2025-10-29,SGP,1068,345845,24831.71,-12053.71,1307.06,-13360.77,-53.8052755931831
2025-10-30,MULTI,7138,2824112,189579.47,-97055.47,9690.84,-106746.31,-56.3068933571763
2025-10-30,SGP,8273,2579952,235363.3,-118763.3,11545.31,-130308.61,-55.3648805909842
2025-10-31,MULTI,2830,1378463,67452.04,-35668.04,3401.41,-39069.45,-57.9218211932508
2025-10-31,SGP,331,32928,3828.36,-756.36,193.27,-949.63,-24.8051384927227
2025-11-01,MULTI,6940,3183565,133878.71,-72829.71,6926.33,-79756.04,-59.5733556141974
2025-11-01,SGP,1278,340733,21435.1,-8586.1,1126.91,-9713.01,-45.3135744643132
2025-11-02,MULTI,31019,12921207,1051998.01,-402301.01,51844.77,-454145.78,-43.1698326121358
2025-11-02,SGP,14803,3804133,458759.19,-57926.19,21562.11,-79488.3,-17.326802761161
2025-11-03,MULTI,6027,1833497,171869.62,-91640.62,8850.38,-100491,-58.4693211051494
2025-11-03,SGP,9061,2548527,272136.99,-126469.99,13813.67,-140283.66,-51.5489129206581
2025-11-04,MULTI,1700,791104,26874.9,-10381.9,1433.44,-11815.34,-43.9642194017466
2025-11-04,SGP,141,9781,2696.57,-334.57,120.95,-455.52,-16.8925709327034
2025-11-05,MULTI,3075,1515117,67008.65,-54062.65,3563.62,-57626.27,-85.9982554491099
2025-11-05,SGP,1072,303514,39399.73,-36989.73,1471.05,-38460.78,-97.616861841439
2025-11-06,MULTI,7916,3242919,190607.56,-148605.56,9842.39,-158447.95,-83.1278413091275
2025-11-06,SGP,10037,3079350,254206.19,-195751.19,12713.6,-208464.79,-82.006181674805
2025-11-07,MULTI,2831,1363073,77024,-50293,3440.31,-53733.31,-69.7617755504778
2025-11-07,SGP,166,49207,9367.3,25838.7,511.62,25327.08,270.377590127358
2025-11-08,MULTI,8205,4176879,150399.45,-71870.45,7926.02,-79796.47,-53.056357586414
2025-11-08,SGP,1303,281167,26582.26,-6057.26,1358.52,-7415.78,-27.8974774906272
2025-11-09,MULTI,31604,13992213,1149848.24,-207549.24,53850.27,-261399.51,-22.7333921909556
2025-11-09,SGP,16238,4554191,452550.15,-72744.15,22532.69,-95276.84,-21.0533219357015
2025-11-10,MULTI,7339,2493632,177337.16,-73362.16,9601.43,-82963.59,-46.7829697960653
2025-11-10,SGP,9451,3461273,267265.07,-116037.07,14442.94,-130480.01,-48.8204500498325
2025-11-11,MULTI,1241,664995,20675.29,2972.71,1161.51,1811.2,8.76021569709542
2025-11-11,SGP,68,6075,1382.57,175.43,59.67,115.76,8.3728129497964
2025-11-12,MULTI,2370,1284075,39365.13,2620.87,2091.47,529.4,1.34484504433238
2025-11-12,SGP,192,30085,8751.5,5689.5,369.46,5320.04,60.7900359938296
2025-11-13,MULTI,8409,3523759,191877.28,30319.72,9940.09,20379.63,10.6211793287877
2025-11-13,SGP,9094,2861918,250909.49,-5327.49,12598.31,-17925.8,-7.14432921608505
