month,sportmix,n_parlays,total_vol,pct_parlays
2025-09,all-sports,1747,530504,100
2025-10,all-sports,178397,83521904,100
2025-11,all-nonsports,662,72307,0.15
2025-11,all-sports,429937,225059342,99.85
2025-12,all-nonsports,3,30,0
2025-12,all-sports,947950,647456961,100
2026-01,all-nonsports,325,286088,0.02
2026-01,all-sports,1788859,1287553653,99.98
2026-02,all-nonsports,952,401325,0.05
2026-02,all-sports,2058530,1243748748,99.95
2026-03,all-nonsports,6999,1536117,0.21
2026-03,all-sports,3354598,2202604746,99.74
2026-03,mixed,1657,651087,0.05
2026-04,all-nonsports,56,2995,0
2026-04,all-sports,4093709,3352615273,99.78
2026-04,mixed,9031,7139573,0.22
2026-05,all-nonsports,1829,301790,0.08
2026-05,all-sports,2331260,2177746036,99.6
2026-05,mixed,7607,5160931,0.32
