game_key,n_parlays,parlay_vol
26JUL05MEXENG,479525,988312165.0
26JUN25TUNNED,429086,980704992.0
26JUL03ARGCPV,541020,964527723.0
26JUN24SCOBRA,404498,950929364.0
26JUL06USABEL,459406,934434327.0
26JUN27JORARG,442840,928921574.0
26JUN25TURUSA,395942,913327259.0
26JUN26URUESP,395713,903753428.0
26JUN24MARHTI,380297,902918491.0
26JUL11NORENG,404625,897338844.0
26JUL05BRANOR,453406,893084774.0
26JUN27PANENG,393848,884262403.0
26JUL09FRAMAR,413363,881258976.0
26JUN23ENGGHA,371461,873198738.0
26JUN26NORFRA,373895,872063547.0
26JUN25ECUGER,348942,862204476.0
26JUL03COLGHA,471224,861991564.0
26JUN22FRAIRQ,355954,842770529.0
26JUN23PORUZB,337884,820254967.0
26JUL06PORESP,396197,815300989.0
26JUN22ARGAUT,314186,794651110.0
26JUN26NZLBEL,331255,791990153.0
26JUL07ARGEGY,393828,767503663.0
26JUN25JPNSWE,325914,753124918.0
26JUL04PARFRA,444381,747847371.0
26JUL02PORCRO,402142,742596138.0
26JUN23COLCOD,319594,741019696.0
26JUL11ARGSUI,357786,733478756.0
26JUL01USABIH,429098,719931661.0
26JUN27COLPOR,345183,718927138.0
26JUN23PANCRO,299460,716638327.0
26JUN26SENIRQ,297030,714864341.0
26JUN24CZEMEX,303669,713219042.0
26JUN25CUWCIV,295524,711878617.0
26JUL02ESPAUT,399067,703521968.0
26JUL07SUICOL,338519,700571182.0
26JUN24RSAKOR,284701,690576681.0
26JUL02SUIDZA,337559,640176705.0
26JUL04CANMAR,357424,637744751.0
26JUN21ESPKSA,259918,632722117.0
