month,rh_est,rh_est_billions,kalshi_billions,rh_share_pct
2025-04,185782544,0.186,0.46,40.4
2025-05,349422679,0.349,0.664,52.6
2025-06,363552726,0.364,0.782,46.5
2025-07,239983379,0.24,0.74,32.4
2025-08,368725456,0.369,0.874,42.2
2025-09,1609187854,1.609,2.864,56.2
2025-10,2404728202,2.405,4.398,54.7
2025-11,3005171795,3.005,5.81,51.7
2025-12,2986250435,2.986,6.584,45.4
2026-01,3478839506,3.479,9.554,36.4
2026-02,2509874147,2.51,10.407,24.1
2026-03,2882235173,2.882,12.968,22.2
2026-04,2926914167,2.927,14.801,19.8
