week_start,rh_est_billions,kalshi_billions,rh_share_pct
2025-04-07,0.029,0.154,18.5
2025-04-14,0.015,0.055,27
2025-04-21,0.043,0.081,52.5
2025-04-28,0.068,0.124,55.1
2025-05-05,0.06,0.122,49.1
2025-05-12,0.094,0.162,58
2025-05-19,0.07,0.162,43.4
2025-05-26,0.084,0.164,51.3
2025-06-02,0.11,0.205,53.8
2025-06-09,0.118,0.231,51
2025-06-16,0.092,0.2,45.9
2025-06-23,0.033,0.117,28.4
2025-06-30,0.053,0.138,38.5
2025-07-07,0.097,0.21,46.3
2025-07-14,0.054,0.171,31.9
2025-07-21,0.036,0.157,23.1
2025-07-28,0.031,0.143,21.5
2025-08-04,0.042,0.151,28.1
2025-08-11,0.07,0.179,39.1
2025-08-18,0.081,0.187,43.6
2025-08-25,0.159,0.297,53.8
2025-09-01,0.324,0.561,57.8
2025-09-08,0.302,0.562,53.8
2025-09-15,0.409,0.728,56.2
2025-09-22,0.498,0.855,58.3
2025-09-29,0.534,0.956,55.8
2025-10-06,0.491,0.909,54
2025-10-13,0.486,0.95,51.1
2025-10-20,0.579,1.081,53.5
2025-10-27,0.714,1.261,56.6
2025-11-03,0.764,1.305,58.6
2025-11-10,0.745,1.24,60.1
2025-11-17,0.507,1.145,44.3
2025-11-24,0.687,1.518,45.2
2025-12-01,0.563,1.296,43.5
2025-12-08,0.568,1.238,45.9
2025-12-15,0.779,1.616,48.2
2025-12-22,0.739,1.708,43.3
2025-12-29,0.773,1.979,39.1
2026-01-05,0.676,2.012,33.6
2026-01-12,0.794,2.153,36.9
2026-01-19,0.851,2.258,37.7
2026-01-26,0.794,2.195,36.2
2026-02-02,0.912,2.797,32.6
2026-02-09,0.552,2.428,22.7
2026-02-16,0.549,2.592,21.2
2026-02-23,0.544,2.7,20.1
2026-03-02,0.602,2.843,21.2
2026-03-09,0.77,2.935,26.2
2026-03-16,0.721,3.309,21.8
2026-03-23,0.579,2.73,21.2
2026-03-30,0.641,2.905,22.1
2026-04-06,0.641,3.538,18.1
2026-04-13,0.578,3.056,18.9
2026-04-20,0.825,3.906,21.1
