date,category,contracts
2026-05-21,Baseball,79
2026-05-21,Economics,0
2026-05-21,Football,0
2026-05-21,Other,0
2026-05-21,Soccer,0
2026-05-22,Baseball,100
2026-05-22,Economics,348
2026-05-22,Football,0
2026-05-22,Other,0
2026-05-22,Soccer,0
2026-05-23,Baseball,42
2026-05-23,Economics,0
2026-05-23,Football,0
2026-05-23,Other,0
2026-05-23,Soccer,0
2026-05-24,Baseball,45
2026-05-24,Economics,0
2026-05-24,Football,0
2026-05-24,Other,0
2026-05-24,Soccer,0
2026-05-25,Baseball,0
2026-05-25,Economics,0
2026-05-25,Football,0
2026-05-25,Other,0
2026-05-25,Soccer,0
2026-05-26,Baseball,0
2026-05-26,Economics,0
2026-05-26,Football,0
2026-05-26,Other,0
2026-05-26,Soccer,0
2026-05-27,Baseball,4
2026-05-27,Economics,220
2026-05-27,Football,0
2026-05-27,Other,0
2026-05-27,Soccer,0
2026-05-28,Baseball,27
2026-05-28,Economics,0
2026-05-28,Football,0
2026-05-28,Other,0
2026-05-28,Soccer,0
2026-05-29,Baseball,42600
2026-05-29,Economics,87
2026-05-29,Football,0
2026-05-29,Other,0
2026-05-29,Soccer,0
2026-05-30,Baseball,1973041
2026-05-30,Economics,100
2026-05-30,Football,0
2026-05-30,Other,0
2026-05-30,Soccer,0
2026-05-31,Baseball,96247
2026-05-31,Economics,0
2026-05-31,Football,0
2026-05-31,Other,0
2026-05-31,Soccer,0
2026-06-01,Baseball,4177791
2026-06-01,Economics,11
2026-06-01,Football,0
2026-06-01,Other,0
2026-06-01,Soccer,0
2026-06-02,Baseball,2826899
2026-06-02,Economics,0
2026-06-02,Football,0
2026-06-02,Other,0
2026-06-02,Soccer,28524
2026-06-03,Baseball,2703964
2026-06-03,Economics,0
2026-06-03,Football,0
2026-06-03,Other,0
2026-06-03,Soccer,16168
2026-06-04,Baseball,1925145
2026-06-04,Economics,0
2026-06-04,Football,0
2026-06-04,Other,0
2026-06-04,Soccer,197742
2026-06-06,Baseball,147166
2026-06-06,Economics,0
2026-06-06,Football,0
2026-06-06,Other,0
2026-06-06,Soccer,2112100
2026-06-07,Baseball,207
2026-06-07,Economics,0
2026-06-07,Football,0
2026-06-07,Other,0
2026-06-07,Soccer,2023526
2026-06-08,Baseball,89439
2026-06-08,Economics,0
2026-06-08,Football,0
2026-06-08,Other,0
2026-06-08,Soccer,2604741
2026-06-09,Baseball,3071028
2026-06-09,Economics,0
2026-06-09,Football,0
2026-06-09,Other,0
2026-06-09,Soccer,3106520
2026-06-10,Baseball,3098454
2026-06-10,Economics,0
2026-06-10,Football,0
2026-06-10,Other,0
2026-06-10,Soccer,4396694
2026-06-11,Baseball,2046711
2026-06-11,Economics,18
2026-06-11,Football,0
2026-06-11,Other,0
2026-06-11,Soccer,20547664
2026-06-12,Baseball,0
2026-06-12,Economics,25
2026-06-12,Football,0
2026-06-12,Other,0
2026-06-12,Soccer,17463139
2026-06-13,Baseball,0
2026-06-13,Economics,36
2026-06-13,Football,0
2026-06-13,Other,0
2026-06-13,Soccer,44160396
2026-06-14,Baseball,179
2026-06-14,Economics,0
2026-06-14,Football,0
2026-06-14,Other,0
2026-06-14,Soccer,69731533
2026-06-15,Baseball,183116
2026-06-15,Economics,50
2026-06-15,Football,0
2026-06-15,Other,0
2026-06-15,Soccer,108834593
2026-06-16,Baseball,6742150
2026-06-16,Economics,8
2026-06-16,Football,0
2026-06-16,Other,0
2026-06-16,Soccer,87806515
2026-06-17,Baseball,2466026
2026-06-17,Economics,10
2026-06-17,Football,0
2026-06-17,Other,0
