date,contracts_total,contracts_sports,contracts_nonsports
2026-05-21,79,79,0
2026-05-22,448,100,348
2026-05-23,42,42,0
2026-05-24,45,45,0
2026-05-25,0,0,0
2026-05-26,0,0,0
2026-05-27,224,4,220
2026-05-28,27,27,0
2026-05-29,42687,42600,87
2026-05-30,1973141,1973041,100
2026-05-31,96247,96247,0
2026-06-01,4177802,4177791,11
2026-06-02,2855423,2855423,0
2026-06-03,2720132,2720132,0
2026-06-04,2122887,2122887,0
2026-06-06,2259266,2259266,0
2026-06-07,2023733,2023733,0
2026-06-08,2694180,2694180,0
2026-06-09,6177548,6177548,0
2026-06-10,7495148,7495148,0
2026-06-11,22594393,22594375,18
2026-06-12,17463164,17463139,25
2026-06-13,44160432,44160396,36
2026-06-14,69731712,69731712,0
2026-06-15,109017759,109017709,50
2026-06-16,94548673,94548665,8
2026-06-17,126352788,126352778,10
2026-06-18,100891859,100891498,361
2026-06-19,95714280,95713613,667
2026-06-20,141821096,141821096,0
2026-06-21,136854491,136854308,183
2026-06-22,129506096,129505854,242
2026-06-23,130719012,130718731,281
2026-06-24,125448405,125448309,96
2026-06-25,130484030,130402159,81871
2026-06-26,166670239,166233017,437222
2026-06-27,97868351,97766526,101825
