date,kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-01-25,Climate and Weather,-87289.09,-131244.38,43955.29,0.0,6915912
2026-01-25,Companies,-3384.83,-4602.56,1217.73,0.06,124404
2026-01-25,Crypto,-119686.7,-206917.95,87231.25,33.81,8574335
2026-01-25,Economics,-5082.15,-7909.91,2827.76,514.68,1581396
2026-01-25,Elections,-1535.1,-1636.17,101.07,0.0,16007
2026-01-25,Entertainment,-57564.9,-68887.2,11322.3,0.0,1869702
2026-01-25,Financials,1293.58,894.12,399.46,0.0,49539
2026-01-25,Mentions,-45670.48,-52948.28,7277.8,0.0,2369871
2026-01-25,Non-parlay sports,2142371.36,-2391166.64,4533538.0,786445.16,377195228
2026-01-25,Other non-sports,-70.48,-76.35,5.87,0.0,2505
2026-01-25,Parlays,4082973.7,3403822.71,679150.99,0.0,95941718
2026-01-25,Politics,-111332.81,-147201.81,35869.0,0.0,4328888
2026-01-25,Science and Technology,-1259.13,-1533.63,274.5,37.89,223000
2026-01-26,Climate and Weather,-47464.89,-70248.07,22783.18,0.0,5978836
2026-01-26,Companies,-3755.56,-5103.33,1347.77,0.0,188143
2026-01-26,Crypto,29040.82,-124333.25,153374.07,20.16,14729106
2026-01-26,Economics,-23111.1,-26947.33,3836.23,856.45,2154231
2026-01-26,Elections,573.45,445.19,128.26,0.0,17113
2026-01-26,Entertainment,14131.99,3361.94,10770.05,0.0,1623894
2026-01-26,Financials,-110004.01,-117342.15,7338.14,0.0,1110067
2026-01-26,Mentions,-72716.11,-91773.87,19057.76,0.0,4804392
2026-01-26,Non-parlay sports,-642106.9,-2605807.5,1963700.6,386364.21,180063095
2026-01-26,Other non-sports,-52.27,-56.39,4.12,0.0,1772
2026-01-26,Parlays,107556.75,-48070.25,155627.0,0.0,22940684
2026-01-26,Politics,-148662.21,-186556.31,37894.1,0.0,4237605
2026-01-26,Science and Technology,-2577.4,-2854.63,277.23,48.16,200496
2026-01-27,Climate and Weather,-13366.8,-27246.13,13879.33,0.0,2292258
2026-01-27,Companies,-8559.91,-10120.31,1560.4,0.0,182198
2026-01-27,Crypto,119028.25,-71307.87,190336.12,3.09,17855365
2026-01-27,Economics,-39901.0,-46477.75,6576.75,1507.52,4582824
2026-01-27,Elections,-55.16,-193.13,137.97,0.0,16228
2026-01-27,Entertainment,9257.54,-1437.37,10694.91,0.0,1443333
2026-01-27,Financials,-132889.71,-140782.55,7892.84,0.0,1265804
2026-01-27,Mentions,-135788.42,-169962.39,34173.97,0.0,6396459
2026-01-27,Non-parlay sports,-2250369.25,-4740492.48,2490123.23,474928.94,220259714
2026-01-27,Other non-sports,-43.25,-56.67,13.42,0.0,13338
2026-01-27,Parlays,-317282.41,-459097.72,141815.31,0.0,21503079
2026-01-27,Politics,-226516.88,-276751.9,50235.02,0.0,5729166
2026-01-27,Science and Technology,-1565.64,-1857.23,291.59,51.78,239630
2026-01-28,Climate and Weather,-23459.1,-39726.79,16267.69,0.0,2560948
2026-01-28,Companies,4180.82,1443.44,2737.38,4.37,355676
2026-01-28,Crypto,-299508.24,-460113.43,160605.19,25.94,15208048
2026-01-28,Economics,-71320.79,-78388.94,7068.15,1348.99,4878836
2026-01-28,Elections,-4728.15,-5064.45,336.3,0.0,50334
2026-01-28,Entertainment,3101.68,-7901.46,11003.14,0.0,1816993
2026-01-28,Financials,27831.94,21431.76,6400.18,0.0,1042224
2026-01-28,Mentions,-161459.32,-201102.23,39642.91,0.0,7872937
2026-01-28,Non-parlay sports,-4017944.75,-6477081.87,2459137.12,454158.9,221639628
2026-01-28,Other non-sports,31.87,27.05,4.82,0.0,2285
2026-01-28,Parlays,-746225.2,-909509.18,163283.98,0.0,25751376
2026-01-28,Politics,-101661.28,-192433.42,90772.14,0.0,9503249
2026-01-28,Science and Technology,-2288.02,-2503.2,215.18,43.59,195837
2026-01-29,Climate and Weather,-57106.73,-72832.65,15725.92,0.0,3263994
2026-01-29,Companies,10272.56,7128.44,3144.12,0.54,324688
2026-01-29,Crypto,-185578.8,-372184.92,186606.12,18.42,17951796
