kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled,n_days
Non-parlay sports,-664902921.98,-1770499605.74,1105596683.75,133495236.66,100745351209,970
Parlays,-298420180.31,-467939693.03,169519512.73,0.0,44265036992,323
Crypto,-68802197.06,-255753034.88,186950837.79,48029.95,17866088929,874
Politics,-20834295.29,-32282976.8,11448681.51,0.0,1690236891,1838
Elections,-22027084.21,-29018223.09,6991138.88,0.0,1672895295,676
Entertainment,-14457675.16,-20793613.74,6335938.58,26613.51,1034383040,1412
Climate and Weather,-5384922.44,-11126755.82,5741833.38,0.0,987441066,1856
Mentions,-15817022.57,-21504337.17,5687314.6,0.0,983923904,514
Economics,-11057748.08,-16541738.91,5483990.82,1256089.65,905414124,1864
Financials,-1826251.4,-5278616.27,3452364.87,72203.29,651611797,1610
Unknown,-946445.73,-4994473.58,4048027.85,1067.63,432767489,1370
Other non-sports,-1186668.12,-3226388.33,2039720.21,236.5,214148480,1849
Companies,-4041120.85,-5118354.01,1077233.16,10370.02,136537193,1118
Science and Technology,-1238834.74,-1845105.22,606270.48,63589.2,117038636,1525
