market_key,taker_pnl_gross,taker_pnl_net,taker_fees,maker_pnl_net,maker_fees,notional_settled,contracts_settled,n_days
KXMENWORLDCUP-26,-51972673.66,-59865161.76,7892488.11,49986883.14,1985790.51,389793371.66,1445724856,96
KXPGATOUR-PGC26,-3582282.43,-4271890.22,689607.79,3407847.67,174434.76,48975775.43,329811408,33
KXPGATOUR-THOC26,-3546317.9,-4137454.74,591136.84,3396805.78,149512.12,47416787.9,297526480,29
KXNBA-26,5237209.32,2975394.52,2261814.8,-5804876.96,567667.64,90359125.68,248790658,60
KXNEXTTEAMNBA-26LJAM,-67787.66,-1583779.01,1515991.35,67787.66,0.0,58319926.66,224277097,102
KXNBAGAME-26JUN13NYKSAS,22867816.75,20818731.21,2049085.54,-23382804.55,514987.8,67836122.25,155502355,6
KXWCADVANCE-26JUL18FRAENG,-91993.29,-1389784.29,1297791.0,91993.29,0.0,63250243.29,143710910,4
KXWCADVANCE-26JUL03ARGCPV,-1678503.17,-2549253.83,870750.66,1678503.17,0.0,60364021.17,135104801,8
KXWCADVANCE-26JUL06USABEL,-11454957.55,-13103337.96,1648380.41,11454957.55,0.0,62496914.55,125583324,6
KXPGATOUR-3MO26,-902165.47,-1139330.06,237164.59,842280.75,59884.72,20684541.47,122374946,7
KXNBAWEST-26,7321946.07,5789490.49,1532455.58,-7706644.28,384698.21,52803370.93,117328324,46
KXWCSCORE-26JUL19ESPARG,-2857145.75,-3243505.27,386359.52,2857145.75,0.0,16825846.75,116590334,5
KXNBAGAME-26JUN10SASNYK,23539908.32,22393609.15,1146299.17,-23827909.08,288000.76,45521319.68,112126546,12
KXPGATOUR-TRAV26,-669267.32,-1110596.15,441328.84,557965.14,111302.18,21757946.32,108762624,8
KXNBAGAME-26JUN05NYKSAS,8178115.09,6658022.61,1520092.48,-8559905.26,381790.17,47262836.91,108495325,7
KXWCADVANCE-26JUL07ARGEGY,-4189949.82,-5318686.65,1128736.83,4189949.82,0.0,54454873.82,107463937,5
KXWCGAME-26JUN20GERCIV,2423994.09,1112130.28,1311863.81,-2423994.09,0.0,53231906.91,106233528,56
KXWCGAME-26JUN18MEXKOR,7620010.98,6501534.29,1118476.69,-7620010.98,0.0,36369927.02,92090342,53
KXPGATOUR-RBBCAN26,-948817.16,-1151513.52,202696.36,897566.33,51250.83,11901031.16,90654641,8
KXPGATOUR-CHSC26,-472134.57,-713772.37,241637.8,411054.15,61080.42,13667194.57,86478364,8
KXWCADVANCE-26JUL01BELSEN,1183102.87,327600.28,855502.59,-1183102.87,0.0,39918008.13,86123063,5
KXPGATOUR-THCCBN26,-30251.0,-320071.23,289820.23,-42780.82,73031.82,13822007.0,83977705,8
KXWCADVANCE-26JUL05MEXENG,-23079060.33,-24473772.58,1394712.25,23079060.33,0.0,39935916.33,79637857,5
KXWCGAME-26JUN27COLPOR,-9825677.08,-10853765.93,1028088.85,9825677.08,0.0,34126285.08,79153959,62
