date,report_ticker,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-04-15,KX14AMENDCASE,52.86,44.46,8.4,0.0,1423
2026-04-15,KXNETFLIXRANKSHOWGLOBAL2,-53.12,-53.76,0.64,0.0,64
2026-04-15,KXNETFLIXRANKSHOWRUNNERUP,283.08,266.06,17.02,0.0,3759
2026-04-15,KXNETFLIXTOPVIEWSMOVIE,-2.3,-3.02,0.72,0.0,480
2026-04-15,KXNEWARKMAYOR,6.0,5.6,0.4,0.0,100
2026-04-15,KXNEXTLEVELCHEF,-7.72,-8.73,1.01,0.0,365
2026-04-15,KXNEXTMANAGERMANU,-2.56,-17.97,15.41,0.0,972
2026-04-15,KXNEXTNBACOACH,180.02,171.35,8.67,0.0,563
2026-04-15,KXNEXTTEAMNFL,421.65,332.21,89.44,0.0,7236
2026-04-15,KXNFLTRADE,-3.0,-3.11,0.11,0.0,6
2026-04-15,KXNETFLIXRANKSHOWGLOBAL,-13.11,-13.95,0.84,0.0,378
2026-04-15,KXNHL,-21860.47,-24177.27,2316.8,584.74,648821
2026-04-15,KXNHLAST,-9.45,-9.82,0.37,0.0,21
2026-04-15,KXNHLCALDER,-0.59,-0.64,0.05,0.0,34
2026-04-15,KXNHLEAST,-2268.71,-3229.79,961.08,241.54,100371
2026-04-15,KXNHLFIRSTGOAL,-294.01,-315.97,21.96,0.0,3834
2026-04-15,KXNHLGAME,-659307.16,-746823.94,87516.78,22039.63,6482994
2026-04-15,KXNHLGOAL,-3372.04,-3652.07,280.03,0.0,37096
2026-04-15,KXNHLHART,-42926.36,-44551.74,1625.38,0.0,109450
2026-04-15,KXNHLNORRIS,-233.43,-363.72,130.29,0.0,22876
2026-04-15,KXNHLPTS,-456.49,-473.23,16.74,0.0,1091
2026-04-15,KXNHLADAMS,-446.82,-455.02,8.2,0.0,3478
2026-04-15,KXNHLSERIES,199.65,182.68,16.97,4.36,1030
2026-04-15,KXNETFLIXRANKSHOW,121.45,99.09,22.36,0.0,8180
2026-04-15,KXNETFLIXRANKMOVIEGLOBAL2,-18.08,-19.35,1.27,0.0,746
2026-04-15,KXNBASERIESSCORE,-2099.76,-2272.88,173.12,0.0,16284
2026-04-15,KXNBASERIESSPREAD,-1463.68,-1546.55,82.87,0.0,5892
2026-04-15,KXNBASPREAD,16530.08,-104169.53,120699.61,30347.39,7897862
2026-04-15,KXNBASTL,-975.77,-1053.02,77.25,0.0,8985
2026-04-15,KXNBASWEEP,-34.58,-43.1,8.52,0.0,851
2026-04-15,KXNBATEAMTOTAL,-4788.91,-6373.45,1584.54,0.0,119813
2026-04-15,KXNBATOPPICK,-311.37,-332.65,21.28,0.0,4166
2026-04-15,KXNBATOTAL,-181210.66,-290643.14,109432.48,27528.02,7926753
2026-04-15,KXNBAUPSET,-57.53,-59.58,2.05,0.0,122
2026-04-15,KXNETFLIXRANKMOVIERUNNERUP,75.85,55.58,20.27,0.0,4779
2026-04-15,KXNBAWEST,15218.03,14341.35,876.68,221.49,180818
2026-04-15,KXNCAABASEBALL,-1166.25,-1292.52,126.27,0.0,29112
2026-04-15,KXNCAABBGAME,1627.06,1308.86,318.2,0.0,136241
2026-04-15,KXNCAABBGS,-1.8,-1.92,0.12,0.0,20
2026-04-15,KXNCAALAXFINAL,-924.95,-970.96,46.01,0.0,5804
2026-04-15,KXNCAAMLAXGAME,123.2,85.98,37.22,0.0,2763
2026-04-15,KXNDALR,-0.25,-0.28,0.03,0.0,5
2026-04-15,KXNE2D,-159.77,-169.79,10.02,0.0,726
2026-04-15,KXNETFLIXRANKMOVIE,-860.07,-922.74,62.67,0.0,22666
2026-04-15,KXNETFLIXRANKMOVIEGLOBAL,-37.62,-41.25,3.63,0.0,1981
2026-04-15,KXNBAWFINMVP,-11.24,-43.08,31.84,0.0,7371
2026-04-15,KXNBASERIESPTSLEADER,-114.87,-121.43,6.56,0.0,464
2026-04-15,KXNHLSERIESSCORE,-284.9,-310.35,25.45,0.0,2392
2026-04-15,KXNHLSPREAD,12708.9,8120.52,4588.38,0.0,360708
2026-04-15,KXPGAH2H,-739.63,-1416.63,677.0,0.0,39212
2026-04-15,KXPGAHOLEINONE,-1660.89,-1746.46,85.57,0.0,7115
