report_ticker,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled,n_days
KXMVESPORTSMULTIGAMEEXTENDED,-187268601.0,-280813108.3,93544507.3,0.0,29178601125,114
KXBTC15M,-21723852.01,-110859292.41,89135440.4,0.0,8374237147,113
KXMVECROSSCATEGORY,-50459508.3,-85773531.86,35314023.57,0.0,6322072356,114
KXMLBGAME,-19159962.24,-93619345.33,74459383.09,18730229.55,6118735732,114
KXWCGAME,-38200055.88,-83149914.62,44949858.74,0.0,4440159654,96
KXBTCD,-13807427.2,-54470812.19,40663384.99,0.0,3834871503,113
KXNBAGAME,38153746.71,1339368.1,36814378.61,9243965.25,3225626120,60
KXATPMATCH,-9152121.08,-42268010.22,33115889.14,8516316.3,2914450694,113
KXATPCHALLENGERMATCH,-10373995.19,-38587851.9,28213856.71,0.0,2513802730,114
KXWCADVANCE,-47220103.32,-75270691.34,28050588.02,0.0,2501713228,25
KXPGATOUR,-14151076.32,-20151494.39,6000418.06,1515674.3,2180833719,113
KXITFWMATCH,-12003670.26,-34104110.71,22100440.45,0.0,2130468781,114
KXITFMATCH,-2888787.58,-24970676.59,22081889.01,0.0,2075062484,114
KXWTAMATCH,-10329421.81,-29839191.44,19509769.63,5007246.88,1747344106,113
KXMENWORLDCUP,-53555325.17,-61711778.57,8156453.4,2052270.24,1522145776,96
KXMLBTOTAL,-3358970.46,-24907213.51,21548243.05,0.0,1515885339,114
KXWCSCORE,-8750090.83,-14384207.95,5634117.12,0.0,1019097204,40
KXIPLGAME,1242923.06,-8752694.45,9995617.51,0.0,870823319,45
KXMLBSPREAD,-5391299.16,-16994888.57,11603589.41,0.0,851382197,114
KXWCTOTAL,-11849265.37,-20955407.18,9106141.81,0.0,758460355,46
KXWNBAGAME,-3003547.29,-10829728.93,7826181.64,0.0,737000675,98
KXNBASPREAD,-2113777.37,-12471896.65,10358119.28,2602684.34,708439154,60
KXUFCFIGHT,-1027902.5,-8952679.26,7924776.76,0.0,666315033,109
KXWCSPREAD,-3985515.8,-10893365.49,6907849.69,0.0,625816027,46
KXWCGOAL,-12008478.9,-17666570.59,5658091.69,0.0,575693395,40
KXWTACHALLENGERMATCH,-2620536.42,-8446115.44,5825579.02,0.0,544645999,91
KXNBATOTAL,-58813.07,-7569294.86,7510481.79,1887907.68,543078455,60
KXETH15M,-1591997.52,-5906351.27,4314353.74,0.0,438684514,113
KXNHLGAME,-2375999.41,-8004605.96,5628606.55,1415356.82,422994201,61
KXT20MATCH,-63350.04,-4205886.1,4142536.06,0.0,387258810,112
KXCS2GAME,-1272814.62,-4849449.04,3576634.42,0.0,284482140,114
KXMLBRFI,-3342474.16,-7377658.22,4035184.06,0.0,256787388,114
KXNBA,5235433.9,2973499.46,2261934.44,567696.48,248800688,60
KXNEXTTEAMNBA,-95724.41,-1725584.9,1629860.49,0.0,245133769,103
KXNBASERIES,2094090.27,-385240.01,2479330.28,622673.28,227626213,33
KXWCBTTS,-1242397.46,-4542316.84,3299919.38,0.0,225938997,46
KXNBASUMMERGAME,122750.3,-2149589.84,2272340.14,0.0,207685505,19
KXWCTEAMTOTAL,-1653200.93,-4144339.67,2491138.74,0.0,205365923,41
KXWC1H,-1537109.2,-3763669.85,2226560.65,0.0,202609620,45
KXLOLGAME,-1442505.16,-3433678.42,1991173.26,0.0,178702721,112
KXMLBHR,-2230753.42,-3543907.71,1313154.29,0.0,176710267,112
KXPGAR1LEAD,-2126622.33,-2557486.08,430863.76,0.0,173406120,103
KXWNBATOTAL,-1755579.06,-3954954.58,2199375.52,0.0,164926026,95
KXWCMOV,-2729845.39,-3975431.87,1245586.48,0.0,159991050,25
KXLIGAMXGAME,-2230981.85,-3937388.94,1706407.09,0.0,157865648,62
KXMLSGAME,-657520.49,-2295791.32,1638270.83,0.0,154371635,66
KXWC1HTOTAL,-1872644.73,-3505065.14,1632420.41,0.0,153679713,45
KXHYPE15M,-1174123.29,-2577808.38,1403685.09,0.0,152189977,113
KXWCMENTION,-2036220.6,-3025854.82,989634.22,0.0,149773664,42
KXEPLGAME,-1825986.52,-3361871.16,1535884.64,386834.48,144328156,40
KXINTLFRIENDLYGAME,-694376.88,-1880909.66,1186532.78,0.0,142003807,29
KXWC1HSCORE,-635512.33,-1486602.59,851090.26,0.0,141176632,34
KXSOL15M,-814140.76,-2032912.08,1218771.33,0.0,136321423,113
KXXRP15M,-1019716.89,-2198620.18,1178903.31,0.0,132792505,113
KXWNBASPREAD,-1344230.54,-3107367.18,1763136.64,0.0,126916007,96
KXUCLGAME,-9399839.28,-10799249.5,1399410.22,352739.22,125337609,73
KXATPSETWINNER,-1898950.24,-3310208.88,1411258.64,0.0,121445498,113
KXUFCMOV,-763809.7,-1792562.72,1028753.02,0.0,121221710,45
KXCLUBFGAME,-3658753.47,-4786654.23,1127900.76,0.0,119672218,16
KXNBAWEST,7321946.07,5789490.49,1532455.58,384698.21,117328324,46
KXWCCORNERS,-889635.21,-2407090.03,1517454.82,0.0,115783323,41
KXMLBF5,-2006310.02,-3514168.04,1507858.02,0.0,112042221,113
KXWC2H,-2481001.46,-3656794.39,1175792.93,0.0,111302079,34
