date,report_ticker,contracts_settled,notional_settled
2026-04-15,KX14AMENDCASE,1423,966.14
2026-04-15,KXNHLGAME,6482994,3139942.16
2026-04-15,KXNHLGOAL,37096,22167.04
2026-04-15,KXNHLHART,109450,50066.36
2026-04-15,KXNHLNORRIS,22876,9111.43
2026-04-15,KXNHLPACIFIC,8187,1084.84
2026-04-15,KXNHLPTS,1091,582.49
2026-04-15,KXNHLRICHARD,2115,140.69
2026-04-15,KXNHLROSS,3055,1717.79
2026-04-15,KXNHLSERIES,16134,9005.77
2026-04-15,KXNHLSERIESSCORE,2832,540.32
2026-04-15,KXNHLSERIESSPREAD,312,134.16
2026-04-15,KXNHLSPREAD,360708,174306.1
2026-04-15,KXNHLTOTAL,970597,504089.14
2026-04-15,KXNHLFIRSTGOAL,3834,562.01
2026-04-15,KXNHLVEZINA,9396,6023.96
2026-04-15,KXNHSALES,166,46.27
2026-04-15,KXNICKELMON,40,39.4
2026-04-15,KXNICKELW,20,12.5
2026-04-15,KXNPBGAME,87956,54101.98
2026-04-15,KXNY10D,109,86.52
2026-04-15,KXNY12D,1326,315.49
2026-04-15,KXNY13D,29,9.57
2026-04-15,KXNY17D,1579,790.06
2026-04-15,KXNYCRENTFREEZE,94,20.68
2026-04-15,KXNYTHEAD,215,114.15
2026-04-15,KXOH9R,707,221.12
2026-04-15,KXOHPRIMARY,281,162.71
2026-04-15,KXOMEGA,17,9.69
2026-04-15,KXNHLWEST,35271,9068.96
2026-04-15,KXNHLEAST,100371,46109.71
2026-04-15,KXNHLCALDER,34,0.59
2026-04-15,KXNHLAST,21,9.45
2026-04-15,KXNEWARKMAYOR,100,94.0
2026-04-15,KXNEWDEAL,24,5.04
2026-04-15,KXNEWGLENN,1894,1062.83
2026-04-15,KXNEWROLECEOAPPLE,44,13.98
2026-04-15,KXNEXTHUNGARYPM,41283,16485.54
2026-04-15,KXNEXTLEVELCHEF,365,23.72
2026-04-15,KXNEXTMANAGERMANU,972,449.56
2026-04-15,KXNEXTNBACOACH,2907,906.34
2026-04-15,KXNEXTTEAMNBA,6656,620.2
2026-04-15,KXNEXTTEAMNFL,7724,3737.45
2026-04-15,KXNFLDRAFT1,11467,1305.45
2026-04-15,KXNFLDRAFT1ST,2323,33.17
2026-04-15,KXNFLDRAFTDB,7917,4750.98
2026-04-15,KXNFLDRAFTDT,771,191.41
2026-04-15,KXNFLDRAFTEDGE,787,365.6
2026-04-15,KXNFLDRAFTLB,593,261.86
2026-04-15,KXNFLDRAFTOL,3210,1149.39
2026-04-15,KXNFLDRAFTPICK,163606,60274.04
2026-04-15,KXNFLDRAFTQB,314,179.66
2026-04-15,KXNFLDRAFTRB,993,749.12
2026-04-15,KXNFLDRAFTTE,300,81.13
2026-04-15,KXNFLDRAFTTEAM,40889,9417.48
2026-04-15,KXNFLDRAFTTOP,52901,23818.13
2026-04-15,KXNFLDRAFTWR,6621,3617.62
2026-04-15,KXNFLTEAM1POS,1873,940.39
2026-04-15,KXNFLTRADE,6,3.0
2026-04-15,KXNGUARDAIR,2,1.98
2026-04-15,KXNHL,648821,277572.47
2026-04-15,KXNHLADAMS,3478,713.82
2026-04-15,KXORPRIMARY,36,18.12
2026-04-15,KXNETFLIXTOPVIEWSMOVIE,480,412.3
2026-04-15,KXOWGAME,1256,245.82
2026-04-15,KXPAPRIMARY,1901,133.93
2026-04-15,KXPSASQUASH,71483,25894.16
2026-04-15,KXPSKY,41,32.48
2026-04-15,KXPSL,5,1.9
2026-04-15,KXPSLGAME,577811,289279.59
2026-04-15,KXQUADRUPLEDOUBLE,3915,2599.77
2026-04-15,KXR6GAME,41888,23480.13
2026-04-15,KXR6MAP,17628,12926.62
2026-04-15,KXRACE,19454,13885.49
2026-04-15,KXRAINAUSM,1419,986.36
2026-04-15,KXRAINCHIM,13999,7782.91
2026-04-15,KXRAINDALM,297,124.34
2026-04-15,KXRAINDENM,5848,3377.63
2026-04-15,KXRAINHOUM,2048,839.31
2026-04-15,KXPSAKIMENTION,10736,107.36
2026-04-15,KXRAINLAXM,1560,1105.16
2026-04-15,KXRAINNYC,2860,1596.5
2026-04-15,KXRAINNYCM,1412,711.9
2026-04-15,KXRAINSEAM,1534,651.27
2026-04-15,KXRAINSFOM,5327,3346.96
2026-04-15,KXRANKLIST1SONG,72768,1776.15
2026-04-15,KXRANKLISTSONGSPOTGLOBAL,12340,10055.62
2026-04-15,KXRANKLISTSONGSPOTUSA,11574,4993.97
2026-04-15,KXRANKLISTSONGTOP10,1073,1019.96
2026-04-15,KXRBLX,1288,1141.24
2026-04-15,KXRBWSTRIKE,3253,1403.7
2026-04-15,KXRECBILL,600,476.0
2026-04-15,KXRECCOUNT,555,471.75
2026-04-15,KXRECNCH,6,3.66
2026-04-15,KXRAINMIAM,1604,885.04
2026-04-15,KXPRIMARYMOV,545,76.3
2026-04-15,KXPRESSBRIEFINGCOUNT,502,246.66
2026-04-15,KXPREMIERLEAGUE,37598,19024.81
2026-04-15,KXPAYROLLS,1500,700.98
2026-04-15,KXPCECORE,3109,603.15
2026-04-15,KXPERSONMENTION,2753,1449.38
2026-04-15,KXPERSONPUBLIC,15,5.55
2026-04-15,KXPERUCONGRESS,1197,1171.59
2026-04-15,KXPERUPRES,426442,246958.4
2026-04-15,KXPERUPRES1R,5899,414.68
2026-04-15,KXPERUPRES1RMOV,3520,2189.12
2026-04-15,KXPERUPRES2ND,100913,50412.99
2026-04-15,KXPERUPRESMATCHUP,31480,20409.55
2026-04-15,KXPGAH2H,39212,19364.63
2026-04-15,KXPGAHOLEINONE,7115,2481.89
2026-04-15,KXPGAMAJORTOP10,3733,1314.23
2026-04-15,KXPGAMAJORWIN,3407,1184.04
2026-04-15,KXPGAPLAYOFF,5425,1038.31
2026-04-15,KXPGAR1LEAD,437547,19308.61
2026-04-15,KXPGAR1TOP10,12070,3863.94
2026-04-15,KXPGAR1TOP5,1172,284.16
2026-04-15,KXPGAR2LEAD,4871,825.35
2026-04-15,KXPGAR3LEAD,156,16.46
2026-04-15,KXPGAROUNDSCORE,10863,5777.35
2026-04-15,KXPGATOP10,139971,37615.15
2026-04-15,KXPGATOP20,293266,118163.72
2026-04-15,KXPGATOP5,129296,33670.23
2026-04-15,KXPGATOUR,6290074,348150.06
2026-04-15,KXPLTR,16234,11529.27
2026-04-15,KXPM,29616,16038.26
2026-04-15,KXPOLITICSMENTION,217262,83039.91
2026-04-15,KXPREMDARTS,343,294.02
2026-04-15,KXPA3D,6103,3341.4
2026-04-15,KXRFKMENTION,5967,3854.68
2026-04-15,KXNETFLIXRANKSHOWRUNNERUP,3759,522.92
2026-04-15,KXNETFLIXRANKSHOWGLOBAL,378,13.11
2026-04-15,KXMOVVAREDISTRICT,109841,20959.24
2026-04-15,KXMOVWISUPREMECOURT,276,275.06
2026-04-15,KXMRBEASTMENTION,8580,3541.98
2026-04-15,KXMT01D,1819,684.87
2026-04-15,KXMTCH,22039,11515.41
2026-04-15,KXMUSKNW,1361,523.11
2026-04-15,KXMUSKOAI,1335,623.76
2026-04-15,KXMUSKTRILLION,261,202.48
2026-04-15,KXMUSKWEALTH,805,506.81
2026-04-15,KXMVECROSSCATEGORY,35000334,4489858.81
2026-04-15,KXMVENBASINGLEGAME,311810,42515.21
2026-04-15,KXMVESPORTSMULTIGAMEEXTENDED,51792771,5324562.12
2026-04-15,KXNASCARCUPSERIES,11886,300.75
2026-04-15,KXMOVNJ11SPECIAL,17377,4723.25
2026-04-15,KXNASCARRACE,87872,8138.69
2026-04-15,KXNASCARTOP20,1794,741.71
2026-04-15,KXNASCARTOP3,470,87.6
2026-04-15,KXNASCARTOP5,1878,559.76
2026-04-15,KXNASDAQ100,8405,2209.31
2026-04-15,KXNASDAQ100MAXY,18029,14792.52
2026-04-15,KXNASDAQ100MINY,69,0.69
2026-04-15,KXNASDAQ100U,73563,36302.0
2026-04-15,KXNATGASD,7552,2724.11
2026-04-15,KXNATGASMON,1136,506.57
2026-04-15,KXNATGASW,1324,602.66
2026-04-15,KXNATLEMERGENCY,4,0.56
2026-04-15,KXNBA,2832087,839881.01
2026-04-15,KXNBA1HSPREAD,341923,175264.99
2026-04-15,KXNASCARTOP10,11442,4056.7
2026-04-15,KXMOVILSENATED,783,95.18
2026-04-15,KXMOVIL9DNOM,39,3.12
2026-04-15,KXMOVIEDELAYODYSSEY,114,33.63
2026-04-15,KXMEDIARELEASEICEMAN,61,23.18
2026-04-15,KXMELANIAMENTION,268895,93240.75
2026-04-15,KXMENWORLDCUP,468642,146592.92
2026-04-15,KXMETAHEADCOUNT,79399,35368.56
2026-04-15,KXMETGALA,7492,4310.15
2026-04-15,KXMEXCUBOIL,555,205.65
2026-04-15,KXMJSCHEDULE,230,194.61
2026-04-15,KXMLBF5,300137,146352.64
2026-04-15,KXMLBF5SPREAD,108601,62945.12
2026-04-15,KXMLBF5TOTAL,418375,229890.75
2026-04-15,KXMLBGAME,36244723,17723494.06
2026-04-15,KXMLBHIT,162813,89864.28
2026-04-15,KXMLBHR,1073525,220367.48
2026-04-15,KXMLBHRR,109760,57208.4
2026-04-15,KXMLBKS,603431,295625.22
2026-04-15,KXMLBMENTION,35884,18204.55
2026-04-15,KXMLBPLAYEROTW,32,20.68
2026-04-15,KXMLBRFI,1025977,514523.92
2026-04-15,KXMLBSPREAD,4249081,2127620.45
2026-04-15,KXMLBSTATCOUNT,24,4.95
2026-04-15,KXMLBTB,113525,53351.74
2026-04-15,KXMLBTEAMTOTAL,173497,90120.46
2026-04-15,KXMLBTOTAL,7423981,3853112.74
2026-04-15,KXMLSBTTS,174,75.59
2026-04-15,KXMLSGAME,15512,6438.4
2026-04-15,KXMLSSPREAD,729,645.12
