date,report_ticker,side,contracts_settled,notional_settled
2026-04-15,KX14AMENDCASE,no,1019,927.29
2026-04-15,KXNHLWEST,no,4611,3391.85
2026-04-15,KXNHLVEZINA,yes,9389,6023.12
2026-04-15,KXNHLVEZINA,no,7,0.84
2026-04-15,KXNHLTOTAL,yes,458694,220192.56
2026-04-15,KXNHLTOTAL,no,511903,283896.58
2026-04-15,KXNHLSPREAD,yes,223016,86249.64
2026-04-15,KXNHLSPREAD,no,137692,88056.46
2026-04-15,KXNHLSERIESSPREAD,yes,312,134.16
2026-04-15,KXNHLSERIESSCORE,yes,2832,540.32
2026-04-15,KXNHLSERIES,yes,12276,6879.82
2026-04-15,KXNHLSERIES,no,3858,2125.95
2026-04-15,KXNHLROSS,yes,1912,1669.2
2026-04-15,KXNHLROSS,no,1143,48.59
2026-04-15,KXNHLRICHARD,yes,844,112.32
2026-04-15,KXNHLRICHARD,no,1271,28.37
2026-04-15,KXNHLPTS,yes,946,451.7
2026-04-15,KXNHLPTS,no,145,130.79
2026-04-15,KXNHLPACIFIC,yes,7736,783.17
2026-04-15,KXNHLPACIFIC,no,451,301.67
2026-04-15,KXNHLNORRIS,yes,11432,862.59
2026-04-15,KXNHLNORRIS,no,11444,8248.84
2026-04-15,KXNHLHART,yes,71337,23178.37
2026-04-15,KXNHLHART,no,38113,26887.99
2026-04-15,KXNHLGOAL,yes,36480,21880.42
2026-04-15,KXNHLGOAL,no,616,286.62
2026-04-15,KXNHLWEST,yes,30660,5677.11
2026-04-15,KXNHLGAME,yes,5272457,2565163.41
2026-04-15,KXNHSALES,no,142,40.71
2026-04-15,KXNICKELMON,yes,40,39.4
2026-04-15,KXPCECORE,no,985,405.44
2026-04-15,KXPAYROLLS,yes,766,340.22
2026-04-15,KXPAYROLLS,no,734,360.76
2026-04-15,KXPAPRIMARY,yes,1,0.93
2026-04-15,KXPAPRIMARY,no,1900,133.0
2026-04-15,KXPA3D,yes,5172,2751.9
2026-04-15,KXPA3D,no,931,589.5
2026-04-15,KXOWGAME,yes,1253,245.58
2026-04-15,KXOWGAME,no,3,0.24
2026-04-15,KXORPRIMARY,yes,36,18.12
2026-04-15,KXOMEGA,no,17,9.69
2026-04-15,KXOHPRIMARY,yes,73,15.01
2026-04-15,KXOHPRIMARY,no,208,147.7
2026-04-15,KXOH9R,yes,660,181.8
2026-04-15,KXOH9R,no,47,39.32
2026-04-15,KXNYTHEAD,no,215,114.15
2026-04-15,KXNYCRENTFREEZE,no,94,20.68
2026-04-15,KXNY17D,yes,1069,431.55
2026-04-15,KXNY17D,no,510,358.51
2026-04-15,KXNY13D,yes,29,9.57
2026-04-15,KXNY12D,yes,1326,315.49
2026-04-15,KXNY10D,yes,109,86.52
2026-04-15,KXNPBGAME,yes,67326,42663.74
2026-04-15,KXNPBGAME,no,20630,11438.24
2026-04-15,KXNICKELW,yes,20,12.5
2026-04-15,KXNHSALES,yes,24,5.56
2026-04-15,KXPCECORE,yes,2124,197.71
2026-04-15,KXNHLGAME,no,1210537,574778.75
2026-04-15,KXNHLFIRSTGOAL,no,16,1.13
2026-04-15,KXNFLDRAFTLB,no,66,5.84
2026-04-15,KXNFLDRAFTEDGE,yes,732,349.67
2026-04-15,KXNFLDRAFTEDGE,no,55,15.93
2026-04-15,KXNFLDRAFTDT,yes,771,191.41
2026-04-15,KXNFLDRAFTDB,yes,2788,1367.58
2026-04-15,KXNFLDRAFTDB,no,5129,3383.4
2026-04-15,KXNFLDRAFT1ST,yes,2015,27.01
2026-04-15,KXNFLDRAFT1ST,no,308,6.16
2026-04-15,KXNFLDRAFT1,yes,7735,1230.81
2026-04-15,KXNFLDRAFT1,no,3732,74.64
