date,contracts_yes,contracts_no,contracts_na,contracts_total,pct_yes,pct_no,pct_na
2021-06-30,5,0,0,5,100,0,0
2021-07-01,2478,51,0,2529,97.98,2.02,0
2021-07-02,1134,208,0,1342,84.5,15.5,0
2021-07-04,0,181,0,181,0,100,0
2021-07-05,538,403,0,941,57.17,42.83,0
2021-07-06,463,254,0,717,64.57,35.43,0
2021-07-07,1104,298,0,1402,78.74,21.26,0
2021-07-08,11495,3255,0,14750,77.93,22.07,0
2021-07-09,2941,3569,0,6510,45.18,54.82,0
2021-07-10,1851,3820,0,5671,32.64,67.36,0
2021-07-11,37,1565,0,1602,2.31,97.69,0
2021-07-12,1390,2433,0,3823,36.36,63.64,0
2021-07-13,4385,7940,0,12325,35.58,64.42,0
2021-07-14,1050,2253,0,3303,31.79,68.21,0
2021-07-15,3493,4003,0,7496,46.6,53.4,0
2021-07-16,3897,2449,0,6346,61.41,38.59,0
2021-07-17,6286,3075,0,9361,67.15,32.85,0
2021-07-18,3394,4113,0,7507,45.21,54.79,0
2021-07-19,4015,9317,0,13332,30.12,69.88,0
2021-07-20,9198,15105,0,24303,37.85,62.15,0
2021-07-21,6451,4552,0,11003,58.63,41.37,0
2021-07-22,9245,12575,0,21820,42.37,57.63,0
2021-07-23,7140,3479,0,10619,67.24,32.76,0
2021-07-24,12204,17326,0,29530,41.33,58.67,0
2021-07-25,4885,5511,0,10396,46.99,53.01,0
2021-07-26,6983,14421,0,21404,32.62,67.38,0
2021-07-27,13874,7368,0,21242,65.31,34.69,0
2021-07-28,8977,4021,0,12998,69.06,30.94,0
2021-07-29,15381,11748,0,27129,56.7,43.3,0
2021-07-30,15605,14567,0,30172,51.72,48.28,0
2021-07-31,11913,16112,0,28025,42.51,57.49,0
2021-08-01,15344,17742,0,33086,46.38,53.62,0
2021-08-02,9179,16485,0,25664,35.77,64.23,0
2021-08-03,22375,26543,0,48918,45.74,54.26,0
2021-08-04,48858,39018,0,87876,55.6,44.4,0
2021-08-05,49089,30930,0,80019,61.35,38.65,0
2021-08-06,49366,41188,0,90554,54.52,45.48,0
2021-08-07,20495,29610,0,50105,40.9,59.1,0
2021-08-08,14608,19166,0,33774,43.25,56.75,0
2021-08-09,37689,48935,0,86624,43.51,56.49,0
2021-08-10,47206,32614,0,79820,59.14,40.86,0
2021-08-11,40722,47081,0,87803,46.38,53.62,0
2021-08-12,25196,36274,0,61470,40.99,59.01,0
2021-08-13,42539,48592,0,91131,46.68,53.32,0
2021-08-14,18686,13185,0,31871,58.63,41.37,0
2021-08-15,38260,29065,0,67325,56.83,43.17,0
2021-08-16,15159,16022,0,31181,48.62,51.38,0
2021-08-17,36240,43220,0,79460,45.61,54.39,0
2021-08-18,28346,23179,0,51525,55.01,44.99,0
2021-08-19,32848,27734,0,60582,54.22,45.78,0
2021-08-20,30195,44305,0,74500,40.53,59.47,0
2021-08-21,26191,33987,0,60178,43.52,56.48,0
2021-08-22,49014,55752,0,104766,46.78,53.22,0
2021-08-23,21246,21176,0,42422,50.08,49.92,0
2021-08-24,38540,38338,0,76878,50.13,49.87,0
2021-08-25,42118,30225,0,72343,58.22,41.78,0
2021-08-26,38206,28168,0,66374,57.56,42.44,0
2021-08-27,56422,45898,0,102320,55.14,44.86,0
2021-08-28,22185,31309,0,53494,41.47,58.53,0
2021-08-29,34092,38997,0,73089,46.64,53.36,0
2021-08-30,30717,22688,0,53405,57.52,42.48,0
2021-08-31,28603,37323,0,65926,43.39,56.61,0
2021-09-01,28568,99386,0,127954,22.33,77.67,0
2021-09-02,7482,22184,0,29666,25.22,74.78,0
2021-09-03,33637,31731,0,65368,51.46,48.54,0
2021-09-04,30977,30122,0,61099,50.7,49.3,0
2021-09-05,16917,21190,0,38107,44.39,55.61,0
2021-09-06,14859,20204,0,35063,42.38,57.62,0
2021-09-07,14563,19648,0,34211,42.57,57.43,0
2021-09-08,27301,27393,0,54694,49.92,50.08,0
2021-09-09,22812,22716,0,45528,50.11,49.89,0
2021-09-10,24857,28547,0,53404,46.55,53.45,0
2021-09-11,13247,14197,0,27444,48.27,51.73,0
2021-09-12,15053,12669,0,27722,54.3,45.7,0
2021-09-13,26823,25159,0,51982,51.6,48.4,0
2021-09-14,28929,39460,0,68389,42.3,57.7,0
2021-09-15,33409,36347,0,69756,47.89,52.11,0
2021-09-16,3551,5034,0,8585,41.36,58.64,0
2021-09-17,30959,10851,0,41810,74.05,25.95,0
2021-09-18,1712,4293,0,6005,28.51,71.49,0
2021-09-19,955,3653,0,4608,20.72,79.28,0
2021-09-20,3565,3407,0,6972,51.13,48.87,0
2021-09-21,21037,37261,0,58298,36.09,63.91,0
2021-09-22,18292,29755,0,48047,38.07,61.93,0
2021-09-23,27804,18037,0,45841,60.65,39.35,0
2021-09-24,27072,31356,0,58428,46.33,53.67,0
2021-09-25,25123,17611,0,42734,58.79,41.21,0
2021-09-26,19125,14782,0,33907,56.4,43.6,0
2021-09-27,22454,29594,0,52048,43.14,56.86,0
2021-09-28,49495,62191,0,111686,44.32,55.68,0
2021-09-29,26559,50308,0,76867,34.55,65.45,0
2021-09-30,48272,51904,0,100176,48.19,51.81,0
2021-10-01,18814,34037,0,52851,35.6,64.4,0
2021-10-02,13959,16483,0,30442,45.85,54.15,0
2021-10-03,12076,8773,0,20849,57.92,42.08,0
2021-10-04,28832,24199,0,53031,54.37,45.63,0
2021-10-05,25418,29965,0,55383,45.89,54.11,0
2021-10-06,38218,57699,0,95917,39.84,60.16,0
2021-10-07,25757,33317,0,59074,43.6,56.4,0
2021-10-08,23687,30335,0,54022,43.85,56.15,0
2021-10-09,8548,6561,0,15109,56.58,43.42,0
2021-10-10,9397,8390,0,17787,52.83,47.17,0
2021-10-11,14380,15265,0,29645,48.51,51.49,0
2021-10-12,23311,22434,0,45745,50.96,49.04,0
2021-10-13,31032,37779,0,68811,45.1,54.9,0
2021-10-14,22120,28534,0,50654,43.67,56.33,0
2021-10-15,9980,21350,0,31330,31.85,68.15,0
2021-10-16,10292,10565,0,20857,49.35,50.65,0
2021-10-17,5102,9806,0,14908,34.22,65.78,0
2021-10-18,16372,17747,0,34119,47.98,52.02,0
2021-10-19,29724,20145,0,49869,59.6,40.4,0
2021-10-20,35043,44865,0,79908,43.85,56.15,0
2021-10-21,20765,43041,0,63806,32.54,67.46,0
2021-10-22,24150,17311,0,41461,58.25,41.75,0
2021-10-23,9565,11001,0,20566,46.51,53.49,0
2021-10-24,7877,11071,0,18948,41.57,58.43,0
2021-10-25,26218,27120,0,53338,49.15,50.85,0
2021-10-26,28506,29961,0,58467,48.76,51.24,0
2021-10-27,40448,27319,0,67767,59.69,40.31,0
2021-10-28,51140,44517,0,95657,53.46,46.54,0
2021-10-29,28171,28943,0,57114,49.32,50.68,0
2021-10-30,17991,27779,0,45770,39.31,60.69,0
2021-10-31,16201,11039,0,27240,59.48,40.52,0
2021-11-01,35003,39100,0,74103,47.24,52.76,0
2021-11-02,44451,42628,0,87079,51.05,48.95,0
2021-11-03,83103,77743,0,160846,51.67,48.33,0
2021-11-04,50759,55600,0,106359,47.72,52.28,0
2021-11-05,85070,122096,0,207166,41.06,58.94,0
2021-11-06,37863,40779,0,78642,48.15,51.85,0
2021-11-07,13050,25477,0,38527,33.87,66.13,0
2021-11-08,52727,55546,0,108273,48.7,51.3,0
2021-11-09,27740,43923,0,71663,38.71,61.29,0
2021-11-10,30760,38861,0,69621,44.18,55.82,0
2021-11-11,21466,35674,0,57140,37.57,62.43,0
2021-11-12,13603,26267,0,39870,34.12,65.88,0
2021-11-13,18694,12208,0,30902,60.49,39.51,0
2021-11-14,21619,23410,0,45029,48.01,51.99,0
2021-11-15,38154,17232,0,55386,68.89,31.11,0
2021-11-16,39772,30122,0,69894,56.9,43.1,0
2021-11-17,40867,32482,0,73349,55.72,44.28,0
2021-11-18,70414,35612,0,106026,66.41,33.59,0
2021-11-19,31802,39177,0,70979,44.8,55.2,0
2021-11-20,17033,12406,0,29439,57.86,42.14,0
2021-11-21,12139,9992,0,22131,54.85,45.15,0
2021-11-22,39134,32843,0,71977,54.37,45.63,0
2021-11-23,22654,52783,0,75437,30.03,69.97,0
2021-11-24,35440,29243,0,64683,54.79,45.21,0
2021-11-25,31637,13094,0,44731,70.73,29.27,0
2021-11-26,33062,31648,0,64710,51.09,48.91,0
2021-11-27,19964,20916,0,40880,48.84,51.16,0
2021-11-28,11937,19926,0,31863,37.46,62.54,0
2021-11-29,42223,38041,0,80264,52.61,47.39,0
2021-11-30,61854,48444,0,110298,56.08,43.92,0
2021-12-01,47508,42647,0,90155,52.7,47.3,0
2021-12-02,53713,71203,0,124916,43,57,0
2021-12-03,36425,34578,0,71003,51.3,48.7,0
2021-12-04,22659,16376,0,39035,58.05,41.95,0
2021-12-05,19407,17712,0,37119,52.28,47.72,0
2021-12-06,33065,34253,0,67318,49.12,50.88,0
2021-12-07,45346,55607,0,100953,44.92,55.08,0
2021-12-08,26012,33565,0,59577,43.66,56.34,0
2021-12-09,46577,64526,0,111103,41.92,58.08,0
2021-12-10,45123,54325,0,99448,45.37,54.63,0
2021-12-11,22969,23334,0,46303,49.61,50.39,0
2021-12-12,23632,17217,0,40849,57.85,42.15,0
2021-12-13,49063,48730,0,97793,50.17,49.83,0
2021-12-14,128874,115721,0,244595,52.69,47.31,0
2021-12-15,72268,81662,0,153930,46.95,53.05,0
2021-12-16,64836,43508,0,108344,59.84,40.16,0
2021-12-17,53863,50401,0,104264,51.66,48.34,0
2021-12-18,18855,20339,0,39194,48.11,51.89,0
2021-12-19,26044,31260,0,57304,45.45,54.55,0
2021-12-20,100232,60730,0,160962,62.27,37.73,0
2021-12-21,79264,46079,0,125343,63.24,36.76,0
2021-12-22,53873,62324,0,116197,46.36,53.64,0
2021-12-23,36900,33450,0,70350,52.45,47.55,0
2021-12-24,46455,44044,0,90499,51.33,48.67,0
2021-12-25,20289,16510,0,36799,55.13,44.87,0
2021-12-26,15151,11764,0,26915,56.29,43.71,0
2021-12-27,30373,28106,0,58479,51.94,48.06,0
2021-12-28,93051,112275,0,205326,45.32,54.68,0
2021-12-29,86849,48764,0,135613,64.04,35.96,0
2021-12-30,33864,36527,0,70391,48.11,51.89,0
2021-12-31,39721,54331,0,94052,42.23,57.77,0
2022-01-01,26414,17038,0,43452,60.79,39.21,0
2022-01-02,18402,20847,0,39249,46.89,53.11,0
2022-01-03,41174,65185,0,106359,38.71,61.29,0
2022-01-04,116042,90394,0,206436,56.21,43.79,0
2022-01-05,64730,98728,0,163458,39.6,60.4,0
2022-01-06,39311,39376,0,78687,49.96,50.04,0
2022-01-07,96763,84104,0,180867,53.5,46.5,0
2022-01-08,29286,36300,0,65586,44.65,55.35,0
2022-01-09,30523,30547,0,61070,49.98,50.02,0
2022-01-10,105432,78111,0,183543,57.44,42.56,0
2022-01-11,132345,113547,0,245892,53.82,46.18,0
2022-01-12,67777,41533,0,109310,62,38,0
2022-01-13,95912,85822,0,181734,52.78,47.22,0
2022-01-14,74040,67287,0,141327,52.39,47.61,0
2022-01-15,65706,39776,0,105482,62.29,37.71,0
2022-01-16,32306,29764,0,62070,52.05,47.95,0
2022-01-17,37968,58243,0,96211,39.46,60.54,0
2022-01-18,60862,88488,0,149350,40.75,59.25,0
2022-01-19,52873,40165,0,93038,56.83,43.17,0
2022-01-20,31899,70429,0,102328,31.17,68.83,0
2022-01-21,29970,34222,0,64192,46.69,53.31,0
2022-01-22,27096,29905,0,57001,47.54,52.46,0
2022-01-23,21554,21821,0,43375,49.69,50.31,0
2022-01-24,34879,36212,0,71091,49.06,50.94,0
2022-01-25,33505,36776,0,70281,47.67,52.33,0
2022-01-26,65476,60913,0,126389,51.81,48.19,0
2022-01-27,41930,31830,0,73760,56.85,43.15,0
2022-01-28,50489,40394,0,90883,55.55,44.45,0
2022-01-29,31398,30207,0,61605,50.97,49.03,0
2022-01-30,16942,15487,0,32429,52.24,47.76,0
2022-01-31,56451,29623,0,86074,65.58,34.42,0
2022-02-01,43370,34831,0,78201,55.46,44.54,0
