date,category,contracts,trade_count,listed_markets,traded_markets,market_report_volume,open_interest
2026-07-17,Baseball,1011.92,77,6,6,1011.92,0
2026-07-17,Basketball (pro),0,0,0,0,0,0
2026-07-17,Other,0,0,0,0,0,0
2026-07-20,Baseball,28601.66,520,83,83,28601.66,5770.34
2026-07-20,Basketball (pro),0,0,0,0,0,0
2026-07-20,Other,0,0,0,0,0,0
2026-07-21,Baseball,55076.63,601,108,108,55076.63,8238.38
2026-07-21,Basketball (pro),0,0,0,0,0,0
2026-07-21,Other,0,0,0,0,0,0
2026-07-22,Baseball,56132.07,561,100,100,56132.07,0
2026-07-22,Basketball (pro),0,0,0,0,0,0
2026-07-22,Other,0,0,0,0,0,0
2026-07-23,Baseball,220210.05,2023,64,64,220210.05,0
2026-07-23,Basketball (pro),0,0,0,0,0,0
2026-07-23,Other,0,0,0,0,0,0
2026-07-24,Baseball,911854.78,7886,204,204,911854.78,0
2026-07-24,Basketball (pro),0,0,0,0,0,0
2026-07-24,Other,0,0,0,0,0,0
2026-07-27,Baseball,1227596.98,10014,195,195,1227596.98,190520.33
2026-07-27,Basketball (pro),0,0,0,0,0,0
2026-07-27,Other,0,0,0,0,0,0
2026-07-28,Baseball,1345944.13,11465,268,268,1345944.13,268800.52
2026-07-28,Basketball (pro),254975.24,1778,76,76,254975.24,81526.69
2026-07-28,Other,0,0,0,0,0,0
2026-07-29,Baseball,1862411.09,14183,288,288,1862411.09,262151.69
2026-07-29,Basketball (pro),291549.3,2024,46,46,292579.3,78118.74
2026-07-29,Other,0,0,0,0,0,0
2026-07-30,Baseball,1696023.6,12886,227,227,1697305.6,215009.07
2026-07-30,Basketball (pro),317942.1,2145,65,65,317942.1,69370.88
2026-07-30,Other,8549.34,52,49,49,8549.34,1060.55
2026-07-31,Baseball,1605859.45,11649,261,261,1605859.45,355089.36
2026-07-31,Basketball (pro),3692,17,4,4,3692,0
2026-07-31,Other,4338.6,9,12,9,4338.6,695.23
2026-08-01,Baseball,1743390.32,12552,293,293,1744566.32,181142.79
2026-08-01,Basketball (pro),330761.12,1914,45,45,330761.12,1086
2026-08-01,Other,6266.48,18,17,14,6266.48,77.11
2026-08-02,Baseball,1762591.56,11770,287,287,1762591.56,11236
2026-08-02,Basketball (pro),385450.89,2642,77,77,385450.89,3306.75
2026-08-02,Other,1039.52,10,13,10,1039.52,71.59
