date,contracts,trade_count,yes_side_notional,avg_price,avg_trade_size,listed_markets,traded_markets,market_report_volume,open_interest,fees,fees_exchange_revenue,fees_parlay,contracts_parlay
2026-07-17,1011.92,77,450.1172,0.444815,13.141818,6,6,1011.92,0,16.94,33.88,0,0
2026-07-20,28601.66,520,14350.452,0.501735,55.003192,83,83,28601.66,5770.34,458.15,916.3,0,0
2026-07-21,55076.63,601,24206.8823,0.439513,91.641647,108,108,55076.63,8238.38,793.48,1586.96,0,0
2026-07-22,56132.07,561,26831.3599,0.478004,100.057166,100,100,56132.07,0,847.31,1694.62,0,0
2026-07-23,220210.05,2023,101492.8892,0.460891,108.853213,64,64,220210.05,0,3149.09,6298.18,0,0
2026-07-24,911854.78,7886,426563.7763,0.467798,115.629569,204,204,911854.78,0,13215.58,26431.16,0,0
2026-07-27,1227596.98,10014,601210.3077,0.489746,122.588075,195,195,1227596.98,190520.33,17962.27,35924.54,0,0
2026-07-28,1600919.37,13243,739832.8237,0.46213,120.887969,344,344,1600919.37,350327.21,22802.92,45605.84,0,0
2026-07-29,2153960.39,16207,1012991.7233,0.470293,132.903091,334,334,2154990.39,340270.43,31004.69,62009.38,0,0
2026-07-30,2022515.04,15083,953348.5668,0.471368,134.092358,341,341,2023797.04,285440.5,30042.32,60084.64,15.69,8549.34
2026-07-31,1613890.05,11675,765679.4787,0.474431,138.234694,277,274,1613890.05,355784.59,22924.57,45849.14,2.7,4338.6
2026-08-01,2080417.92,14484,957326.0624,0.46016,143.635592,355,352,2081593.92,182305.9,29629.72,59259.44,14.73,6266.48
2026-08-02,2149081.97,14422,973380.5895,0.452929,149.014143,377,374,2149081.97,14614.34,29644.25,59288.5,7.02,1039.52
2026-08-03,1378634.94,9913,650192.9383,0.471621,139.073433,248,245,1380684.94,148170.96,19493.33,38986.66,11.18,1802.34
2026-08-04,1238736.57,9120,548050.8807,0.442427,135.826378,570,570,1239940.57,280056.14,16855.11,33710.22,378.67,47941.54
2026-08-05,2817933.99,18093,1057297.085,0.375203,155.747194,3003,3002,2819039.99,366538.25,34153.95,68307.9,4882.07,700732.89
2026-08-07,3319144.65,18364,1158347.3548,0.34899,180.741922,3382,3379,3319144.65,1039681.22,38139.91,76279.82,7195.39,1162224.46
