date,contracts_sports,contracts_nonsports,contracts_total
2026-07-17,1011.92,0,1011.92
2026-07-20,28601.66,0,28601.66
2026-07-21,55076.63,0,55076.63
2026-07-22,56132.07,0,56132.07
2026-07-23,220210.05,0,220210.05
2026-07-24,911854.78,0,911854.78
2026-07-27,1227596.98,0,1227596.98
2026-07-28,1600919.37,0,1600919.37
2026-07-29,2153960.39,0,2153960.39
2026-07-30,2013965.7,8549.34,2022515.04
2026-07-31,1609551.45,4338.6,1613890.05
2026-08-01,2074151.44,6266.48,2080417.92
2026-08-02,2148042.45,1039.52,2149081.97
